post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
4317,Beef roast soup,"<span style=""font-weight: 400;"">This one is a blend of a few simple ingredients to create the yummiest soup that is sure to satiate your family.</span><span style=""font-weight: 400;"">
</span><span style=""font-weight: 400;"">
</span><b>You will need: </b>
<ul>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">6 to 8 potatoes </span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Beef roast cut in small cubes (beef tips and ribs will also work)</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2 cans of tomatoes</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 lb onions</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Water as per requirement (if you like it thick and creamy, use less water)</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Chilli powder</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Salt and pepper (as per your requirement)</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Half tablespoon of sugar</span></li>
</ul>
<b>How to make it: </b>

<span style=""font-weight: 400;"">Start by cooking the beef in the sauteed onion and tomato mixture. Deglaze the pan by adding some water and cook the beef on medium-high heat. Once it is tender, add the potatoes and spices. To make this dish more wholesome, you can serve it with some cornbread and ta-da!</span><span style=""font-weight: 400;"">
</span>

<em>Courtesy: <a href=""https://www.facebook.com/groups/QuarantineCookingAndSurvival/"">Quarantine Cooking and Survival via Facebook</a></em>",publish,Food,Gallery,15 Sure-fire Recipes to Ace While in Quarantine,"With the world practicing social-isolation amid the COVID-19 pandemic, most of us have been urged to work from home. As it turns out, self-isolation is proving to be quite wearisome. There’s not much we can do within the confines of our homes, especially with the limited resources we have to feed ourselves. This whole ordeal, of course, is turning out to be quite the task for many. For those of us who are just bored with eating the same meal every day, here are some of the best recipes that’ll satisfy the tummy and soul.",Shutterstock,,,,
4318,Burrito casserole,"<span style=""font-weight: 400;"">Who said a burrito and a casserole cannot be best friends? Check this one out for some fusion inspiration. </span><span style=""font-weight: 400;"">
</span><span style=""font-weight: 400;"">
</span><b>You will need: </b>
<ul>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 can cream of condensed mushroom soup</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 diced onion </span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 packet taco seasoning</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 can green chili peppers</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 lb ground beef</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 cup of corn</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">10-12 tortillas(strips)</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 can of refried beans</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1/2 cup sour cream</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2.5 cups shredded cheese</span></li>
</ul>
<b>How to make it: </b><b>
</b><span style=""font-weight: 400;"">As the oven preheats to</span><span style=""font-weight: 400;""> 350 F, </span><span style=""font-weight: 400;"">cook the onions and beef before adding the refried beans and taco seasoning.</span><span style=""font-weight: 400;""> Next, cook the soup, sour cream, and green chilies together</span><span style=""font-weight: 400;"">. Put half of the soup mix at the bottom of a casserole dish and top this with some tortillas, half of the ground beef mixture, corn, and a whole cup of cheese. Repeat each layer and finish it with cheese on the top. Bake this for 20 minutes until the cheese is utterly bubbly and delicious.</span>

<em>Courtesy: <a href=""https://www.facebook.com/groups/QuarantineCookingAndSurvival/"">Quarantine Cooking and Survival via Facebook</a></em>",publish,Food,Gallery,15 Sure-fire Recipes to Ace While in Quarantine,"With the world practicing social-isolation amid the COVID-19 pandemic, most of us have been urged to work from home. As it turns out, self-isolation is proving to be quite wearisome. There’s not much we can do within the confines of our homes, especially with the limited resources we have to feed ourselves. This whole ordeal, of course, is turning out to be quite the task for many. For those of us who are just bored with eating the same meal every day, here are some of the best recipes that’ll satisfy the tummy and soul.",Shutterstock,,,,
4319,Nutella sandwich,"<span style=""font-weight: 400;"">There’s nothing more scrumptious and heavenly than a dollop of nutella on a crispy rice cake.</span><span style=""font-weight: 400;"">
</span>

<b>You will need: </b>
<ul>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Chocolate flavored rice cakes (as much as you want)</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Nutella chocolate spread</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Undying love for chocolate and rice cakes</span></li>
</ul>
<b>How to make it: </b>

<span style=""font-weight: 400;"">Walk into the kitchen. Place the rice cakes on a plate and use a knife to spread generous amounts of nutella on them. Proceed to fit the entire cake in your mouth in one go. Munch munch and hmmm…! </span>

<em>Courtesy: <a href=""https://www.nutella.com/us/en/rice-cakes-with-nutella-and-fruit"">Nutella</a></em>",publish,Food,Gallery,15 Sure-fire Recipes to Ace While in Quarantine,"With the world practicing social-isolation amid the COVID-19 pandemic, most of us have been urged to work from home. As it turns out, self-isolation is proving to be quite wearisome. There’s not much we can do within the confines of our homes, especially with the limited resources we have to feed ourselves. This whole ordeal, of course, is turning out to be quite the task for many. For those of us who are just bored with eating the same meal every day, here are some of the best recipes that’ll satisfy the tummy and soul.",Shutterstock,,,,
4320,Corn dog muffins,"<span style=""font-weight: 400;"">Corn dog muffins are extremely moist, nummy, with a perfectly fluffy texture. These poppable bites are great for pretty much every occasion.</span><span style=""font-weight: 400;"">
</span><span style=""font-weight: 400;"">
</span><b>You will need: </b>
<ul>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1/3 cup of milk</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1/4 cup of sugar</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2 packs of </span><span style=""font-weight: 400;"">corn-kits</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2 eggs</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Hot dogs</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 cup of shredded cheddar cheese</span></li>
</ul>
<b>How to make it: </b>

<span style=""font-weight: 400;"">Start by preheating the oven to a steady </span><span style=""font-weight: 400;"">400 F</span><span style=""font-weight: 400;"">. Mix the cornbread, eggs, sugar, milk, and cheese. Before you fill the muffin tray, ensure that you spray it with oil, butter, or ghee. Make sure that you are not adding too much batter or it’ll overflow while baking. If you’re using a mini-muffin tray, bake for 12-13 minutes, and if you’re using a large tray, then bake them for about 14-15 minutes.

Courtesy: Holly's Cheat Day</span>",publish,Food,Gallery,15 Sure-fire Recipes to Ace While in Quarantine,"With the world practicing social-isolation amid the COVID-19 pandemic, most of us have been urged to work from home. As it turns out, self-isolation is proving to be quite wearisome. There’s not much we can do within the confines of our homes, especially with the limited resources we have to feed ourselves. This whole ordeal, of course, is turning out to be quite the task for many. For those of us who are just bored with eating the same meal every day, here are some of the best recipes that’ll satisfy the tummy and soul.",Shutterstock,,,,
4321,Jambalaya,"<span style=""font-weight: 400;"">Jambalaya makes for a flavorful and easy weeknight meal. A classic </span><span style=""font-weight: 400;"">Louisiana-origin dish, this recipe is loaded with rich flavors and spices. </span><span style=""font-weight: 400;"">
</span><span style=""font-weight: 400;"">
</span><b>You will need: </b>
<ul>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2 cubed chicken breasts</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2 </span><span style=""font-weight: 400;"">tablespoons of </span><span style=""font-weight: 400;"">butter</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">3 cloves of minced garlic</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 sliced link of sausage </span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1/2 a diced onion</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2 cups of chicken stock</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 cup of beef stock</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2-3 stalks of diced celery</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2 cups of rice</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 can of diced tomatoes</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Cajun seasoning</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Chili powder</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Soy sauce</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Worcestershire sauce</span></li>
</ul>
<b>How to make it:</b>

<span style=""font-weight: 400;"">Once your pot is hot, add the butter and cook the chicken and sausage to your liking. Throw in the celery and onion and sauté until soft. Add the garlic and cook for a minute. Now, add in the flavoring and stir well. Once the spices are nicely cooked, throw in the tomatoes, rice, and stocks. Stir to make sure that the rice is not clumpy. Now, set your pot to manual and let it cook for a decent 10 minutes. Let it cool off, and then bite in. </span>

Courtesy: <a href=""https://www.allrecipes.com/recipe/31848/jambalaya/""><em>Terri via Allrecipes.com</em></a>",publish,Food,Gallery,15 Sure-fire Recipes to Ace While in Quarantine,"With the world practicing social-isolation amid the COVID-19 pandemic, most of us have been urged to work from home. As it turns out, self-isolation is proving to be quite wearisome. There’s not much we can do within the confines of our homes, especially with the limited resources we have to feed ourselves. This whole ordeal, of course, is turning out to be quite the task for many. For those of us who are just bored with eating the same meal every day, here are some of the best recipes that’ll satisfy the tummy and soul.",Shutterstock,,,,
4327,Stock potato soup,"<span style=""font-weight: 400;"">This soup is easy, creamy, fresh, heavenly, and perfect for a filling meal. A large stock of this will last you for days; so, dig in! </span>

<b>You will need: </b>
<ul>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Tons of meat bones and scraps</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Potatoes </span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Heavy cream</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Salt</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Black pepper</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Cayenne pepper</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Chives or scallions (as toppings)</span></li>
</ul>
<b>How to make it: </b>

<span style=""font-weight: 400;"">Step one is to make a stock of the leftover meat bones and scraps. Next, dice the potatoes, add them to the stock and let them simmer till they’re soft. Blend this mixture and add a full cup of heavy cream. For taste, add salt, black pepper, and a pinch of cayenne. For toppings, add chives or scallions or both.</span>

<em>Courtesy: <a href=""https://www.deliaonline.com/recipes/collections/root-vegetables/leek-onion-and-potato-soup"">Delia Online</a></em>",publish,Food,Gallery,15 Sure-fire Recipes to Ace While in Quarantine,"With the world practicing social-isolation amid the COVID-19 pandemic, most of us have been urged to work from home. As it turns out, self-isolation is proving to be quite wearisome. There’s not much we can do within the confines of our homes, especially with the limited resources we have to feed ourselves. This whole ordeal, of course, is turning out to be quite the task for many. For those of us who are just bored with eating the same meal every day, here are some of the best recipes that’ll satisfy the tummy and soul.",Shutterstock,,,,
4328,Vegetable potato soup,"<span style=""font-weight: 400;"">If you’re bored with the aforementioned soups, then this one’s for you! This one is a rich blend of creamy potatoes, garlic, and lots of spice. If you’re the health-conscious kind, you can, of course, swap the potatoes with sweet potatoes. </span><span style=""font-weight: 400;"">
</span>

<b>What you need:</b>
<ul>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Chopped onions</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Chicken/vegetable stock</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Chopped garlic</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1 </span><span style=""font-weight: 400;"">tablespoon </span><span style=""font-weight: 400;"">of curry paste</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Butter</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Salt</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Wine</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Soy salt</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Cayenne pepper or hot sauce</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Cheese</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Diced potatoes</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Heavy cream</span></li>
</ul>
<b>How to make it:</b>

<span style=""font-weight: 400;"">Start by sautéeing the chopped onion and garlic in ridiculous amounts of butter, and then add a tablespoon of curry paste. Once cooked, add the diced potatoes and simmer it in the stock of your choice. Lastly, add salt, and peppers. Don’t forget to throw in the cheese(cheddar works best)! Now, enjoy this delicious soup and thank us later! </span>

<em>Courtesy: <a href=""https://www.thespruceeats.com/cheesy-vegetarian-potato-soup-recipe-3377981"">The Spruce Eats</a></em>",publish,Food,Gallery,15 Sure-fire Recipes to Ace While in Quarantine,"With the world practicing social-isolation amid the COVID-19 pandemic, most of us have been urged to work from home. As it turns out, self-isolation is proving to be quite wearisome. There’s not much we can do within the confines of our homes, especially with the limited resources we have to feed ourselves. This whole ordeal, of course, is turning out to be quite the task for many. For those of us who are just bored with eating the same meal every day, here are some of the best recipes that’ll satisfy the tummy and soul.",Shutterstock,,,,
4329,French brioche ,"<span style=""font-weight: 400;"">Try this French bread if you’re looking for something new and miss eating fancy food.</span><span style=""font-weight: 400;"">
</span><span style=""font-weight: 400;"">
</span><b>You will need:</b>
<ul>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">4.5 teaspoons of yeast</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1/2 cup milk</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2 teaspoons of salt</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">18 oz flour</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">4 eggs</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">8 oz butter</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">1/3 cup of sugar</span></li>
</ul>
<b>How to make it:</b>

<span style=""font-weight: 400;"">Preheat the oven while you mix the flour, yeast, sugar, and salt in a mixing bowl. Add all the wet ingredients and mix the dry and wet ingredients well. Add 4 oz of butter before you knead the dough and add 4 oz of butter again when you put the dough back into the mixing bowl. Once the dough is ready, cover it with plastic wrap and leave it for some time. Once it is nice and fluffy, cut it into three equal pieces and braid them into one piece. Brush on some egg wash before putting it into the oven at 490 F to get a beautiful brown color. Bake it for around half an hour, and after all this effort, enjoy the delicious bread! </span>

<em>Courtesy: <a href=""https://www.instagram.com/p/B-ClaZGJQPe/"">Chef Romain Avril via Instagram</a></em>

&nbsp;",publish,Food,Gallery,15 Sure-fire Recipes to Ace While in Quarantine,"With the world practicing social-isolation amid the COVID-19 pandemic, most of us have been urged to work from home. As it turns out, self-isolation is proving to be quite wearisome. There’s not much we can do within the confines of our homes, especially with the limited resources we have to feed ourselves. This whole ordeal, of course, is turning out to be quite the task for many. For those of us who are just bored with eating the same meal every day, here are some of the best recipes that’ll satisfy the tummy and soul.",Shutterstock,,,,
4330,Creamy omelet,"<span style=""font-weight: 400;"">Eggs are beautiful things. They’re versatile and you can cook them in so many ways and more. To jazz up your breakfast routine, we added a twist to this omelet recipe.</span>

<b>You will need: </b>
<ul>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">3 eggs </span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Some olive oil</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Salt </span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Butter </span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Mushrooms</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Spinach</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Garlic</span></li>
</ul>
<b>How to make it: </b>

<span style=""font-weight: 400;"">This omelet is by far one of the easiest recipes on this list. Sautee the garlic and add the mushrooms and spinach. Pour in the egg mixture on a preheated pan and keep stirring to ensure that it does not burn. Once the bottom cooks, add in a few pieces of butter and let it cook before rolling it onto your plate. Cut in the middle for maximum aesthetic and proceed to eat. </span>

<em>Courtesy: <a href=""https://www.instagram.com/p/B-U1iMep_aJ/"">Chef Romain Avril via Instagram</a></em>",publish,Food,Gallery,15 Sure-fire Recipes to Ace While in Quarantine,"With the world practicing social-isolation amid the COVID-19 pandemic, most of us have been urged to work from home. As it turns out, self-isolation is proving to be quite wearisome. There’s not much we can do within the confines of our homes, especially with the limited resources we have to feed ourselves. This whole ordeal, of course, is turning out to be quite the task for many. For those of us who are just bored with eating the same meal every day, here are some of the best recipes that’ll satisfy the tummy and soul.",Shutterstock,,,,
4331,Dalgona coffee ,"<span style=""font-weight: 400;"">People on the Internet are going gaga over this coffee. Don’t forget to try this out. Oh, might we add, please be ready for a sore and throbbing hand by the time you’re done whipping the mixture.</span><span style=""font-weight: 400;"">
</span>

<b>You will need: </b>
<ul>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2 tbsp of sugar </span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2 tbsp of instant coffee</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">2 tbsp of hot water</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">½ cup cold milk </span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Ice</span></li>
</ul>
<b>How to make it: </b>

<span style=""font-weight: 400;"">Add the coffee, sugar, water to a mixing bowl and beat the mixture like nobody’s business. Once you notice that it’s pale and frothy, add to a glass filled with cold. Voila! Your Dalgona coffee is ready!</span>

<a href=""https://www.bbc.co.uk/food/recipes/dalonga_coffee_20606""><em>Courtesy: BBC UK Food</em></a>",publish,Food,Gallery,15 Sure-fire Recipes to Ace While in Quarantine,"With the world practicing social-isolation amid the COVID-19 pandemic, most of us have been urged to work from home. As it turns out, self-isolation is proving to be quite wearisome. There’s not much we can do within the confines of our homes, especially with the limited resources we have to feed ourselves. This whole ordeal, of course, is turning out to be quite the task for many. For those of us who are just bored with eating the same meal every day, here are some of the best recipes that’ll satisfy the tummy and soul.",Shutterstock,,,,
