post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
1582,The Invisible Man (February 28),"<i>The Mummy</i> starring Tom Cruise bombed at the box office; this led Universal Pictures to abandon their Dark Universe franchise, including <i>The Invisible Man</i> starring Johnny Depp. Later, Leigh Whannell (best known for the <i>Insidious</i> series) was hired to reinvent this HG Wells’s classic. The film stars Elisabeth Moss as Cecilia Kass, who is menaced by an abusive ex.",publish,Entertainment - TV & Film,Entertainment,2020’s Cinema Docket - Films Your Watchlist is Incomplete Without,"2019 was a big year for films. 2020, however, seems to be even more promising with the number of terrific movies on the horizon. From Christopher Nolan’s most secretive project to fantasy epics like <i>Godzilla vs. Kong</i>, we got the rundown of the 30 best movies that shouldn’t be missed. Let’s have a look.",Universal Pictures,,Universal Pictures,,
1584,Spenser Confidential (March 6),"After working together on films like <i>Deepwater Horizon</i>, <i>Patriots Day</i>, and <i>Lone Survivor</i>, Mark Wahlberg and director Peter Berg are back with this Netflix Original, marking their fifth collaboration. The film will also star Winston Duke, Alan Arkin, Iliza Shlesinger, and Post Malone.",publish,Entertainment - TV & Film,Entertainment,2020’s Cinema Docket - Films Your Watchlist is Incomplete Without,"2019 was a big year for films. 2020, however, seems to be even more promising with the number of terrific movies on the horizon. From Christopher Nolan’s most secretive project to fantasy epics like <i>Godzilla vs. Kong</i>, we got the rundown of the 30 best movies that shouldn’t be missed. Let’s have a look.",Netflix,,Netflix,,
1586,First Cow (March 6),"Based on Jonathan Raymond’s novel <i>The Half-Life: A Novel</i>, <i>First Cow</i> is one of the frontrunners for the Golden Bear at the 70th Berlin International Film Festival. Kelly Reichardt’s film tells the story of the friendship between Cookie (played by John Magaro) and Chinese immigrant King-Lu (played Orion Lee), as they join hands to make money by stealing milk from a rich English landlord’s cow.",publish,Entertainment - TV & Film,Entertainment,2020’s Cinema Docket - Films Your Watchlist is Incomplete Without,"2019 was a big year for films. 2020, however, seems to be even more promising with the number of terrific movies on the horizon. From Christopher Nolan’s most secretive project to fantasy epics like <i>Godzilla vs. Kong</i>, we got the rundown of the 30 best movies that shouldn’t be missed. Let’s have a look.",A24,,A24,,
1588,A Quiet Place: Part II (March 20),"John Krasinski’s <i>Quiet Place</i> was a surprising addition to our favorite horror-thriller list back in 2018. This year, Krasinski’s back with the sequel <i>A Quiet Place: Part II</i> where a gloomy stranger joins the family in the fight against terrifying extraterrestrial creatures. With Krasinski in the director’s seat again, this dystopian film retains its original cast including Emily Blunt, Millicent Simmonds, and Noah Jupe along with some new faces.",publish,Entertainment - TV & Film,Entertainment,2020’s Cinema Docket - Films Your Watchlist is Incomplete Without,"2019 was a big year for films. 2020, however, seems to be even more promising with the number of terrific movies on the horizon. From Christopher Nolan’s most secretive project to fantasy epics like <i>Godzilla vs. Kong</i>, we got the rundown of the 30 best movies that shouldn’t be missed. Let’s have a look.",Paramount Pictures,,Paramount Pictures,,
1590,Mulan (March 27),"Like <i>Aladdin</i> in 2019, Disney is all set to bring us the live-action version of the beloved warrior princess Mulan. The new one, of course, has some distinctive changes. Firstly, it is an epic war film and not a musical as one would expect. Secondly, it wouldn’t feature the goofy dragon, Mushu. But then the trailer looks so rad, we hope it pays off!",publish,Entertainment - TV & Film,Entertainment,2020’s Cinema Docket - Films Your Watchlist is Incomplete Without,"2019 was a big year for films. 2020, however, seems to be even more promising with the number of terrific movies on the horizon. From Christopher Nolan’s most secretive project to fantasy epics like <i>Godzilla vs. Kong</i>, we got the rundown of the 30 best movies that shouldn’t be missed. Let’s have a look.",Walt Disney Studios Motion Pictures,,Walt Disney Studios Motion Pictures,,
1592,The New Mutants (April 3),"After being delayed for nearly two years, this <i>X-Men</i> reboot is all set for its release in the first week of April. It’s finally going to make its way to audiences but via Disney+. <i>The New Mutants</i> follows the story of five teen mutants who are trying to escape a research facility. Directed by Josh Boone, this spinoff stars Maisie Williams, Charlie Heaton, and Anya Taylor-Joy.",publish,Entertainment - TV & Film,Entertainment,2020’s Cinema Docket - Films Your Watchlist is Incomplete Without,"2019 was a big year for films. 2020, however, seems to be even more promising with the number of terrific movies on the horizon. From Christopher Nolan’s most secretive project to fantasy epics like <i>Godzilla vs. Kong</i>, we got the rundown of the 30 best movies that shouldn’t be missed. Let’s have a look.",20th Century Studios,,20th Century Studios,,
1594,No Time To Die (April 10),"After five years, at last, Daniel Craig’s James Bond is here to bless us with his presence after five freaking years. It is all the more amusing because Craig publicly claimed he’d “rather slash his wrists” than do it again. Yikes! We don’t care what changed his mind, Agent 007 is here for the last hurrah and we are all over it. The final film is directed by Cary Fukunaga of <i>True Detective</i> and features Oscar-winner Rami Malek as the big baddie.",publish,Entertainment - TV & Film,Entertainment,2020’s Cinema Docket - Films Your Watchlist is Incomplete Without,"2019 was a big year for films. 2020, however, seems to be even more promising with the number of terrific movies on the horizon. From Christopher Nolan’s most secretive project to fantasy epics like <i>Godzilla vs. Kong</i>, we got the rundown of the 30 best movies that shouldn’t be missed. Let’s have a look.",United Artists Releasing | Universal Pictures,,United Artists Releasing | Universal Pictures,,
1596,Promising Young Woman (April 17),"“Take her home and take your chances,” an intriguing tagline for an equally intriguing plot. <i>Promising Young Woman</i> stars Carey Mulligan as Cassie, a young woman who takes retribution one step ahead. Directed by Emerald Fennell, who also penned the sophomore season of <i>Killing Eve</i>, the movie has already garnered a terrific response at the Sundance Film Festival, heightening our excitement.",publish,Entertainment - TV & Film,Entertainment,2020’s Cinema Docket - Films Your Watchlist is Incomplete Without,"2019 was a big year for films. 2020, however, seems to be even more promising with the number of terrific movies on the horizon. From Christopher Nolan’s most secretive project to fantasy epics like <i>Godzilla vs. Kong</i>, we got the rundown of the 30 best movies that shouldn’t be missed. Let’s have a look.",Focus Features,,Focus Features,,
1598,Antebellum (April 24),"With strong performances in movies such as <i>Moonlight</i>, <i>Hidden Figures</i>, and <i>Harriet</i>, Janelle Monáe will now be seen in a leading role in <i>Antebellum</i>. The actress will play Veronica, a writer who gets stuck between present-day reality and pre-American Civil War. Like <i>Get Out</i>, the makers are keeping most plot details under wraps, which is great as we would like to be surprised.",publish,Entertainment - TV & Film,Entertainment,2020’s Cinema Docket - Films Your Watchlist is Incomplete Without,"2019 was a big year for films. 2020, however, seems to be even more promising with the number of terrific movies on the horizon. From Christopher Nolan’s most secretive project to fantasy epics like <i>Godzilla vs. Kong</i>, we got the rundown of the 30 best movies that shouldn’t be missed. Let’s have a look.",Lionsgate,,Lionsgate,,
1600,Black Widow (May 1),"The <i>Avengers</i> franchise might have come to an end, but Scarlett Johansson is back in action with the much-awaited standalone feature, <i>Black Widow</i>. After delivering an emotionally taxing performance in <i>Marriage Story</i>, we are eager to see her in a badass avatar. The movie follows the events of <i>Captain America: Civil War</i> where the former KGB assassin is compelled to confront a treacherous conspiracy related to her past. The film will be directed by Cate Shortland and will also star Oscar-nominated actress Florence Pugh.",publish,Entertainment - TV & Film,Entertainment,2020’s Cinema Docket - Films Your Watchlist is Incomplete Without,"2019 was a big year for films. 2020, however, seems to be even more promising with the number of terrific movies on the horizon. From Christopher Nolan’s most secretive project to fantasy epics like <i>Godzilla vs. Kong</i>, we got the rundown of the 30 best movies that shouldn’t be missed. Let’s have a look.",Marvel Studios,,Marvel Studios,,
