post_title,post_content,post_status,tags,category,sub_category,sub_category_description
"Myth: Pneumonia vaccine to your rescue
","Many are discussing the benefits of medications like the pneumococcal and Haemophilus influenza type B (Hib) vaccines against the new coronavirus. The discussion stems from the possibility that these viral vaccines are effective against viruses in general and that something is better than nothing.
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Truth: Pneumonia vaccines work just against pneumonia
","Numerous theories have been floating, and one of them is the possibility of other viral vaccines preventing the disease. Although the existing vaccines protect against specific respiratory illnesses, this is a new virus that needs a new vaccine.
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Myth: Summer is your friend against the coronavirus
","Another rampant myth making the rounds is that the novel coronavirus cannot survive in high temperatures. This has also led people to believe that come spring, the world will be able to breathe a sigh of relief as the virus will be less dangerous in certain regions, at the very least.
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Truth: Coronavirus is not affected by environmental temperatures
","This myth presumably stemmed from the fact that a lot of microbes can be killed at high temperatures, but these temperatures are much higher than those during summers. Granted that certain viruses, like the flu virus, are less prevalent during warm weather, the same cannot be said for the new coronavirus. Current evidence suggests that the disease is equally prevalent in countries like Australia and Singapore, and nothing points to a seasonal rise in temperature working against its spread.
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Myth: Hot water baths can prevent it
","Hot baths can be calming and soothing, and hot water can aid in killing the harmful new coronavirus on the skin, preventing the disease.
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Truth: Hot water baths only soothe muscle pain!
","Hot baths can warm or heat your skin, depending on the temperature of the water, but your body temperature remains the same. The virus, if it has entered your body, remains unaffected by the temperature of the water, but you might burn your skin if it’s too hot!
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Myth: Mosquito repellents can help
","Quite a few diseases known to man are transmitted by mosquitoes, so these insects can also be carriers of the new coronavirus.
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Truth: Or maybe not!
","While mosquitoes are responsible for the transmission of malaria, there has been no evidence of them partaking in the spread of the new coronavirus disease. It is a respiratory disease, and mosquitoes can only transmit diseases by transferring infected blood from one person to another. The coronavirus disease spreads through droplets that escape an infected person’s mouth when they cough or sneeze, so cover your nose and mouth and maintain a safe distance from people.

",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Myth: Dryers can kill the virus
","The belief that hot air kills the new coronavirus has led people to put their hand and hair dryers to use, hoping that they will get rid of the virus for good.",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Truth: The virus is persistent
","Dryers are not an effective tool for destroying this virus. Instead, you must wash your hands frequently with soap and water or use an alcohol-based hand rub. After washing your hands, use a paper towel or a warm air dryer to dry them.
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Myth: The virus can be detected with thermal scanners
","Thermal scanners can be effectively used for detecting people infected with the new coronavirus disease. This myth is a result of the use of thermal scanners in various public places to screen people for higher than normal body temperatures.
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Truth: Just a part of the screening process
","Although thermal scanners make the screening process easier, they only detect symptomatic patients of the disease. You must understand that everyone with a higher than normal body temperature may not necessarily have contracted the new coronavirus, and not everyone who has contracted it will have developed a fever. This is because a person might take 2 to 10 days to develop any symptoms after being infected.
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Myth: Ultraviolet lamps can be used as disinfectants
","UV light has been effectively used to disinfect surfaces and is effective in getting rid of microbes. It provides the desired results, so UV lamps can be used to disinfect our hands as well.
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Truth: Not suitable for the skin
","Although effective in disinfecting surfaces, UV lamps should not be used for disinfecting the hands or any part of the skin. The use of an ultraviolet lamp for sterilizing your hands might cause skin irritation as the skin is not immune to the harshness of the light.
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
"Myth: Spraying alcohol and chlorine on your body can kill the virus
","A widespread myth is that spraying the body with alcohol can help wash off the microorganism, and chlorine can also help rid unwanted microbes.
",Draft,Health,Gallery,22 Pervasive Coronavirus Myths Busted,"The coronavirus disease that originated in Wuhan, China, at the end of 2019 has quickly become a pandemic, testing the capacity of healthcare systems the world over. With millions now in quarantine, self-isolation, and lockdown, responsible governance and public cooperation are the need of the hour. Social media also has its part to play, the caveat being that people use it responsibly. Misconceptions around the disease abound, adding to the panic and disinformation. Here are some rampant myths and why they are false. Stay informed, stay safe, stay healthy.
"
