post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
2109,DOOM Eternal,"The much awaited release of your favorite first person shooter game has been confirmed for the month of March. DOOM Eternal teleports you to a new, improved, and visually enhanced combat battlegrounds set in multiple dimensions. The gameplay requires you to assume the role of Slayer, the only person who can stop the destruction of humanity.",publish,Video Games,Gallery,30 Games Every Serious Gamer is Looking Forward to in 2020,"In today’s culture, gaming has gained significant prominence as a solid recreational activity. That’s right! Statistics indicate that there is at least one gamer in nearly every household. While some play games to escape their daily humdrum routine, others have made a fortune by being a professional gamer. Gaming has now become a constantly evolving billion-dollar industry, with new games rolling out every year. Let’s take a look at 2020’s exclusive list of most awaited releases.",www.glitched.online,,en.wikipedia.org,,
2111,Half-Life- Alyx,Get ready to experience virtual reality (VR) gaming at its finest with the latest installment of Valve’s Half Life: Alyx. Take virtual control of Alyx Vance to guide him in the fight against the Combine. The game is compatible with a standard Steam VR headset that connects to any gaming PC that can handle the hardware.,publish,Video Games,Gallery,30 Games Every Serious Gamer is Looking Forward to in 2020,"In today’s culture, gaming has gained significant prominence as a solid recreational activity. That’s right! Statistics indicate that there is at least one gamer in nearly every household. While some play games to escape their daily humdrum routine, others have made a fortune by being a professional gamer. Gaming has now become a constantly evolving billion-dollar industry, with new games rolling out every year. Let’s take a look at 2020’s exclusive list of most awaited releases.",www.gamesradar.com,,www.imdb.com,,
2113,Resident Evil 3,"You alone can guide Jill Valentine to help her escape from the perils of Racoon City in Resident Evil’s latest installment. But wait, she is not alone this time as Jill is joined by Carlos, probably her only best friend in the revamped apocalyptic setting as they battle it out with Nemesis.",publish,Video Games,Gallery,30 Games Every Serious Gamer is Looking Forward to in 2020,"In today’s culture, gaming has gained significant prominence as a solid recreational activity. That’s right! Statistics indicate that there is at least one gamer in nearly every household. While some play games to escape their daily humdrum routine, others have made a fortune by being a professional gamer. Gaming has now become a constantly evolving billion-dollar industry, with new games rolling out every year. Let’s take a look at 2020’s exclusive list of most awaited releases.",www.trustedreviews.com,,www.imdb.com,,
2115,Final Fantasy® VII Remake,Final Fantasy® continues to be an iconic classic despite the launch of several remakes and revamped gameplay scenarios over the last few years. Fans are in for a treat this year with the seventh installment of this amazing RPG experience that started a gaming revolution back in 1987.,publish,Video Games,Gallery,30 Games Every Serious Gamer is Looking Forward to in 2020,"In today’s culture, gaming has gained significant prominence as a solid recreational activity. That’s right! Statistics indicate that there is at least one gamer in nearly every household. While some play games to escape their daily humdrum routine, others have made a fortune by being a professional gamer. Gaming has now become a constantly evolving billion-dollar industry, with new games rolling out every year. Let’s take a look at 2020’s exclusive list of most awaited releases.",in.ign.com,,www.imdb.com,,
2117,Wasteland 3,"If you love multiplayer FPS and RPG gaming, Wasteland 3 is the perfect squad-based game developed by inXile entertainment. Wasteland 3 now has co-op modes available. Each player gets to control their own squad in a uber realistic and dynamic gaming experience.",publish,Video Games,Gallery,30 Games Every Serious Gamer is Looking Forward to in 2020,"In today’s culture, gaming has gained significant prominence as a solid recreational activity. That’s right! Statistics indicate that there is at least one gamer in nearly every household. While some play games to escape their daily humdrum routine, others have made a fortune by being a professional gamer. Gaming has now become a constantly evolving billion-dollar industry, with new games rolling out every year. Let’s take a look at 2020’s exclusive list of most awaited releases.",www.inxile-entertainment.com,,www.instant-gaming.com,,
2119,The Last of Us Part II,"The initial installment of The Last of Us introduced gamers into a zombie apocalyptic world infected by the outbreak of the Cordyceps Brain Infection. The Last of Us Part II follows primary characters Ellie and Joel’s emotional, enthralling, and highly engaging journey as they fight tooth and nail to survive.",publish,Video Games,Gallery,30 Games Every Serious Gamer is Looking Forward to in 2020,"In today’s culture, gaming has gained significant prominence as a solid recreational activity. That’s right! Statistics indicate that there is at least one gamer in nearly every household. While some play games to escape their daily humdrum routine, others have made a fortune by being a professional gamer. Gaming has now become a constantly evolving billion-dollar industry, with new games rolling out every year. Let’s take a look at 2020’s exclusive list of most awaited releases.",screenrant.com,,www.imdb.com,,
2121,Ghost of Tsushima,"History fans unite! This game lets you assume the role of one of the last of the living Samurai’s in this thrilling alternate history gameplay that dates back to the Mongolian Era. Ghost of Tsushima follows the amazing story of Jin Saka, the last remaining survivor of his clan who must fight off the Mongol invasion.",publish,Video Games,Gallery,30 Games Every Serious Gamer is Looking Forward to in 2020,"In today’s culture, gaming has gained significant prominence as a solid recreational activity. That’s right! Statistics indicate that there is at least one gamer in nearly every household. While some play games to escape their daily humdrum routine, others have made a fortune by being a professional gamer. Gaming has now become a constantly evolving billion-dollar industry, with new games rolling out every year. Let’s take a look at 2020’s exclusive list of most awaited releases.",www.playstation.com,,www.imdb.com,,
2123,Marvel’s Avengers,"Avengers… Assemble! Now you get to be a part of earth’s mightiest heroes in this action-packed gaming experience developed by Crystal Dynamics. However, the all-star cast does not feature the original actors, which also explains why the CGI for the character animation looks different.",publish,Video Games,Gallery,30 Games Every Serious Gamer is Looking Forward to in 2020,"In today’s culture, gaming has gained significant prominence as a solid recreational activity. That’s right! Statistics indicate that there is at least one gamer in nearly every household. While some play games to escape their daily humdrum routine, others have made a fortune by being a professional gamer. Gaming has now become a constantly evolving billion-dollar industry, with new games rolling out every year. Let’s take a look at 2020’s exclusive list of most awaited releases.",as.com,,www.vitalthrills.com,,
2125,Halo Infinite,"The latest installment of the most popular first-person shooter franchise Halo is all set to entertain fans across the globe. Furnished with stunning graphics and detailed gameplay, Halo Infinite shows definite promise in a fast evolving world of FPS multiplayer games.",publish,Video Games,Gallery,30 Games Every Serious Gamer is Looking Forward to in 2020,"In today’s culture, gaming has gained significant prominence as a solid recreational activity. That’s right! Statistics indicate that there is at least one gamer in nearly every household. While some play games to escape their daily humdrum routine, others have made a fortune by being a professional gamer. Gaming has now become a constantly evolving billion-dollar industry, with new games rolling out every year. Let’s take a look at 2020’s exclusive list of most awaited releases.",www.gamesradar.com,,www.imdb.com,,
2127,Cyberpunk 2077,"Cyberpunk 2077 is another impressive, visually-enhanced, and highly detailed role playing game to look forward to this year. The open world plot encapsulates the role of playing a gun for hire who lurks in the colorful streets of Night City, a futuristic town.",publish,Video Games,Gallery,30 Games Every Serious Gamer is Looking Forward to in 2020,"In today’s culture, gaming has gained significant prominence as a solid recreational activity. That’s right! Statistics indicate that there is at least one gamer in nearly every household. While some play games to escape their daily humdrum routine, others have made a fortune by being a professional gamer. Gaming has now become a constantly evolving billion-dollar industry, with new games rolling out every year. Let’s take a look at 2020’s exclusive list of most awaited releases.",www.firstpost.com,,www.imdb.com,,
