post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
2051,Flammable Frozen Bubbles,"These frozen bubbles look like tiny flying saucers that have plummeted into the lake. Found in the Canadian lakes during winter, these gas bubbles are created when dead organic matters are consumed by bacteria that excrete methane. Although they are fairly harmless, these methane infused bubbles can explode if ignited.",publish,Weird,Gallery,30 Jaw-Dropping Natural Phenomena You Won’t Believe Exist,"The mysterious phenomena of our planet Earth will never stop astonishing us. Do you know what a moonbow is? Or a fire rainbow? Can you imagine that something as damaging as a fire tornado even exists? Some natural phenomena are so captivating that you'll feel like you've entered a fairyland, while others are so ghastly that it may give you nightmares if you happened to experience them. Here is a list of such strange natural phenomena that are observed around the world.",unsplash.com,,unsplash.com,,
2053,Blood Falls,"Unlike its name, this gory waterfall found in Antarctica is not a gush of blood from some mysterious laceration. Studies have revealed that due to high iron content in the water, it literally rusts on contact with air, giving the waterfall the frightening blood-red color.",publish,Weird,Gallery,30 Jaw-Dropping Natural Phenomena You Won’t Believe Exist,"The mysterious phenomena of our planet Earth will never stop astonishing us. Do you know what a moonbow is? Or a fire rainbow? Can you imagine that something as damaging as a fire tornado even exists? Some natural phenomena are so captivating that you'll feel like you've entered a fairyland, while others are so ghastly that it may give you nightmares if you happened to experience them. Here is a list of such strange natural phenomena that are observed around the world.",www.shutterstock.com,,www.shutterstock.com,,
2055,Volcanic Lightning,"Did you know that volcanoes can produce lightning that may seem like an entrance to hell? But this phenomenon can only take place in volcanic plumes of some erupting volcanoes. During the eruption, the densely-packed tiny particles produce a lot of friction which becomes electrically charged. This naturally occurring activity contributes to volcanic lightning.",publish,Weird,Gallery,30 Jaw-Dropping Natural Phenomena You Won’t Believe Exist,"The mysterious phenomena of our planet Earth will never stop astonishing us. Do you know what a moonbow is? Or a fire rainbow? Can you imagine that something as damaging as a fire tornado even exists? Some natural phenomena are so captivating that you'll feel like you've entered a fairyland, while others are so ghastly that it may give you nightmares if you happened to experience them. Here is a list of such strange natural phenomena that are observed around the world.",unsplash.com,,unsplash.com,,
2057,Fire Rainbow,"If you find rainbows beautiful, then the rare site of fire rainbows will definitely take your breath away. Fire rainbows or circumhorizontal arcs, are one such occurrences that resembles a colorful abstract painting in the sky. This rare natural wonder occurs when the sun is very high in the sky, and its rays pass through a specific type of ice cloud formation.",publish,Weird,Gallery,30 Jaw-Dropping Natural Phenomena You Won’t Believe Exist,"The mysterious phenomena of our planet Earth will never stop astonishing us. Do you know what a moonbow is? Or a fire rainbow? Can you imagine that something as damaging as a fire tornado even exists? Some natural phenomena are so captivating that you'll feel like you've entered a fairyland, while others are so ghastly that it may give you nightmares if you happened to experience them. Here is a list of such strange natural phenomena that are observed around the world.",www.shutterstock.com,,www.shutterstock.com,,
2059,Sailing Stones,"Isn't it spooky to see stones weighing hundreds of pounds move by themselves? Well, this terrifying event actually occurs in California’s Death Valley National Park. Although no one has ever seen the sailing stones in action, the deep groove marks that leave a trail behind them indicate that some of these rocks have moved a few hundred meters on their own.",publish,Weird,Gallery,30 Jaw-Dropping Natural Phenomena You Won’t Believe Exist,"The mysterious phenomena of our planet Earth will never stop astonishing us. Do you know what a moonbow is? Or a fire rainbow? Can you imagine that something as damaging as a fire tornado even exists? Some natural phenomena are so captivating that you'll feel like you've entered a fairyland, while others are so ghastly that it may give you nightmares if you happened to experience them. Here is a list of such strange natural phenomena that are observed around the world.",www.shutterstock.com,,www.shutterstock.com,,
2061,Murmurations,Have you ever been enthralled by a huge flock of birds fluttering in the sky? Murmurations are a similar phenomenon that occurs when hundreds or thousands of starlings soar in the sky in an intricately coordinated pattern. This complex dance of starlings is executed by some relatively simple rules- watch and follow your neighbor.,publish,Weird,Gallery,30 Jaw-Dropping Natural Phenomena You Won’t Believe Exist,"The mysterious phenomena of our planet Earth will never stop astonishing us. Do you know what a moonbow is? Or a fire rainbow? Can you imagine that something as damaging as a fire tornado even exists? Some natural phenomena are so captivating that you'll feel like you've entered a fairyland, while others are so ghastly that it may give you nightmares if you happened to experience them. Here is a list of such strange natural phenomena that are observed around the world.",unsplash.com,,unsplash.com,,
2063,Lenticular Clouds,"Can clouds be mistaken for UFOs? Hell, yes. You will be surprised to know that because of their saucer-like shape, some people thought that the lenticular clouds were actual UFOs. Lenticular clouds are lens-shaped clouds that are generally formed where stable moist air flows over a mountain.",publish,Weird,Gallery,30 Jaw-Dropping Natural Phenomena You Won’t Believe Exist,"The mysterious phenomena of our planet Earth will never stop astonishing us. Do you know what a moonbow is? Or a fire rainbow? Can you imagine that something as damaging as a fire tornado even exists? Some natural phenomena are so captivating that you'll feel like you've entered a fairyland, while others are so ghastly that it may give you nightmares if you happened to experience them. Here is a list of such strange natural phenomena that are observed around the world.",unsplash.com,,unsplash.com,,
2065,Skeleton Flowers,"Have you ever been creeped out by a flower? Well, these flowers may creep you out a bit. Skeleton flowers are pretty looking white-colored flowers that become transparent when drenched in rainwater. The fading of the color is the result of the loose cell structure of the flower, and not because of its color being washed away. The flowers return to their original white color when dried.",publish,Weird,Gallery,30 Jaw-Dropping Natural Phenomena You Won’t Believe Exist,"The mysterious phenomena of our planet Earth will never stop astonishing us. Do you know what a moonbow is? Or a fire rainbow? Can you imagine that something as damaging as a fire tornado even exists? Some natural phenomena are so captivating that you'll feel like you've entered a fairyland, while others are so ghastly that it may give you nightmares if you happened to experience them. Here is a list of such strange natural phenomena that are observed around the world.",unsplash.com,,unsplash.com,,
2067,Bioluminescent Waves,"Bioluminescence is one of the most spellbinding natural phenomena that is observed in many beaches across the world at night. Many living organisms or phytoplankton are bioluminescent, meaning they convert energy into light energy, and are remarkably noticeable when they are washed ashore by the tides.",publish,Weird,Gallery,30 Jaw-Dropping Natural Phenomena You Won’t Believe Exist,"The mysterious phenomena of our planet Earth will never stop astonishing us. Do you know what a moonbow is? Or a fire rainbow? Can you imagine that something as damaging as a fire tornado even exists? Some natural phenomena are so captivating that you'll feel like you've entered a fairyland, while others are so ghastly that it may give you nightmares if you happened to experience them. Here is a list of such strange natural phenomena that are observed around the world.",www.shutterstock.com,,unsplash.com,,
2069,Light Pillars,"No, they are not bright enough to be used as a replacement for street lamps! Light pillars are usually seen in the northern regions closer to the Arctic. The tall, narrow rods of light are produced when light from the street lamps hit the ice crystal present in the atmosphere.",publish,Weird,Gallery,30 Jaw-Dropping Natural Phenomena You Won’t Believe Exist,"The mysterious phenomena of our planet Earth will never stop astonishing us. Do you know what a moonbow is? Or a fire rainbow? Can you imagine that something as damaging as a fire tornado even exists? Some natural phenomena are so captivating that you'll feel like you've entered a fairyland, while others are so ghastly that it may give you nightmares if you happened to experience them. Here is a list of such strange natural phenomena that are observed around the world.",www.shutterstock.com,,www.shutterstock.com,,
