post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
3144,Train to Busan (2016),"<b>Genre:</b> Action, Horror, Mystery &amp; Suspense
 <b>Director: </b> Yeon Sang-ho
 <b>What’s it about?</b>
 A zombie apocalypse witnesses a father trying to save his daughter by taking her to a safe place in Busan, only accessible by train. This movie is the perfect combination of gore, tension, and suspense, with just the right amount of emotion to leave you weepy.",publish,Entertainment - TV & Film,Entertainment,30 Korean Movies (Besides Parasite) That You Should Watch,"Parasite’s acclaim is proof that it’s about time we stopped sleeping on Korean cinema. Taking home 4 Oscars this year, the movie gave us a glimpse into the brilliant world of the Korean film industry; a world with a diverse selection of movies that are great in terms of production, storyline, acting, screenplay, direction and so much more. So, if you loved Parasite, here are some must-watch Korean movie recommendations for you.",Next Entertainment World,,Next Entertainment World,,
3146,A Tale of Two Sisters (2003),"<b>Genre:</b> Drama, Horror, Mystery &amp; Suspense
 <b>Director:</b> Kim Jee-woon
 <b>What’s it about?</b>
 Inspired by an ancient Korean folktale, the movie follows two sisters who return home from hospitalization after the death of their mother. Waiting at their isolated lakeside home is their father’s new wife. Full of questions you will struggle to answer, telling you anything more might ruin the story, so go check it out for yourself.",publish,Entertainment - TV & Film,Entertainment,30 Korean Movies (Besides Parasite) That You Should Watch,"Parasite’s acclaim is proof that it’s about time we stopped sleeping on Korean cinema. Taking home 4 Oscars this year, the movie gave us a glimpse into the brilliant world of the Korean film industry; a world with a diverse selection of movies that are great in terms of production, storyline, acting, screenplay, direction and so much more. So, if you loved Parasite, here are some must-watch Korean movie recommendations for you.",Cineclick Asia | Big Blue Film,,Cineclick Asia | Big Blue Film,,
3148,Bloody Reunion (2006),"<b>Genre:</b> Horror, Thriller
 <b>Director:</b> Lim Dae-woong
 <b>What’s it about?</b>
 Former students reunite to meet and cheer-up their wheelchair-bound sick teacher when out of nowhere, as it tends to happen, someone in a creepy rabbit mask begins to murder everyone. High-school reunions are bittersweet events anyway and the nightmares this movie will leave you with could possibly convince you to not attend yours!",publish,Entertainment - TV & Film,Entertainment,30 Korean Movies (Besides Parasite) That You Should Watch,"Parasite’s acclaim is proof that it’s about time we stopped sleeping on Korean cinema. Taking home 4 Oscars this year, the movie gave us a glimpse into the brilliant world of the Korean film industry; a world with a diverse selection of movies that are great in terms of production, storyline, acting, screenplay, direction and so much more. So, if you loved Parasite, here are some must-watch Korean movie recommendations for you.",Show East,,Show East,,
3150,The Wailing (2016),"<b>Genre:</b> Drama, Mystery &amp; Suspense
 <b>Director:</b> Na Hong-jin
 <b>What’s it about?</b>
 A mysterious stranger arrives at a rural town making the people suspicious of his intentions. Soon after, people begin to murder each other for no apparent reason. Pandemonium much?",publish,Entertainment - TV & Film,Entertainment,30 Korean Movies (Besides Parasite) That You Should Watch,"Parasite’s acclaim is proof that it’s about time we stopped sleeping on Korean cinema. Taking home 4 Oscars this year, the movie gave us a glimpse into the brilliant world of the Korean film industry; a world with a diverse selection of movies that are great in terms of production, storyline, acting, screenplay, direction and so much more. So, if you loved Parasite, here are some must-watch Korean movie recommendations for you.",20th Century Fox Korea,,20th Century Fox Korea,,
3152,Office (2015),"<b>Genre:</b> Thriller
 <b>Director:</b> Hong Won-chan
 <b>What’s it about?</b>
 Section chief Kim Byong-gook was known by his colleagues as a family man with a steady personality. One day, he ups and kills his entire family, opening the door to cans of worms fed by the bitter corporate culture. As investigations begin, it is observed that the killer entered the office but never left, leaving all the employees scared for their lives. Moral of the story: Be nice to all your colleagues.",publish,Entertainment - TV & Film,Entertainment,30 Korean Movies (Besides Parasite) That You Should Watch,"Parasite’s acclaim is proof that it’s about time we stopped sleeping on Korean cinema. Taking home 4 Oscars this year, the movie gave us a glimpse into the brilliant world of the Korean film industry; a world with a diverse selection of movies that are great in terms of production, storyline, acting, screenplay, direction and so much more. So, if you loved Parasite, here are some must-watch Korean movie recommendations for you.",Little Big Pictures,,Little Big Pictures,,
3154,Burning (2018),"<b>Genre:</b> Drama, Mystery &amp; Suspense
 <b>Director:</b> Lee Chang-dong
 <b>What’s it about?</b>
 An aspiring writer performs odd jobs to make ends meet. During one of his jobs, he runs into a childhood friend who requests him to look after her cat while she’s away. When she comes back to town, she has a wealthy man with a weird hobby on her arms and more secrets than she left with. You’ll have to watch it to see what happens next.",publish,Entertainment - TV & Film,Entertainment,30 Korean Movies (Besides Parasite) That You Should Watch,"Parasite’s acclaim is proof that it’s about time we stopped sleeping on Korean cinema. Taking home 4 Oscars this year, the movie gave us a glimpse into the brilliant world of the Korean film industry; a world with a diverse selection of movies that are great in terms of production, storyline, acting, screenplay, direction and so much more. So, if you loved Parasite, here are some must-watch Korean movie recommendations for you.",CGV Arthouse,,CGV Arthouse,,
3156,I Saw The Devil (2011),"<b>Genre:</b> Action, Mystery &amp; Suspense
 <b>Director:</b> Kim Jee-woon
 <b>What’s it about?</b>
 A psychopathic serial killer, a brutally murdered fiance, a revenge-seeking agent and lots of traumatizing imagery replete with gore and murder. Recipe for a blockbuster? Audiences sure thought so!",publish,Entertainment - TV & Film,Entertainment,30 Korean Movies (Besides Parasite) That You Should Watch,"Parasite’s acclaim is proof that it’s about time we stopped sleeping on Korean cinema. Taking home 4 Oscars this year, the movie gave us a glimpse into the brilliant world of the Korean film industry; a world with a diverse selection of movies that are great in terms of production, storyline, acting, screenplay, direction and so much more. So, if you loved Parasite, here are some must-watch Korean movie recommendations for you.",Magnet Releasing (US & Canada),,Magnet Releasing (US & Canada),,
3158,Memories of Murder (2003),"<b>Genre:</b> Drama, Mystery &amp; Suspense
 <b>Director:</b> Bong Joon-ho
 <b>What’s it about?</b>
 A pair of detectives run around town trying to solve multiple cases of women being brutally raped and murdered by a serial killer. With challenges of rudimentary technology and clashing personalities, the movie frustrates and puzzles in turns, remaining engaging throughout it all. Based on a real story, this is a must-watch for true crime lovers.",publish,Entertainment - TV & Film,Entertainment,30 Korean Movies (Besides Parasite) That You Should Watch,"Parasite’s acclaim is proof that it’s about time we stopped sleeping on Korean cinema. Taking home 4 Oscars this year, the movie gave us a glimpse into the brilliant world of the Korean film industry; a world with a diverse selection of movies that are great in terms of production, storyline, acting, screenplay, direction and so much more. So, if you loved Parasite, here are some must-watch Korean movie recommendations for you.",CJ Entertainment,,CJ Entertainment,,
3160,Peppermint Candy (2000),"<b>Genre:</b> Drama
 <b>Director:</b> Chang-dong Lee
 <b>What’s it about?</b>
 The movie opens with a man committing suicide, followed by the events of the last two decades that led to his eventual demise. A heartfelt and touching story, will 10/10 leave you in tears.",publish,Entertainment - TV & Film,Entertainment,30 Korean Movies (Besides Parasite) That You Should Watch,"Parasite’s acclaim is proof that it’s about time we stopped sleeping on Korean cinema. Taking home 4 Oscars this year, the movie gave us a glimpse into the brilliant world of the Korean film industry; a world with a diverse selection of movies that are great in terms of production, storyline, acting, screenplay, direction and so much more. So, if you loved Parasite, here are some must-watch Korean movie recommendations for you.",Shindo Films | Cineclick Asia,,Shindo Films | Cineclick Asia,,
3162,A Hard Day (2014),"<b>Genre:</b> Action &amp; Adventure, Drama
<b>Director:</b> Kim Seong-Hun
<b>What’s it about?</b>
A corrupt cop gets into an accident and ends up killing a homeless man. He covers up the accident and stashes the body away. Too bad for him it doesn’t end there and devolves into a cesspool faster than you can say stop.",publish,Entertainment - TV & Film,Entertainment,30 Korean Movies (Besides Parasite) That You Should Watch,"Parasite’s acclaim is proof that it’s about time we stopped sleeping on Korean cinema. Taking home 4 Oscars this year, the movie gave us a glimpse into the brilliant world of the Korean film industry; a world with a diverse selection of movies that are great in terms of production, storyline, acting, screenplay, direction and so much more. So, if you loved Parasite, here are some must-watch Korean movie recommendations for you.",Showbox/Mediaplex,,Showbox/Mediaplex,,
