post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
904,Cardi B,"Last year, the “Bodak Yellow” artist ruled the rap scene with her Grammy-winning album, <i>Invasion of Privacy</i>. She kept the momentum going with her snippy singles “Money” and “Press”, a duet with Bruno Mars on a No.1 hit, a film debut, and by judging on the Netflix show <i>Rhythm + Flow</i>. The uninhibited Cardi B is said to be back this year with her tentatively titled album <i>Tiger Woods</i> (apparently the title was a joke).",publish,Music,Entertainment,30 Most Anticipated Albums of 2020,"New Year, new jam! 2020 is here and it seems like it’s the year of fabulous music. Major artists including Bruce Springsteen, Drake, Lana Del Rey, and Lady Gaga have already confirmed new projects. Other major players including BTS and Kesha have already dropped their new album. With well-established stars and some new ones releasing their work this year, it's going to be an amazeballs year for music.
What’s more is that there are hot rumors of some A-listers (Lady Gaga, Rihanna, et al.) releasing their brand-new album after ages! Here are some of the most anticipated albums of 2020 we are looking forward to. BTW, this list is in no specific order whatsoever.""",Christopher Polk/Shutterstock,,Christopher Polk/Shutterstock,,
2769,Dua Lipa,"She has given us pop anthems (“IDGAF”, “New Rules”, et al.) to get over the toxic ex who keeps coming back like a boomerang. After winning the Best New Artist in 2019 Grammys, Dua Lipa is back with her brand-new album, <i>Future Nostalgia</i>. The two leading singles “Future Nostalgia” and “Don’t Start Now” are heavily influenced by pop icons Madonna, Gwen Stefani, and OutKast. We have heard the banger song “Don’t Start Now” and will be dancing to it till the next album comes along.",publish,Music,Entertainment,30 Most Anticipated Albums of 2020,"New Year, new jam! 2020 is here and it seems like it’s the year of fabulous music. Major artists including Bruce Springsteen, Drake, Lana Del Rey, and Lady Gaga have already confirmed new projects. Other major players including BTS and Kesha have already dropped their new album. With well-established stars and some new ones releasing their work this year, it's going to be an amazeballs year for music.
What’s more is that there are hot rumors of some A-listers (Lady Gaga, Rihanna, et al.) releasing their brand-new album after ages! Here are some of the most anticipated albums of 2020 we are looking forward to. BTW, this list is in no specific order whatsoever.""",Christopher Polk/Rolling Stone/Shutterstock,,Christopher Polk/Rolling Stone/Shutterstock,,
2771,Pearl Jam,"The much-loved rock band is back with a bang. Pearl Jam hasn’t released a single album since <i>Lightning Bolt</i>, which was way back in 2013. We had heard rumors of a new Pearl Jam album dropping in 2020. Guess what? In January, the band announced the release of their new album, <i>Gigaton</i>. Although <i>Lightning Bolt</i> didn’t hit us that hard, <i>Gigaton</i> is believed to be loaded with energy and catharsis synonymous with the band.",publish,Music,Entertainment,30 Most Anticipated Albums of 2020,"New Year, new jam! 2020 is here and it seems like it’s the year of fabulous music. Major artists including Bruce Springsteen, Drake, Lana Del Rey, and Lady Gaga have already confirmed new projects. Other major players including BTS and Kesha have already dropped their new album. With well-established stars and some new ones releasing their work this year, it's going to be an amazeballs year for music.
What’s more is that there are hot rumors of some A-listers (Lady Gaga, Rihanna, et al.) releasing their brand-new album after ages! Here are some of the most anticipated albums of 2020 we are looking forward to. BTW, this list is in no specific order whatsoever.""",Rmv/Shutterstock,,Rmv/Shutterstock,,
2773,Lady Gaga,"Lady Gaga’s fans went into a tizzy when she posted this on Twitter in 2019: “Rumors I’m pregnant? Yeah, I’m pregnant with #LG6.” Many have speculated that #LG6 is her new album. We understand that she has been busy with the Oscars, Grammys, and Met Gala, but with 2020 here, we are pretty excited to see if she decides to bless us with her new album.",publish,Music,Entertainment,30 Most Anticipated Albums of 2020,"New Year, new jam! 2020 is here and it seems like it’s the year of fabulous music. Major artists including Bruce Springsteen, Drake, Lana Del Rey, and Lady Gaga have already confirmed new projects. Other major players including BTS and Kesha have already dropped their new album. With well-established stars and some new ones releasing their work this year, it's going to be an amazeballs year for music.
What’s more is that there are hot rumors of some A-listers (Lady Gaga, Rihanna, et al.) releasing their brand-new album after ages! Here are some of the most anticipated albums of 2020 we are looking forward to. BTW, this list is in no specific order whatsoever.""",Erik Pendzich/Shutterstock,,Erik Pendzich/Shutterstock,,
2775,Selena Gomez,"The “Hands to Myself” singer has come a long way from her Disney days. Her personal and musical growth was pretty evident in her 2015 album <i>Revival</i>. Following her struggles with lupus and blow hot and cold romance with Justin Bieber, Selena Gomez has come out shining. Her leading single “Lose You to Love Me” from her new album <i>Rare</i> is already a smashing hit; it’s her very first No.1 single!",publish,Music,Entertainment,30 Most Anticipated Albums of 2020,"New Year, new jam! 2020 is here and it seems like it’s the year of fabulous music. Major artists including Bruce Springsteen, Drake, Lana Del Rey, and Lady Gaga have already confirmed new projects. Other major players including BTS and Kesha have already dropped their new album. With well-established stars and some new ones releasing their work this year, it's going to be an amazeballs year for music.
What’s more is that there are hot rumors of some A-listers (Lady Gaga, Rihanna, et al.) releasing their brand-new album after ages! Here are some of the most anticipated albums of 2020 we are looking forward to. BTW, this list is in no specific order whatsoever.""",Chelsea Lauren/Shutterstock,,Chelsea Lauren/Shutterstock,,
2777,Red Hot Chili Peppers,"We have been anticipating the epic funk rockers to drop their album since Flea published his memoir <i>Acid for Children</i>. With John Frusciante, a guitarist, back into the band after 10 years, we knew there’s something up. Guess what? Chad Smith announced that Red Hot Chili Peppers is actually dropping their 12th studio album this year. Let's hope they'll “give it away” some time soon.",publish,Music,Entertainment,30 Most Anticipated Albums of 2020,"New Year, new jam! 2020 is here and it seems like it’s the year of fabulous music. Major artists including Bruce Springsteen, Drake, Lana Del Rey, and Lady Gaga have already confirmed new projects. Other major players including BTS and Kesha have already dropped their new album. With well-established stars and some new ones releasing their work this year, it's going to be an amazeballs year for music.
What’s more is that there are hot rumors of some A-listers (Lady Gaga, Rihanna, et al.) releasing their brand-new album after ages! Here are some of the most anticipated albums of 2020 we are looking forward to. BTW, this list is in no specific order whatsoever.""",Alberto Reyes/Shutterstock,,Alberto Reyes/Shutterstock,,
2779,Rihanna,"It’s been quite long since the Fenty Beauty queen gave us her double-platinum album back in 2016. True, RiRi had us dancing to her tunes in the past couple of years with her hit singles including “Work” and “Needed Me”. Like her Navy, we too have been expecting new material from RiRi. She did drop a teensy hint in her fabulously pouty red-lipped selfie on Instagram last year, following which her fans have been speculating the release of her new album. This could probably be named <i>Balance</i>. We just want another RiRi album soon. No pressure though.",publish,Music,Entertainment,30 Most Anticipated Albums of 2020,"New Year, new jam! 2020 is here and it seems like it’s the year of fabulous music. Major artists including Bruce Springsteen, Drake, Lana Del Rey, and Lady Gaga have already confirmed new projects. Other major players including BTS and Kesha have already dropped their new album. With well-established stars and some new ones releasing their work this year, it's going to be an amazeballs year for music.
What’s more is that there are hot rumors of some A-listers (Lady Gaga, Rihanna, et al.) releasing their brand-new album after ages! Here are some of the most anticipated albums of 2020 we are looking forward to. BTW, this list is in no specific order whatsoever.""",Matt Baron/Shutterstock,,Matt Baron/Shutterstock,,
2781,BTS,"The A.R.M.Y (BTS fans) is sure spoilt for choice. The K-Pop superstars have been consistently releasing an EP every year. In 2019, their EP <i>Map of the Soul: Persona</i> became the best-selling album in South Korea. The unstoppable BTS has followed up <i>Persona</i> with a sequel in 2020. <i>Map of the Soul: 7</i> has the fab 7 exploring newer styles, as always. They have collaborated with Sia, Troye Sivan, and Halsey. Will they ever stop? Well, “not today”!",publish,Music,Entertainment,30 Most Anticipated Albums of 2020,"New Year, new jam! 2020 is here and it seems like it’s the year of fabulous music. Major artists including Bruce Springsteen, Drake, Lana Del Rey, and Lady Gaga have already confirmed new projects. Other major players including BTS and Kesha have already dropped their new album. With well-established stars and some new ones releasing their work this year, it's going to be an amazeballs year for music.
What’s more is that there are hot rumors of some A-listers (Lady Gaga, Rihanna, et al.) releasing their brand-new album after ages! Here are some of the most anticipated albums of 2020 we are looking forward to. BTW, this list is in no specific order whatsoever.""",Seokyong Lee/Penta Press/Shutterstock,,Seokyong Lee/Penta Press/Shutterstock,,
2783,Alanis Morissette,"Back in 1995, Alanis Morissette made her first international debut with her third studio album <i>Jagged Little Pill</i>. 2020 marks the 25th anniversary of her era-defining rock album. The prolific artist even wrote a Broadway musical based on her album. Following one of the most sensational tours with Liz Phair and Garbage, Alanis is all set to make a comeback with her latest album <i>Such Pretty Forks in the Road</i>. The lead single “Reasons I Drink” is giving us major juke-joint piano vibes.",publish,Music,Entertainment,30 Most Anticipated Albums of 2020,"New Year, new jam! 2020 is here and it seems like it’s the year of fabulous music. Major artists including Bruce Springsteen, Drake, Lana Del Rey, and Lady Gaga have already confirmed new projects. Other major players including BTS and Kesha have already dropped their new album. With well-established stars and some new ones releasing their work this year, it's going to be an amazeballs year for music.
What’s more is that there are hot rumors of some A-listers (Lady Gaga, Rihanna, et al.) releasing their brand-new album after ages! Here are some of the most anticipated albums of 2020 we are looking forward to. BTW, this list is in no specific order whatsoever.""",Agf/Shutterstock,,Agf/Shutterstock,,
2785,Green Day,"When it comes to Green Day’s music, Billie Joe Armstrong says there are no rules. From the rock-opera American Idiot in 2004 to the ode to Clash with <i>Revolution Radio</i> in 2016, the American punk rock band has consistently been producing music over the years. Although we still crave the fierce political vibes of <i>American Idiot</i> and <i>21st Century Breakdown</i>, their 13th album, <i>Father of All M*^!@#$%^&amp;*#s</i> is full of timeless good-kind-of earworm singles.",publish,Music,Entertainment,30 Most Anticipated Albums of 2020,"New Year, new jam! 2020 is here and it seems like it’s the year of fabulous music. Major artists including Bruce Springsteen, Drake, Lana Del Rey, and Lady Gaga have already confirmed new projects. Other major players including BTS and Kesha have already dropped their new album. With well-established stars and some new ones releasing their work this year, it's going to be an amazeballs year for music.
What’s more is that there are hot rumors of some A-listers (Lady Gaga, Rihanna, et al.) releasing their brand-new album after ages! Here are some of the most anticipated albums of 2020 we are looking forward to. BTW, this list is in no specific order whatsoever.""",Chelsea Lauren/Shutterstock,,Chelsea Lauren/Shutterstock,,
