post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
3204,The books show more of time travel and explains it better,"<b>In the books:</b> The historically accurate series is not only for history buffs but also appeals to sci-fi lovers as it focuses on Claire traveling through time. The entire concept of time travel is deeply inserted into the story, and the books also show how some of Claire’s friends and enemies are time travelers as well. 
 <b>On the show:</b> The show’s explanation of time travel is rather unclear and fans do not get to experience the depths of Gabaldon’s texts.",publish,Entertainment - TV & Film,Entertainment,30 Times The Outlander Show Differed from the Books,"<i>Outlander</i> began airing in 2014, and since then, has had us completely hooked. We stan Jamie and Claire’s love that transcends time (literally), and with Droughtlander coming to an end, we’re doing a quick rundown of how much the series has moved away from the books in all these past seasons. Spoilers ahead!",Sony Pictures Television,,Sony Pictures Television,,
3206,The books bring history to life,"<b>In the books:</b> The <i>Outlander</i> books are a great nod to the history of Scotland. The entire premise of the story is sewn into historical facts, which bring the past to life and make the books so much more interesting to read.
 <b>On the show:</b> While the show does a great job of portraying life in 18th century Scotland, it misses out on the nuances that are depicted in the book.",publish,Entertainment - TV & Film,Entertainment,30 Times The Outlander Show Differed from the Books,"<i>Outlander</i> began airing in 2014, and since then, has had us completely hooked. We stan Jamie and Claire’s love that transcends time (literally), and with Droughtlander coming to an end, we’re doing a quick rundown of how much the series has moved away from the books in all these past seasons. Spoilers ahead!",Sony Pictures Television,,Sony Pictures Television,,
3208,The show does not compare to the books when it comes to the intimate scenes,"<b>In the books:</b> Reading the novels will make you sweaty, because my word, it is hot! Any reader can testify to the number of intimate moments Claire and Jamie share throughout the books. All of which are epic in nature! 
 <b>On the show:</b> The show has its moments, actually, it has a lot of moments (which we all secretly love) but it’s way “less” intimate than the books. The scenes are toned down by a whole lot.",publish,Entertainment - TV & Film,Entertainment,30 Times The Outlander Show Differed from the Books,"<i>Outlander</i> began airing in 2014, and since then, has had us completely hooked. We stan Jamie and Claire’s love that transcends time (literally), and with Droughtlander coming to an end, we’re doing a quick rundown of how much the series has moved away from the books in all these past seasons. Spoilers ahead!",Sony Pictures Television,,Sony Pictures Television,,
3210,The books rightly portray how difficult and complex love can be,"<b>In the books:</b> Gabaldon sure knows how to write love, for she depicts it exactly how it is - complex and beyond the understanding of us mere mortals. Each character in print deals with this complexity of emotion. 
 <b>On the show:</b> The show portrays the characters and their love as linear and easy as pie, which from our own experiences, we know, is not true!",publish,Entertainment - TV & Film,Entertainment,30 Times The Outlander Show Differed from the Books,"<i>Outlander</i> began airing in 2014, and since then, has had us completely hooked. We stan Jamie and Claire’s love that transcends time (literally), and with Droughtlander coming to an end, we’re doing a quick rundown of how much the series has moved away from the books in all these past seasons. Spoilers ahead!",Sony Pictures Television,,Sony Pictures Television,,
3212,The books give a better understanding of the clans and their traditions,"<b>In the books:</b> Gabaldon’s texts give us a thorough background of the Scottish clans and their prejudices against each other. The books’ in-depth narrative helps appreciate their attitude and pride much better. 
 <b>On the show:</b> We see the clans with their swords at each other’s throats on the show but rarely is it explained why it is so.",publish,Entertainment - TV & Film,Entertainment,30 Times The Outlander Show Differed from the Books,"<i>Outlander</i> began airing in 2014, and since then, has had us completely hooked. We stan Jamie and Claire’s love that transcends time (literally), and with Droughtlander coming to an end, we’re doing a quick rundown of how much the series has moved away from the books in all these past seasons. Spoilers ahead!",Sony Pictures Television,,Sony Pictures Television,,
3214,The show pretends that Claire ever had a chance to leave Castle Leoch,"<b>In the books:</b> The books waste no time pretending that Claire ever had a chance to leave Castle Leoch behind and go back to her supposed family in France. They straight away put her to work as a healer at the castle. 
 <b>On the show:</b> In season one’s episode <i>Castle Leoch</i>, we see Claire pack her bags and get ready to ride out. Alas! She is stopped and kept at the castle as a healer against her will. This isn’t just because the clan required a healer but mainly since Colum, Laird of Castle Leoch suspected her to be an English spy.",publish,Entertainment - TV & Film,Entertainment,30 Times The Outlander Show Differed from the Books,"<i>Outlander</i> began airing in 2014, and since then, has had us completely hooked. We stan Jamie and Claire’s love that transcends time (literally), and with Droughtlander coming to an end, we’re doing a quick rundown of how much the series has moved away from the books in all these past seasons. Spoilers ahead!",Sony Pictures Television,,Sony Pictures Television,,
3216,Jamie is rumored to be Hamish’s father in the books,"<b>In the books:</b> Readers, for a long time believed that it was actually Jamie who fathered Hamish (the son of Colum MacKenzie) but only at the very end was it revealed that Colum’s brother Dougal was Hamish’s actual father. 
 <b>On the show:</b> In the ninth episode of season one, Jamie, Dougal, and the rest of the pack head back to Castle Leoch. Upon their arrival, it is revealed that Colum has been aware of Dougal’s collections for the Jacobite army. As the conversation turns heated, Dougal finally spills the beans that Hamish is actually his son and not Colum’s.",publish,Entertainment - TV & Film,Entertainment,30 Times The Outlander Show Differed from the Books,"<i>Outlander</i> began airing in 2014, and since then, has had us completely hooked. We stan Jamie and Claire’s love that transcends time (literally), and with Droughtlander coming to an end, we’re doing a quick rundown of how much the series has moved away from the books in all these past seasons. Spoilers ahead!",Sony Pictures Television,,Sony Pictures Television,,
3218,"Jamie is left-handed, at least as per the books","<b>In the books:</b> When Sam Heugen who plays Jamie Fraser emailed Gabaldon asking her about why Jamie was left-handed, she first explained the mythological aspects of the decision i.e. left-handedness was seen as a sign that demons had been at your cradle. She also mentioned how red hair was considered synonymous with the devil. So, a red-headed, left-handed person would make for a suspicious character. She also added that Jamie trained with Dougal (who himself is left-handed), thus picking up his moves. 
 <b>On the show:</b> Well, on the show, Jamie is right-handed. We’re guessing casting a red-headed Scot who is also left-handed would be sort of difficult.",publish,Entertainment - TV & Film,Entertainment,30 Times The Outlander Show Differed from the Books,"<i>Outlander</i> began airing in 2014, and since then, has had us completely hooked. We stan Jamie and Claire’s love that transcends time (literally), and with Droughtlander coming to an end, we’re doing a quick rundown of how much the series has moved away from the books in all these past seasons. Spoilers ahead!",Sony Pictures Television,,Sony Pictures Television,,
3220,The show gave us a simplified version of Claire’s wedding ring,"<b>In the books:</b> Readers can testify to the fact that in the book, Jamie melts the key to make the wedding ring, but it also describes the ring as “A Highland interlace pattern, the links engraved with tiny, stylized thistle blooms.” A fancy ring fit for a fancy bride. 
 <b>On the show:</b> In season one, episode <i>The Wedding</i>, Jamie makes a ring for Claire. Symbolic of her newly achieved status as the <i>Lady of Lallybroch</i>, the red-headed Scot fashions her a ring out of the key to their home. (OMG, literal tears!) But, the ring is rather simple; the creators of the show only changed it in season four, when it gets stolen by a thief, Stephen Bonnet.",publish,Entertainment - TV & Film,Entertainment,30 Times The Outlander Show Differed from the Books,"<i>Outlander</i> began airing in 2014, and since then, has had us completely hooked. We stan Jamie and Claire’s love that transcends time (literally), and with Droughtlander coming to an end, we’re doing a quick rundown of how much the series has moved away from the books in all these past seasons. Spoilers ahead!",Sony Pictures Television,,Sony Pictures Television,,
3222,The show didn’t give us enough on Jamie’s family heirloom - the pearl necklace,"<b>In the books:</b> Jamie gives Claire the pearl necklace before she walks down the aisle. In fact, the books go further to explain the origins of the necklace and what it meant as he clasps the pearls around Claire’s neck. 
 <b>On the show:</b> The show moved away from the books by showing that Claire receives the family heirloom that belonged to Jamie’s mother as a special gift from him on their wedding night.",publish,Entertainment - TV & Film,Entertainment,30 Times The Outlander Show Differed from the Books,"<i>Outlander</i> began airing in 2014, and since then, has had us completely hooked. We stan Jamie and Claire’s love that transcends time (literally), and with Droughtlander coming to an end, we’re doing a quick rundown of how much the series has moved away from the books in all these past seasons. Spoilers ahead!",Sony Pictures Television,,Sony Pictures Television,,
3224,The show also has more POVs than the books,"<b>In the books:</b> Any reader would know that the entirety of the Outlander book series is narrated by Claire and only Claire. 
 <b>On the show:</b> While the show begins with Claire’s narration, we get a POV from Jamie in the second volume of season one, beginning with the episode <i>The Reckoning</i>. We think the change in POV is a great idea as we get to see the narrative from a completely different perspective.",publish,Entertainment - TV & Film,Entertainment,30 Times The Outlander Show Differed from the Books,"<i>Outlander</i> began airing in 2014, and since then, has had us completely hooked. We stan Jamie and Claire’s love that transcends time (literally), and with Droughtlander coming to an end, we’re doing a quick rundown of how much the series has moved away from the books in all these past seasons. Spoilers ahead!",Sony Pictures Television,,Sony Pictures Television,,
