post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
1462,Remember that you aren’t alone in this,"While every case of anxiety or depression is different, they are not uncommon. The worst part about mental health diseases is that they make you feel isolated and lonely. Everyone may not understand what you're going through but it's crucial to remember that millions of people suffer from mental illnesses. Only when you accept the problem without being mortified by it, keeping in mind that many individuals are seeking similar support, will you begin to cope.",publish,Heath,Gallery,30 Tips to Better Mental Health,"“What mental health needs is more sunlight, more candor, and more unashamed conversation.” – Glenn Close
 When it comes to health resolutions, most of us tend to give higher priority to our physical goals, often putting our mental wellbeing on the backburner. Being busy can be excused, but a reluctance to seek help should not. Questioning the validity of your feelings is only natural as even today there is a dismissive culture surrounding mental illnesses. But, there is a slowly emerging army of individuals willing to converse about mental health. Discussions are progressively evolving, which gives us all an opportunity to address our problems as well as help others. In this article, we will walk you through some very simple strategies that will allow you to tackle mental health issues and embrace positive changes in your everyday life.",www.shutterstock.com,,unsplash.com,,
1464,Communicate the issue,"Coping with a mental illness alone can be severely exhausting. So, seek help. As difficult as it might be, communicating with your family or a close circle can help manage a lot of the negativity mental health issues lead to. Quietly enduring emotional turmoil can result in you feeling drained all the time and while you may think you're managing, bottling up only leads to more issues. If you can, seek professional help that will enable you to ease some mental burdens. Actively engage in conversation and discussion.",publish,Heath,Gallery,30 Tips to Better Mental Health,"“What mental health needs is more sunlight, more candor, and more unashamed conversation.” – Glenn Close
 When it comes to health resolutions, most of us tend to give higher priority to our physical goals, often putting our mental wellbeing on the backburner. Being busy can be excused, but a reluctance to seek help should not. Questioning the validity of your feelings is only natural as even today there is a dismissive culture surrounding mental illnesses. But, there is a slowly emerging army of individuals willing to converse about mental health. Discussions are progressively evolving, which gives us all an opportunity to address our problems as well as help others. In this article, we will walk you through some very simple strategies that will allow you to tackle mental health issues and embrace positive changes in your everyday life.",www.shutterstock.com,,unsplash.com,,
1466,Question the ‘Gram,"At some point, we all have caught ourselves falling for lies that social media feeds us. You might be crestfallen watching someone Instagramming the “perfect holiday” but remember that this is a projected part of their reality that filters some facts and emphasizes others. So the next time a social media post bogs you down, remind yourself that a picture speaks a thousand words but not a thousand truths.",publish,Heath,Gallery,30 Tips to Better Mental Health,"“What mental health needs is more sunlight, more candor, and more unashamed conversation.” – Glenn Close
 When it comes to health resolutions, most of us tend to give higher priority to our physical goals, often putting our mental wellbeing on the backburner. Being busy can be excused, but a reluctance to seek help should not. Questioning the validity of your feelings is only natural as even today there is a dismissive culture surrounding mental illnesses. But, there is a slowly emerging army of individuals willing to converse about mental health. Discussions are progressively evolving, which gives us all an opportunity to address our problems as well as help others. In this article, we will walk you through some very simple strategies that will allow you to tackle mental health issues and embrace positive changes in your everyday life.",www.shutterstock.com,,unsplash.com,,
1468,Dive into a digital detox,"Continuing in the same vein, if social media is one of the major reasons why you’re down in the dumps, then give digital detox a chance. Not being updated with Facebook and Instagram can be super challenging, but it’s worth trying. Start small by giving up one of the platforms you frequently use for a week. This time can then be used to recalibrate your priorities and catch a breather.",publish,Heath,Gallery,30 Tips to Better Mental Health,"“What mental health needs is more sunlight, more candor, and more unashamed conversation.” – Glenn Close
 When it comes to health resolutions, most of us tend to give higher priority to our physical goals, often putting our mental wellbeing on the backburner. Being busy can be excused, but a reluctance to seek help should not. Questioning the validity of your feelings is only natural as even today there is a dismissive culture surrounding mental illnesses. But, there is a slowly emerging army of individuals willing to converse about mental health. Discussions are progressively evolving, which gives us all an opportunity to address our problems as well as help others. In this article, we will walk you through some very simple strategies that will allow you to tackle mental health issues and embrace positive changes in your everyday life.",unsplash.com,,unsplash.com,,
1470,Do something nice,"When you are battling an issue like anxiety or depression, it can be easy to fall into a vicious rut of self- and world-loathing. To refocus your energies into a positive mindset, try to help someone in need or do a small act of kindness. It can be anyone — a friend, a family member, a colleague, or even a stranger. It need not be anything big as every action counts. For example, you could babysit for a friend who wants to go out for the night, help complete your partner’s long-pending to-do list, or volunteer at an animal rescue shelter.",publish,Heath,Gallery,30 Tips to Better Mental Health,"“What mental health needs is more sunlight, more candor, and more unashamed conversation.” – Glenn Close
 When it comes to health resolutions, most of us tend to give higher priority to our physical goals, often putting our mental wellbeing on the backburner. Being busy can be excused, but a reluctance to seek help should not. Questioning the validity of your feelings is only natural as even today there is a dismissive culture surrounding mental illnesses. But, there is a slowly emerging army of individuals willing to converse about mental health. Discussions are progressively evolving, which gives us all an opportunity to address our problems as well as help others. In this article, we will walk you through some very simple strategies that will allow you to tackle mental health issues and embrace positive changes in your everyday life.",www.shutterstock.com,,unsplash.com,,
1472,Don’t shy away from slumber,"Having at least 7 to 8 hours of quality sleep every day can cut down stress levels, adjust your general mood, and keep you more energetic throughout the day. To normalize your sleeping patterns, follow a routine with a set bedtime. Steer clear of distractions such as smartphones, laptops, and television before you go to bed as they strain your eyes and brain. Instead, pick an activity such as reading, meditating, or listening to calming music.",publish,Heath,Gallery,30 Tips to Better Mental Health,"“What mental health needs is more sunlight, more candor, and more unashamed conversation.” – Glenn Close
 When it comes to health resolutions, most of us tend to give higher priority to our physical goals, often putting our mental wellbeing on the backburner. Being busy can be excused, but a reluctance to seek help should not. Questioning the validity of your feelings is only natural as even today there is a dismissive culture surrounding mental illnesses. But, there is a slowly emerging army of individuals willing to converse about mental health. Discussions are progressively evolving, which gives us all an opportunity to address our problems as well as help others. In this article, we will walk you through some very simple strategies that will allow you to tackle mental health issues and embrace positive changes in your everyday life.",www.freepik.com,,www.freepik.com,,
1474,Don’t skimp on nutrition,"A well-balanced diet can significantly contribute to improving your mental wellbeing. Your diet should ideally include vitamin-rich fresh fruits and vegetables, protein, foods with healthy fats such as olive oil, fatty fish, nuts, and more. Depressants such as alcohol, caffeine, and foods high in sugar should be avoided as they can heighten the feelings of anxiety.",publish,Heath,Gallery,30 Tips to Better Mental Health,"“What mental health needs is more sunlight, more candor, and more unashamed conversation.” – Glenn Close
 When it comes to health resolutions, most of us tend to give higher priority to our physical goals, often putting our mental wellbeing on the backburner. Being busy can be excused, but a reluctance to seek help should not. Questioning the validity of your feelings is only natural as even today there is a dismissive culture surrounding mental illnesses. But, there is a slowly emerging army of individuals willing to converse about mental health. Discussions are progressively evolving, which gives us all an opportunity to address our problems as well as help others. In this article, we will walk you through some very simple strategies that will allow you to tackle mental health issues and embrace positive changes in your everyday life.",unsplash.com,,unsplash.com,,
1476,Pick the right goals,"Want to boost your productivity? Then start small. Make a to-do list of small goals such as changing the sheets, drinking enough water, doing laundry, updating your journal, and so on. Reserve big tasks for some other time, when they are less likely to overwhelm you and end up eating a lot of your time, which will ultimately frustrate you and sidetrack you from the bigger picture.",publish,Heath,Gallery,30 Tips to Better Mental Health,"“What mental health needs is more sunlight, more candor, and more unashamed conversation.” – Glenn Close
 When it comes to health resolutions, most of us tend to give higher priority to our physical goals, often putting our mental wellbeing on the backburner. Being busy can be excused, but a reluctance to seek help should not. Questioning the validity of your feelings is only natural as even today there is a dismissive culture surrounding mental illnesses. But, there is a slowly emerging army of individuals willing to converse about mental health. Discussions are progressively evolving, which gives us all an opportunity to address our problems as well as help others. In this article, we will walk you through some very simple strategies that will allow you to tackle mental health issues and embrace positive changes in your everyday life.",www.shutterstock.com,,www.freepik.com,,
1478,Make a big deal out of small stuff,"On some days, even getting out of bed is a huge accomplishment. So, celebrate such small wins by cooking yourself a nice breakfast or by visiting a store you've wanted to. Fostering the habit of rewarding yourself from time to time will motivate you to work harder to overcome your mental blocks.",publish,Heath,Gallery,30 Tips to Better Mental Health,"“What mental health needs is more sunlight, more candor, and more unashamed conversation.” – Glenn Close
 When it comes to health resolutions, most of us tend to give higher priority to our physical goals, often putting our mental wellbeing on the backburner. Being busy can be excused, but a reluctance to seek help should not. Questioning the validity of your feelings is only natural as even today there is a dismissive culture surrounding mental illnesses. But, there is a slowly emerging army of individuals willing to converse about mental health. Discussions are progressively evolving, which gives us all an opportunity to address our problems as well as help others. In this article, we will walk you through some very simple strategies that will allow you to tackle mental health issues and embrace positive changes in your everyday life.",unsplash.com,,unsplash.com,,
1480,Take five,"If you’re having a rough day, just take a break. Such respite can be extremely useful as it can keep you fresh and focused, especially if you have a mountain of tasks to deal with. Find a few minutes to talk to your loved ones, watch a funny video, or read something good. Don’t rush into tasks as it can negatively affect your productivity, making you more agitated.",publish,Heath,Gallery,30 Tips to Better Mental Health,"“What mental health needs is more sunlight, more candor, and more unashamed conversation.” – Glenn Close
 When it comes to health resolutions, most of us tend to give higher priority to our physical goals, often putting our mental wellbeing on the backburner. Being busy can be excused, but a reluctance to seek help should not. Questioning the validity of your feelings is only natural as even today there is a dismissive culture surrounding mental illnesses. But, there is a slowly emerging army of individuals willing to converse about mental health. Discussions are progressively evolving, which gives us all an opportunity to address our problems as well as help others. In this article, we will walk you through some very simple strategies that will allow you to tackle mental health issues and embrace positive changes in your everyday life.",www.shutterstock.com,,unsplash.com,,
1482,“Marie Kondo” your space,"Even when you’re barely motivated to clean up the clutter at home and work, do it. Constantly being around a mess can further fuel negativity. A cleaner space, conversely, improves the mood and even helps maintain productivity in daily life. Start by Marie Kondo’s trick of throwing out all things that no longer “spark joy.” The process of redoing your space can feel like a huge deal, so break the project down into smaller tasks to not feel overcome and do them easily.",publish,Heath,Gallery,30 Tips to Better Mental Health,"“What mental health needs is more sunlight, more candor, and more unashamed conversation.” – Glenn Close
 When it comes to health resolutions, most of us tend to give higher priority to our physical goals, often putting our mental wellbeing on the backburner. Being busy can be excused, but a reluctance to seek help should not. Questioning the validity of your feelings is only natural as even today there is a dismissive culture surrounding mental illnesses. But, there is a slowly emerging army of individuals willing to converse about mental health. Discussions are progressively evolving, which gives us all an opportunity to address our problems as well as help others. In this article, we will walk you through some very simple strategies that will allow you to tackle mental health issues and embrace positive changes in your everyday life.",www.freepik.com,,www.freepik.com,,
