post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
2705,The Pianist,"At a casting call in London, nearly 1,400 actors had auditioned for the role of Wladyslaw Szpilman, a Jewish pianist who lived through the destruction of the Warsaw ghetto of WWII. Unfortunately, the director Roman Polanski liked none of them. Later, Polanski ended up meeting Adrien Brody in Paris and thought him perfect for the role of Wladyslaw Szpilman. Brody went on to receive the Best Actor Oscar for the film; this was his only Academy Award nomination.",publish,Entertainment - TV & Film,Galley,32 Best Biopic Films Hollywood Ever Made,"Do you know what makes for good cinema? A perfectly well-woven story. Where else can you find great stories than in real people? That’s what we love about biographical films (or biopics, as these films are called.) They give us more than a sneak peek into the lives of the famous, the great, and the brave ones. They’re a powerful reminder of history and what people have been through in their lives. Here are some of the best biopics ever made in Hollywood, in no particular order.",Guy Ferrandis/Focus Features/Studio Canal/Kobal/Shutterstock,,Guy Ferrandis/Focus Features/Studio Canal/Kobal/Shutterstock,,
2707,Downfall,"This movie, which explores the final days of totalitarianism in Germany, was made popular by memes. Ever heard of “Hitler Rants Parodies”? This uber-popular parody channel on YouTube edits scenes from <i>Downfall</i> that show Hitler yelling at his generals. The edited scenes have new subtitles where Hitler seems to be ranting against having nothing left to eat but canned beans, the delay in the release date of <i>Harry Potter and the Half-Blood Prince</i>, and even getting banned from Xbox Live.",publish,Entertainment - TV & Film,Galley,32 Best Biopic Films Hollywood Ever Made,"Do you know what makes for good cinema? A perfectly well-woven story. Where else can you find great stories than in real people? That’s what we love about biographical films (or biopics, as these films are called.) They give us more than a sneak peek into the lives of the famous, the great, and the brave ones. They’re a powerful reminder of history and what people have been through in their lives. Here are some of the best biopics ever made in Hollywood, in no particular order.",Constantin Film/Ard/Degeto/Kobal/Shutterstock,,Constantin Film/Ard/Degeto/Kobal/Shutterstock,,
2709,The Pursuit of Happyness,"The movie had a lot of extras who were actually down and out in real life. Living up to the movie’s true spirit, the producers gave them a full day’s pay at minimum wage (nearly $8.62/hour). They also got free catered meals. The most heart-warming part? For some of these people, it was the first paycheck that they had earned in a long while, pretty much like how Chris Gardner finally bagged a job after being destitute for months.",publish,Entertainment - TV & Film,Galley,32 Best Biopic Films Hollywood Ever Made,"Do you know what makes for good cinema? A perfectly well-woven story. Where else can you find great stories than in real people? That’s what we love about biographical films (or biopics, as these films are called.) They give us more than a sneak peek into the lives of the famous, the great, and the brave ones. They’re a powerful reminder of history and what people have been through in their lives. Here are some of the best biopics ever made in Hollywood, in no particular order.",Zade Rosenthal/Columbia/Kobal/Shutterstock,,Zade Rosenthal/Columbia/Kobal/Shutterstock,,
2711,Milk,"<i>Milk</i> is a poignant reminder of the times when the police raided gay bars and the society ostracized homosexuals. It is also a hopeful reminder that promises an inclusive future for gays. The movie was shot in Harvey Milk's apartment and it made use of props that once belonged to the gay rights activist. Some of the clothes worn by Sean Penn were borrowed from Gilbert Baker, a friend of Harvey. The movie was a much-anticipated one, and thousands of people agreed to be a part of it as extras for free.",publish,Entertainment - TV & Film,Galley,32 Best Biopic Films Hollywood Ever Made,"Do you know what makes for good cinema? A perfectly well-woven story. Where else can you find great stories than in real people? That’s what we love about biographical films (or biopics, as these films are called.) They give us more than a sneak peek into the lives of the famous, the great, and the brave ones. They’re a powerful reminder of history and what people have been through in their lives. Here are some of the best biopics ever made in Hollywood, in no particular order.",Focus/Kobal/Shutterstock,,Focus/Kobal/Shutterstock,,
2713,Catch Me if You Can,"The real-life Frank Abagnale Jr., who swindled people out of millions of dollars with his masterful art of deception, was not enthused about Leonardo DiCaprio playing him onscreen. Abagnale thought that Leo was not “suave” enough to pull off the role. Also, Abagnale was quite mature looking at quite a young age because of which he could successfully con so many people. Leo, on the other hand, looked too young for his age at that time. Quite an ironic choice for the lead, we must say. But then again we aren’t complaining because Leo got nominated for the Best Actor – Motion Picture – Drama in the Golden Globes Award for this film.",publish,Entertainment - TV & Film,Galley,32 Best Biopic Films Hollywood Ever Made,"Do you know what makes for good cinema? A perfectly well-woven story. Where else can you find great stories than in real people? That’s what we love about biographical films (or biopics, as these films are called.) They give us more than a sneak peek into the lives of the famous, the great, and the brave ones. They’re a powerful reminder of history and what people have been through in their lives. Here are some of the best biopics ever made in Hollywood, in no particular order.",Moviestore Collection/Shutterstock,,Moviestore Collection/Shutterstock,,
2715,A Beautiful Mind,"From Alec Baldwin to Ralph Fiennes, many were considered to play the role of the Nobel-winning mathematician John Nash. The asocial genius suffered from paranoid schizophrenia and eventually overcame this debilitating ailment. The role finally went to Russell Crowe, who until then was most famously known for playing tough-guy roles. But he played John Nash with such finesse that the “tough-guy” won the Best Actor award at the BAFTA Film Awards and the Golden Globe Awards.",publish,Entertainment - TV & Film,Galley,32 Best Biopic Films Hollywood Ever Made,"Do you know what makes for good cinema? A perfectly well-woven story. Where else can you find great stories than in real people? That’s what we love about biographical films (or biopics, as these films are called.) They give us more than a sneak peek into the lives of the famous, the great, and the brave ones. They’re a powerful reminder of history and what people have been through in their lives. Here are some of the best biopics ever made in Hollywood, in no particular order.",Moviestore Collection/Shutterstock,,Moviestore Collection/Shutterstock,,
2717,Raging Bull,"<i>Raging Bull</i> is based on Jake LaMotta's stint as a boxer and how his temper set his career in motion and annihilated his personal life. Martin Scorsese took an unusually long time during the post-production of this movie. The director was convinced that he wouldn't be making another film after this one. Owing to this, he took his sweet time so that he wouldn't compromise his vision. Seems like his efforts paid off when <i>Raging Bull</i> received critical accolades. Lucky for us, Scorsese didn’t give up making films and went on to give us sensational films like <i>Goodfellas</i>, <i>The Wolf of Wall Street</i>, and <i>The Irishman</i>.",publish,Entertainment - TV & Film,Galley,32 Best Biopic Films Hollywood Ever Made,"Do you know what makes for good cinema? A perfectly well-woven story. Where else can you find great stories than in real people? That’s what we love about biographical films (or biopics, as these films are called.) They give us more than a sneak peek into the lives of the famous, the great, and the brave ones. They’re a powerful reminder of history and what people have been through in their lives. Here are some of the best biopics ever made in Hollywood, in no particular order.",United Artists/Kobal/Shutterstock,,United Artists/Kobal/Shutterstock,,
2719,Goodfellas,"The director Martin Scorsese gave free rein to his actors. There were a lot of ad-libbing and improvisations during rehearsals, and these sessions were transcripted. Scorsese picked the lines he liked best and made a revised script. The result? A brilliant film where the world of crime unravels and reveals the dysfunctionality, fear, and sentimentality of gangsters.",publish,Entertainment - TV & Film,Galley,32 Best Biopic Films Hollywood Ever Made,"Do you know what makes for good cinema? A perfectly well-woven story. Where else can you find great stories than in real people? That’s what we love about biographical films (or biopics, as these films are called.) They give us more than a sneak peek into the lives of the famous, the great, and the brave ones. They’re a powerful reminder of history and what people have been through in their lives. Here are some of the best biopics ever made in Hollywood, in no particular order.",Warner Bros/Kobal/Shutterstock,,Warner Bros/Kobal/Shutterstock,,
2721,My Left Foot,"If there was an award for the perfect method actor, we’d give it to Daniel Day-Lewis. The actor refused to come out of character during the shooting of the film in which he was playing a person with cerebral palsy who learns to paint and write with his left foot. Daniel insisted on using his wheelchair even between takes, so much so that people had to help him with his meals during breaks. He sat with a hunched-over position in a wheelchair for weeks, ending up with two broken ribs during filming. We hope the Academy Award for Best Actor and BAFTA that he received for this film were worth the pain.",publish,Entertainment - TV & Film,Galley,32 Best Biopic Films Hollywood Ever Made,"Do you know what makes for good cinema? A perfectly well-woven story. Where else can you find great stories than in real people? That’s what we love about biographical films (or biopics, as these films are called.) They give us more than a sneak peek into the lives of the famous, the great, and the brave ones. They’re a powerful reminder of history and what people have been through in their lives. Here are some of the best biopics ever made in Hollywood, in no particular order.",ITV/Shutterstock,,ITV/Shutterstock,,
2723,Bohemian Rhapsody,"Not much appreciation is given to the next level efforts taken to replicate the epic Live Aid performance by the Queen and their lead singer, Freddie Mercury, at the Wembley Stadium. The crowd of nearly 72,000 people was re-created with highly advanced digital technology. You can barely see any repetition in the audience members. Each person in the artificially created crowd can be seen moving and clapping differently throughout the concert.",publish,Entertainment - TV & Film,Galley,32 Best Biopic Films Hollywood Ever Made,"Do you know what makes for good cinema? A perfectly well-woven story. Where else can you find great stories than in real people? That’s what we love about biographical films (or biopics, as these films are called.) They give us more than a sneak peek into the lives of the famous, the great, and the brave ones. They’re a powerful reminder of history and what people have been through in their lives. Here are some of the best biopics ever made in Hollywood, in no particular order.",20th Century Fox/Moviestore/Shutterstock,,20th Century Fox/Moviestore/Shutterstock,,
