post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
2886,Denzel Washington in Heart Condition (1990),"Racially prejudiced cop Jack Moony gets a heart transplant, and the donor is black lawyer named Napoleon Stone, played by Washington. Soon after, Moony is haunted by Stone’s ghost to track down the gang that killed him. <b>Why is this embarrassing?</b> With a 34% rating on Rotten Tomatoes, audiences accused the movie of being racially offensive and forcing the element of comedy.",publish,Entertainment - TV & Film,Gallery,A-list Stars and the Embarrassing Film Roles They Want You to Forget,"Any aspect of a movie can leave people and critics unimpressed, be it bad casting choices, poor production and direction, or even shoddy screenplay and performances. Some of the greatest actors in Hollywood have found themselves associated with some unforgivingly terrible films. Even the oscar-winning Brad Pitt and <i>a La Land’s</i> Emma Stone are no exceptions to such lapses in judgment. So, we’ve decided to make a list of A-list actors who’ve worked in embarrassing films that (thankfully) didn’t derail their careers.",New Line/Kobal/Shutterstock,,New Line/Kobal/Shutterstock,,
2888,Jennifer Aniston as Tory Reding in Leprechaun (1993),"A man steals a leprechaun's pot of gold and traps him in a wooden box with a four-leaf clover on top. Years later, he’s accidentally released; now, the leprechaun terrorizes and kills people of the town until he recovers all of his stolen gold. <b>Why is this embarrassing?</b> Before she rose to fame on Friends, Aniston starred as the lead in this movie. This low-budget thriller with whimsical acting made it more of a comedy than a horror.",publish,Entertainment - TV & Film,Gallery,A-list Stars and the Embarrassing Film Roles They Want You to Forget,"Any aspect of a movie can leave people and critics unimpressed, be it bad casting choices, poor production and direction, or even shoddy screenplay and performances. Some of the greatest actors in Hollywood have found themselves associated with some unforgivingly terrible films. Even the oscar-winning Brad Pitt and <i>a La Land’s</i> Emma Stone are no exceptions to such lapses in judgment. So, we’ve decided to make a list of A-list actors who’ve worked in embarrassing films that (thankfully) didn’t derail their careers.",Working Title/Universal/Kobal/Shutterstock,,Working Title/Universal/Kobal/Shutterstock,,
2890,Brad Pitt as Heinrich Harrer in <i>Seven Years In Tibet</i> (1997,"Based on the 1952 book, the movie follows the story of Austrian mountaineer Heinrich Harrer and his experiences in Tibet between 1944 and 1951. <b>Why is this embarrassing?</b> The movie may have a 60% rating on Rotten Tomatoes, but critics had a lot to say about what went wrong. While the story, journey, and shots are appealing, many pointed out that the movie focused more on Brad Pitt and his accent.",publish,Entertainment - TV & Film,Gallery,A-list Stars and the Embarrassing Film Roles They Want You to Forget,"Any aspect of a movie can leave people and critics unimpressed, be it bad casting choices, poor production and direction, or even shoddy screenplay and performances. Some of the greatest actors in Hollywood have found themselves associated with some unforgivingly terrible films. Even the oscar-winning Brad Pitt and <i>a La Land’s</i> Emma Stone are no exceptions to such lapses in judgment. So, we’ve decided to make a list of A-list actors who’ve worked in embarrassing films that (thankfully) didn’t derail their careers.",David Appleby/Mandalay Ent/Kobal/Shutterstock,,David Appleby/Mandalay Ent/Kobal/Shutterstock,,
2892,Sandra Bullock as Annie in Speed 2: Cruise Control (1997),"Annie vacations aboard a luxury cruise ship that gets hijacked and is programmed to crash into an oil tanker. <b>Why is this embarrassing?</b> This sequel failed to capture the excitement and thrill we felt in the first one. It’s also ridiculously unbelievable to witness the number of times a single person can get into life-threatening situations. Oh, and not to mention the lack of a very important element - Keanu Reeves.",publish,Entertainment - TV & Film,Gallery,A-list Stars and the Embarrassing Film Roles They Want You to Forget,"Any aspect of a movie can leave people and critics unimpressed, be it bad casting choices, poor production and direction, or even shoddy screenplay and performances. Some of the greatest actors in Hollywood have found themselves associated with some unforgivingly terrible films. Even the oscar-winning Brad Pitt and <i>a La Land’s</i> Emma Stone are no exceptions to such lapses in judgment. So, we’ve decided to make a list of A-list actors who’ve worked in embarrassing films that (thankfully) didn’t derail their careers.",Moviestore Collection/Shutterstock,,Moviestore Collection/Shutterstock,,
2894,John Travolta as Terl in Battlefield Earth: A Saga of the Year 3000 (2000),"Aliens invade earth and annihilate the human species. There are a few survivors, and they clearly have superhuman skills because they instantly learn to build a rocket ship, fly it to the alien planet and destroy the entire planet with one single bomb. <b>Why is this embarrassing?</b> If the pictures of the movie aren’t enough to convince you of this horrible piece of film, here’s what a review had to say: “Here’s a film that should definitely be used as an example of what not to do when making a film”. Well, that’s that.",publish,Entertainment - TV & Film,Gallery,A-list Stars and the Embarrassing Film Roles They Want You to Forget,"Any aspect of a movie can leave people and critics unimpressed, be it bad casting choices, poor production and direction, or even shoddy screenplay and performances. Some of the greatest actors in Hollywood have found themselves associated with some unforgivingly terrible films. Even the oscar-winning Brad Pitt and <i>a La Land’s</i> Emma Stone are no exceptions to such lapses in judgment. So, we’ve decided to make a list of A-list actors who’ve worked in embarrassing films that (thankfully) didn’t derail their careers.",Morgan Creek/Kobal/Shutterstock,,Morgan Creek/Kobal/Shutterstock,,
2896,Jennifer Lopez as Ricki in Gigli (2003),"Gigli is a low-ranking mobster who’s asked to kidnap the mentally disabled brother of a federal prosecutor. Ricki is sent in to monitor him. <b>Why is this embarrassing?</b> The movie was condemned for its clumsy plot and the lack of chemistry between Jennifer Lopez and Ben Affleck. The movie also bombed at the box office, collecting only $7.3 million against a budget of $75.6 million. It also ranks #2 on IMDB’s list for the worst movies of the 2000s, do we need to say anything else?",publish,Entertainment - TV & Film,Gallery,A-list Stars and the Embarrassing Film Roles They Want You to Forget,"Any aspect of a movie can leave people and critics unimpressed, be it bad casting choices, poor production and direction, or even shoddy screenplay and performances. Some of the greatest actors in Hollywood have found themselves associated with some unforgivingly terrible films. Even the oscar-winning Brad Pitt and <i>a La Land’s</i> Emma Stone are no exceptions to such lapses in judgment. So, we’ve decided to make a list of A-list actors who’ve worked in embarrassing films that (thankfully) didn’t derail their careers.",Phillip Caruso/Columbia/Revolution/Kobal/Shutterstock,,Phillip Caruso/Columbia/Revolution/Kobal/Shutterstock,,
2898,Halle Berry as Patience Phillips in Catwoman (2004),"Based on the DC Comic, <i>Catwoman</i> follows the story of a designer who is murdered after she discovers some dark secrets of the company she worked in. Brought back to life by feral cats, she takes on the role of Catwoman and fights crime outside the law. <b>Why is this embarrassing?</b> With a 9% approval rating on Rotten Tomatoes, the critics believed Halle’s performance was charming, but even she could not have this saved comical action thriller and its overtly S&amp;M outfits.",publish,Entertainment - TV & Film,Gallery,A-list Stars and the Embarrassing Film Roles They Want You to Forget,"Any aspect of a movie can leave people and critics unimpressed, be it bad casting choices, poor production and direction, or even shoddy screenplay and performances. Some of the greatest actors in Hollywood have found themselves associated with some unforgivingly terrible films. Even the oscar-winning Brad Pitt and <i>a La Land’s</i> Emma Stone are no exceptions to such lapses in judgment. So, we’ve decided to make a list of A-list actors who’ve worked in embarrassing films that (thankfully) didn’t derail their careers.",Warner Bros/Dc Comics/Kobal/Shutterstock,,Warner Bros/Dc Comics/Kobal/Shutterstock,,
2900,Ryan Gosling as Henry Letham in Stay (2005),"A physiological thriller about a man who informs his therapist that he’s about to kill himself in three days. <b>Why is this embarrassing?</b> The movie flopped at the box office, making only $8.48 million against a budget of $50 million. Despite the stellar cast, the movie was accused of having no depth and a weak payoff. Also, Evan Mcgregor’s unusually short long pants throughout the movie are just plain annoying!",publish,Entertainment - TV & Film,Gallery,A-list Stars and the Embarrassing Film Roles They Want You to Forget,"Any aspect of a movie can leave people and critics unimpressed, be it bad casting choices, poor production and direction, or even shoddy screenplay and performances. Some of the greatest actors in Hollywood have found themselves associated with some unforgivingly terrible films. Even the oscar-winning Brad Pitt and <i>a La Land’s</i> Emma Stone are no exceptions to such lapses in judgment. So, we’ve decided to make a list of A-list actors who’ve worked in embarrassing films that (thankfully) didn’t derail their careers.",Eli Reed/New Regency/20th Century Fox/Kobal/Shutterstock,,Eli Reed/New Regency/20th Century Fox/Kobal/Shutterstock,,
2902,Reese Witherspoon as Annie in Penelope (2006),"Cursed with a snout of a pig, a girl must find the love of “one of her kind” to break it. <b>Why is this embarrassing?</b> Despite the fact that the movie has a charming cast and a strong message about learning to love oneself, critics believed the movie failed in terms of a bad narrative and poor direction. Not to mention the ridiculous amount of pig jokes. And Reese Witherspoon just kind of hangs around.",publish,Entertainment - TV & Film,Gallery,A-list Stars and the Embarrassing Film Roles They Want You to Forget,"Any aspect of a movie can leave people and critics unimpressed, be it bad casting choices, poor production and direction, or even shoddy screenplay and performances. Some of the greatest actors in Hollywood have found themselves associated with some unforgivingly terrible films. Even the oscar-winning Brad Pitt and <i>a La Land’s</i> Emma Stone are no exceptions to such lapses in judgment. So, we’ve decided to make a list of A-list actors who’ve worked in embarrassing films that (thankfully) didn’t derail their careers.",Stone Village/Kobal/Shutterstock,,Stone Village/Kobal/Shutterstock,,
2904,Chris Pine as Jake Hardin in Just My Luck (2006),"A girl with the best luck in the world meets a guy who is always down on his luck. They kiss, lucks are exchanged, and chaos ensues. <b>Why is this embarrassing?</b> Critics believe that the movie was a waste of this glorious man’s talents! The movie is literally a compilation of every single slapstick-rom-com ruse that has ever existed and yet lacks the spark. It doesn’t mean we didn’t watch Chris Pine shirtless, just saying.",publish,Entertainment - TV & Film,Gallery,A-list Stars and the Embarrassing Film Roles They Want You to Forget,"Any aspect of a movie can leave people and critics unimpressed, be it bad casting choices, poor production and direction, or even shoddy screenplay and performances. Some of the greatest actors in Hollywood have found themselves associated with some unforgivingly terrible films. Even the oscar-winning Brad Pitt and <i>a La Land’s</i> Emma Stone are no exceptions to such lapses in judgment. So, we’ve decided to make a list of A-list actors who’ve worked in embarrassing films that (thankfully) didn’t derail their careers.",Barry Wetcher/20th Century Fox/Kobal/Shutterstock,,Barry Wetcher/20th Century Fox/Kobal/Shutterstock,,
2906,Jake Glynnelhal as Dastan in Prince of Persia: The Sands of Time (2010),"Set in the ancient Persian empire, the movie follows the story of Dastan as he tries to stop the villain from going back in time to change the present. <b>Why is this embarrassing?</b> While the video game series is a masterpiece, the movie received mixed reviews. The movie did not offer anything of substance, but was entertaining enough to make it watchable. Glynehall has also expressed his regret with the film. Guess he wishes, he could use the dagger, go back in time, unmake movie.",publish,Entertainment - TV & Film,Gallery,A-list Stars and the Embarrassing Film Roles They Want You to Forget,"Any aspect of a movie can leave people and critics unimpressed, be it bad casting choices, poor production and direction, or even shoddy screenplay and performances. Some of the greatest actors in Hollywood have found themselves associated with some unforgivingly terrible films. Even the oscar-winning Brad Pitt and <i>a La Land’s</i> Emma Stone are no exceptions to such lapses in judgment. So, we’ve decided to make a list of A-list actors who’ve worked in embarrassing films that (thankfully) didn’t derail their careers.",Disney/Kobal/Shutterstock,,Disney/Kobal/Shutterstock,,
