post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
1306,Brad Pitt,"The golden boy of Hollywood on the most popular show of all time… pure gold. Brad Pitt’s comedic timing coupled with the fact that he and Jennifer Aniston (team Jennifer forever!) were together at the time, make this Thanksgiving episode one of the most memorable episodes of all time.",publish,Entertainment - TV &amp; Film,Galley,A-listers Who Guest-Starred on Friends and Had Us Screaming,"Friends remains a classic, even 16 years after the last episode aired. For 236 episodes, Ross, Rachel, Chandler, Monica, Phoebe and Joey made us laugh till our sides hurt and occasionally they had help. 
 
 Every season saw a new bunch of A-listers lend their talent to the show. If the screaming from the live audience was anything to go by, the names just kept getting bigger and bigger. From Brad Pitt to Robin Williams, Julia Roberts to Charlie Sheen, Sean Penn to even Paul 'Antman' Rudd - there was always a surprise A-lister that made the episode even better. 
 Check out these 27 stars who starred on Friends. Which one of these episodes was your favorite?",Rob Latour/Shutterstock,,Rob Latour/Shutterstock,,
2526,George Clooney,Let’s just call them the original Dr. McDreamy and Dr. McSteamy. The two actors were on the insanely popular ER and it just made sense for them to reprise their roles in Friends too. Clooney and Wiley appeared in the first season where Rachel hurts her ankle and has to pretend to be Monica to use her insurance.,publish,Entertainment - TV &amp; Film,Galley,A-listers Who Guest-Starred on Friends and Had Us Screaming,"Friends remains a classic, even 16 years after the last episode aired. For 236 episodes, Ross, Rachel, Chandler, Monica, Phoebe and Joey made us laugh till our sides hurt and occasionally they had help. 
 
 Every season saw a new bunch of A-listers lend their talent to the show. If the screaming from the live audience was anything to go by, the names just kept getting bigger and bigger. From Brad Pitt to Robin Williams, Julia Roberts to Charlie Sheen, Sean Penn to even Paul 'Antman' Rudd - there was always a surprise A-lister that made the episode even better. 
 Check out these 27 stars who starred on Friends. Which one of these episodes was your favorite?",Massimo Insabato/Shutterstock,,Massimo Insabato/Shutterstock,,
2528,Julia Roberts,"In this Season two episode that is apparently the most-watched friends episode in history, with 53 million viewers, Julia Roberts plays Matthew Perry’s date. The fun part is the two were actually dating when this was filmed and aired. Aww!",publish,Entertainment - TV &amp; Film,Galley,A-listers Who Guest-Starred on Friends and Had Us Screaming,"Friends remains a classic, even 16 years after the last episode aired. For 236 episodes, Ross, Rachel, Chandler, Monica, Phoebe and Joey made us laugh till our sides hurt and occasionally they had help. 
 
 Every season saw a new bunch of A-listers lend their talent to the show. If the screaming from the live audience was anything to go by, the names just kept getting bigger and bigger. From Brad Pitt to Robin Williams, Julia Roberts to Charlie Sheen, Sean Penn to even Paul 'Antman' Rudd - there was always a surprise A-lister that made the episode even better. 
 Check out these 27 stars who starred on Friends. Which one of these episodes was your favorite?",Chelsea Lauren/Shutterstock,,Chelsea Lauren/Shutterstock,,
2530,Helen Hunt,"Playing her character Jamie Buckman from the hugely popular sitcom Mad About You, she attempts to order a coffee from Phoebe Buffay mistaking her to be Ursula. Lisa Kudrow played the waitress Ursula on Mad About You. Ursula is actually the name of Phoebe Buffay’s twin sister on Friends. Clever huh?!",publish,Entertainment - TV &amp; Film,Galley,A-listers Who Guest-Starred on Friends and Had Us Screaming,"Friends remains a classic, even 16 years after the last episode aired. For 236 episodes, Ross, Rachel, Chandler, Monica, Phoebe and Joey made us laugh till our sides hurt and occasionally they had help. 
 
 Every season saw a new bunch of A-listers lend their talent to the show. If the screaming from the live audience was anything to go by, the names just kept getting bigger and bigger. From Brad Pitt to Robin Williams, Julia Roberts to Charlie Sheen, Sean Penn to even Paul 'Antman' Rudd - there was always a surprise A-lister that made the episode even better. 
 Check out these 27 stars who starred on Friends. Which one of these episodes was your favorite?",MJ Photos/Shutterstock,,MJ Photos/Shutterstock,,
2532,Charlie Sheen,Who can forget Phoebe’s chicken-pox riddled submarine officer boyfriend who doesn’t mind a little itching in the name of love. This Season 2 episode sees the two spend two hilarious weeks together scratching the old itch. Geddit?!,publish,Entertainment - TV &amp; Film,Galley,A-listers Who Guest-Starred on Friends and Had Us Screaming,"Friends remains a classic, even 16 years after the last episode aired. For 236 episodes, Ross, Rachel, Chandler, Monica, Phoebe and Joey made us laugh till our sides hurt and occasionally they had help. 
 
 Every season saw a new bunch of A-listers lend their talent to the show. If the screaming from the live audience was anything to go by, the names just kept getting bigger and bigger. From Brad Pitt to Robin Williams, Julia Roberts to Charlie Sheen, Sean Penn to even Paul 'Antman' Rudd - there was always a surprise A-lister that made the episode even better. 
 Check out these 27 stars who starred on Friends. Which one of these episodes was your favorite?",Andreas Branch/WWD/Shutterstock,,Andreas Branch/WWD/Shutterstock,,
2535,Bruce Willis,"Big, tough Paul, dad of Ross’ student, starts dating Rachel. Hilarity ensues. Bruce Willis’ tough guy act punctuated by some side-splitting “neat guy” scenes make these some of the funniest episodes in the series.",publish,Entertainment - TV &amp; Film,Galley,A-listers Who Guest-Starred on Friends and Had Us Screaming,"Friends remains a classic, even 16 years after the last episode aired. For 236 episodes, Ross, Rachel, Chandler, Monica, Phoebe and Joey made us laugh till our sides hurt and occasionally they had help. 
 
 Every season saw a new bunch of A-listers lend their talent to the show. If the screaming from the live audience was anything to go by, the names just kept getting bigger and bigger. From Brad Pitt to Robin Williams, Julia Roberts to Charlie Sheen, Sean Penn to even Paul 'Antman' Rudd - there was always a surprise A-lister that made the episode even better. 
 Check out these 27 stars who starred on Friends. Which one of these episodes was your favorite?",Marion Curtis/StarPix for Universal Pictures/Shutterstock,,Marion Curtis/StarPix for Universal Pictures/Shutterstock,,
2537,Reese Witherspoon,"Reese Witherspoon has had her share of great roles, and her <i>Friends</i> run is just proof of what a talented comedic actor she is. As Jennifer Aniston’s (Rachel) bratty sister who attempts to date Ross and drive Rachel insane with her extravagant and reckless ways, we’d have loved to see more of her.",publish,Entertainment - TV &amp; Film,Galley,A-listers Who Guest-Starred on Friends and Had Us Screaming,"Friends remains a classic, even 16 years after the last episode aired. For 236 episodes, Ross, Rachel, Chandler, Monica, Phoebe and Joey made us laugh till our sides hurt and occasionally they had help. 
 
 Every season saw a new bunch of A-listers lend their talent to the show. If the screaming from the live audience was anything to go by, the names just kept getting bigger and bigger. From Brad Pitt to Robin Williams, Julia Roberts to Charlie Sheen, Sean Penn to even Paul 'Antman' Rudd - there was always a surprise A-lister that made the episode even better. 
 Check out these 27 stars who starred on Friends. Which one of these episodes was your favorite?",Anthony Harvey/Shutterstock,,Anthony Harvey/Shutterstock,,
2539,Ben Stiller,"Tommy (Ben Stiller) was one of the oddest boyfriends Rachel ever dated. As THE SCREAMER, Stiller had a pretty short fuse and yelled at anyone who annoyed him in the slightest. He even yells at the chick and the duck! Dude really?!",publish,Entertainment - TV &amp; Film,Galley,A-listers Who Guest-Starred on Friends and Had Us Screaming,"Friends remains a classic, even 16 years after the last episode aired. For 236 episodes, Ross, Rachel, Chandler, Monica, Phoebe and Joey made us laugh till our sides hurt and occasionally they had help. 
 
 Every season saw a new bunch of A-listers lend their talent to the show. If the screaming from the live audience was anything to go by, the names just kept getting bigger and bigger. From Brad Pitt to Robin Williams, Julia Roberts to Charlie Sheen, Sean Penn to even Paul 'Antman' Rudd - there was always a surprise A-lister that made the episode even better. 
 Check out these 27 stars who starred on Friends. Which one of these episodes was your favorite?",Drew Altizer Photography/Shutterstock,,Drew Altizer Photography/Shutterstock,,
2541,Isabella Rossellini,"In this Season 3 episode the ageless beauty shows up as herself. She is on Ross’ list of celebrities he’s allowed to cheat with. Rachel being Rachel, wants to see him flirt with the actress knowing fully well he just might humiliate himself. He does.",publish,Entertainment - TV &amp; Film,Galley,A-listers Who Guest-Starred on Friends and Had Us Screaming,"Friends remains a classic, even 16 years after the last episode aired. For 236 episodes, Ross, Rachel, Chandler, Monica, Phoebe and Joey made us laugh till our sides hurt and occasionally they had help. 
 
 Every season saw a new bunch of A-listers lend their talent to the show. If the screaming from the live audience was anything to go by, the names just kept getting bigger and bigger. From Brad Pitt to Robin Williams, Julia Roberts to Charlie Sheen, Sean Penn to even Paul 'Antman' Rudd - there was always a surprise A-lister that made the episode even better. 
 Check out these 27 stars who starred on Friends. Which one of these episodes was your favorite?",Rob Latour/Shutterstock,,Rob Latour/Shutterstock,,
2543,Jon Favreau,"Monica’s uber-rich boyfriend Pete Becker who gets into mixed martial arts and get the ever-lovin-cr*p kicked out of him. Yes, that was Jon Favreau before the Avengers, the Jungle Book and Iron Man happened.",publish,Entertainment - TV &amp; Film,Galley,A-listers Who Guest-Starred on Friends and Had Us Screaming,"Friends remains a classic, even 16 years after the last episode aired. For 236 episodes, Ross, Rachel, Chandler, Monica, Phoebe and Joey made us laugh till our sides hurt and occasionally they had help. 
 
 Every season saw a new bunch of A-listers lend their talent to the show. If the screaming from the live audience was anything to go by, the names just kept getting bigger and bigger. From Brad Pitt to Robin Williams, Julia Roberts to Charlie Sheen, Sean Penn to even Paul 'Antman' Rudd - there was always a surprise A-lister that made the episode even better. 
 Check out these 27 stars who starred on Friends. Which one of these episodes was your favorite?",Michael Buckner/Variety/Shutterstock,,Michael Buckner/Variety/Shutterstock,,
