post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
1951,Stay hydrated,"Medical professionals do recommend at least six to eight glasses of water a day. In fact, you will be surprised to know that dehydration can trigger overeating due to an imbalance in vital body functions. So, why worry when you can overcome this problem by simply drinking water regularly. You can try out making simple beverages at home using mint, cucumber, and ginger to make it more interesting and tasty. ",publish,Health,Gallery,Binge-Eating During Self-Isolation Stressing You Out? Here Are a Few Ways to Avoid It,"Staying at home definitely has its perks, especially during these times of social distancing. You get to spend quality time with your family, work, catch up on some me time and do so much more. But it is also the time when you give in to temptations and binge eat. With a fully stocked refrigerator and all the ?time? in the world, overeating during lockdown is a worrying possibility. The thought of binging only to pass time is a scary one. But it is not something that you should worry about incessantly. Here are 25 different ways in which you can manage those temptations and start your journey on a healthier path of food discovery. ",Shutterstock,,,,
5794,Identify triggers for binging,"Binge-eating doesn’t happen overnight. There are many triggers that fuel the need to eat more than what one might have on any given day. To control eating habits, you must circle back to the when, how, and why of binging. Answering these questions will lead to finding effective solutions to avoid overindulging. In this case, it may be social distancing. ",publish,Health,Gallery,Binge-Eating During Self-Isolation Stressing You Out? Here Are a Few Ways to Avoid It,"Staying at home definitely has its perks, especially during these times of social distancing. You get to spend quality time with your family, work, catch up on some me time and do so much more. But it is also the time when you give in to temptations and binge eat. With a fully stocked refrigerator and all the ?time? in the world, overeating during lockdown is a worrying possibility. The thought of binging only to pass time is a scary one. But it is not something that you should worry about incessantly. Here are 25 different ways in which you can manage those temptations and start your journey on a healthier path of food discovery. ",Shutterstock,,,,
5796,Encourage to start fresh,"Often, the guilt and regret of not starting soon enough can further push you off course and force you to reconsider the change altogether. Stay clear of any self-deprecation or judgments that reinforce the negative emotions. Remember it is never too late to start or change habits. In fact, studies suggest you can form a new habit in just 21 days. So, start eating healthy today!",publish,Health,Gallery,Binge-Eating During Self-Isolation Stressing You Out? Here Are a Few Ways to Avoid It,"Staying at home definitely has its perks, especially during these times of social distancing. You get to spend quality time with your family, work, catch up on some me time and do so much more. But it is also the time when you give in to temptations and binge eat. With a fully stocked refrigerator and all the ?time? in the world, overeating during lockdown is a worrying possibility. The thought of binging only to pass time is a scary one. But it is not something that you should worry about incessantly. Here are 25 different ways in which you can manage those temptations and start your journey on a healthier path of food discovery. ",Shutterstock,,,,
5798,Stock your pantry well,"This may seem a bit confusing but the inference is that it should be stocked well with healthy staples. Frozen and canned vegetables, canned fish, whole-wheat pasta, and even canned soup are among the top choices that will help promote eating habits. Even canned soup is fine as long as you buy the low sodium and non-creamy variants of your favorite tomato, lentil or split pea soup. ",publish,Health,Gallery,Binge-Eating During Self-Isolation Stressing You Out? Here Are a Few Ways to Avoid It,"Staying at home definitely has its perks, especially during these times of social distancing. You get to spend quality time with your family, work, catch up on some me time and do so much more. But it is also the time when you give in to temptations and binge eat. With a fully stocked refrigerator and all the ?time? in the world, overeating during lockdown is a worrying possibility. The thought of binging only to pass time is a scary one. But it is not something that you should worry about incessantly. Here are 25 different ways in which you can manage those temptations and start your journey on a healthier path of food discovery. ",Shutterstock,,,,
5800,Breakfast beans,Breakfast is the most important meal of the day. Many skip this meal in a rush to get to work or don?t feel like eating early in the morning. Skipping breakfast only fuels those urges to snack between meals. But why a bowl of beans you ask? Research shows that beans mimic a second meal effect making it a filing option to help avoid snacking to satiate those hunger pangs.,publish,Health,Gallery,Binge-Eating During Self-Isolation Stressing You Out? Here Are a Few Ways to Avoid It,"Staying at home definitely has its perks, especially during these times of social distancing. You get to spend quality time with your family, work, catch up on some me time and do so much more. But it is also the time when you give in to temptations and binge eat. With a fully stocked refrigerator and all the ?time? in the world, overeating during lockdown is a worrying possibility. The thought of binging only to pass time is a scary one. But it is not something that you should worry about incessantly. Here are 25 different ways in which you can manage those temptations and start your journey on a healthier path of food discovery. ",Shutterstock,,,,
5802,Create eating patterns,"It is one of the best ways to avoid frequent snacking. Create a food pattern where you have smaller but fuller and nutritious meals every few hours. This way, the body will continue to receive the nourishment it needs throughout the day. Moreover, the temptation to snack is less and easily manageable with a proper eating routine. Remember, mindless snacking is often a result of feeling undernourished.",publish,Health,Gallery,Binge-Eating During Self-Isolation Stressing You Out? Here Are a Few Ways to Avoid It,"Staying at home definitely has its perks, especially during these times of social distancing. You get to spend quality time with your family, work, catch up on some me time and do so much more. But it is also the time when you give in to temptations and binge eat. With a fully stocked refrigerator and all the ?time? in the world, overeating during lockdown is a worrying possibility. The thought of binging only to pass time is a scary one. But it is not something that you should worry about incessantly. Here are 25 different ways in which you can manage those temptations and start your journey on a healthier path of food discovery. ",Shutterstock,,,,
5804,Keep a food journal,"Keeping track of eating is an effort that is certainly worth your time in the long run. Simple details like what time you had your last meal/snack or how much was the quantity will help manage your food habits. In fact, there are certain foods and beverages if consumed in excess can result in health complications. So, keep a food journal to hold yourself accountable and resist the temptation. ",publish,Health,Gallery,Binge-Eating During Self-Isolation Stressing You Out? Here Are a Few Ways to Avoid It,"Staying at home definitely has its perks, especially during these times of social distancing. You get to spend quality time with your family, work, catch up on some me time and do so much more. But it is also the time when you give in to temptations and binge eat. With a fully stocked refrigerator and all the ?time? in the world, overeating during lockdown is a worrying possibility. The thought of binging only to pass time is a scary one. But it is not something that you should worry about incessantly. Here are 25 different ways in which you can manage those temptations and start your journey on a healthier path of food discovery. ",Shutterstock,,,,
5806,Limit processed foods,"If the urge is too much to resist, limit processed foods. Sugary drinks, white bread, juices (packaged), sweetened cereals, fried, broiled, or grilled foods, pastries, cookies, cakes, chips, processed meat, cheese, dairy products, and anything with the word refined on the label should be consumed in moderation. Instead, consider coffee, tea, whole wheat bread, high fiber low sugar cereals, boiled, blanched, or steamed foods, Greek yogurt, farm-fresh dairy and gluten-free foods. ",publish,Health,Gallery,Binge-Eating During Self-Isolation Stressing You Out? Here Are a Few Ways to Avoid It,"Staying at home definitely has its perks, especially during these times of social distancing. You get to spend quality time with your family, work, catch up on some me time and do so much more. But it is also the time when you give in to temptations and binge eat. With a fully stocked refrigerator and all the ?time? in the world, overeating during lockdown is a worrying possibility. The thought of binging only to pass time is a scary one. But it is not something that you should worry about incessantly. Here are 25 different ways in which you can manage those temptations and start your journey on a healthier path of food discovery. ",Shutterstock,,,,
5808,Check your portions,"Portioning and rationing is an effective technique that conditions the mind and body to get used to a limited quantity of food. Granted, it is tough to ration during times of social distancing when food is the one thing that provides comfort. However, it is one of the ways to avoid overeating or over-snacking. Plan your meals and ration out everything to eat throughout the day well in advance. ",publish,Health,Gallery,Binge-Eating During Self-Isolation Stressing You Out? Here Are a Few Ways to Avoid It,"Staying at home definitely has its perks, especially during these times of social distancing. You get to spend quality time with your family, work, catch up on some me time and do so much more. But it is also the time when you give in to temptations and binge eat. With a fully stocked refrigerator and all the ?time? in the world, overeating during lockdown is a worrying possibility. The thought of binging only to pass time is a scary one. But it is not something that you should worry about incessantly. Here are 25 different ways in which you can manage those temptations and start your journey on a healthier path of food discovery. ",Shutterstock,,,,
5810,Make conscious choices,It is normal to experience a rush of emotions especially when you change your eating habits. This is especially hard under quarantine with plenty of time on hand and a fully stocked fridge. But you must challenge yourself and choose what and when to eat. Conscious choices about your eating habits will condition your mind to resist the temptation and stay true to your end goals.,publish,Health,Gallery,Binge-Eating During Self-Isolation Stressing You Out? Here Are a Few Ways to Avoid It,"Staying at home definitely has its perks, especially during these times of social distancing. You get to spend quality time with your family, work, catch up on some me time and do so much more. But it is also the time when you give in to temptations and binge eat. With a fully stocked refrigerator and all the ?time? in the world, overeating during lockdown is a worrying possibility. The thought of binging only to pass time is a scary one. But it is not something that you should worry about incessantly. Here are 25 different ways in which you can manage those temptations and start your journey on a healthier path of food discovery. ",Shutterstock,,,,
