post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
3665,A positive mindset,"Everything is possible with the right mindset. If you think working out at home is not an option, a high-speed internet connection can get you all the resources and equipment you need. The internet also gives you access to on-demand fitness content, be it articles, videos, or tutorials, to help you through your workout session. Unless absolutely necessary, you don’t have to hit the rec center to stay fit.",publish,Lifestyle & Fitness,Gallery,Can't Hit the Gym? Here's How to Stay Fit While Indoors,"Simply not feel like going or unforeseen circumstances, anything may be the reason for a missed day at the gym. But that doesn't mean you can't exercise! Thinking home workouts have limited exercise options? Not necessarily. From simple planks and squats to mind exercises for cognitive enhancement, there are a gazillion options you can explore during your home workout session.
While fitness is extremely important, these trying times need you to be responsible and practice social distancing. So, explore the following fun and creative ways to stay fit while you stay home.
",Shutterstock,,,,
3667,Planning and an active routine,"First and foremost, plan an active routine (even the most basic list of exercises will do) to start your day right. Decide your fitness goals early on, and do not alter this routine; it takes only 21 days to form a habit. Be patient and use your time wisely, be it in the morning or evening. But plan first!",publish,Lifestyle & Fitness,Gallery,Can't Hit the Gym? Here's How to Stay Fit While Indoors,"Simply not feel like going or unforeseen circumstances, anything may be the reason for a missed day at the gym. But that doesn't mean you can't exercise! Thinking home workouts have limited exercise options? Not necessarily. From simple planks and squats to mind exercises for cognitive enhancement, there are a gazillion options you can explore during your home workout session.
While fitness is extremely important, these trying times need you to be responsible and practice social distancing. So, explore the following fun and creative ways to stay fit while you stay home.
",Shutterstock,,,,
3669,Jump Jump,"Let the popular singing duo Kriss Kross who said, “Daddy Mac will make you Jump Jump!” motivate you. Take up jump rope exercises for a proactive cardio workout with 28 legit ways to burn calories. These include doing crossovers, 180-degree turn, boxer jump (yeah the one from Rocky), double under, forward and back, and even jump rope jacks just to get you started. It’s an inexpensive yet highly effective workout.",publish,Lifestyle & Fitness,Gallery,Can't Hit the Gym? Here's How to Stay Fit While Indoors,"Simply not feel like going or unforeseen circumstances, anything may be the reason for a missed day at the gym. But that doesn't mean you can't exercise! Thinking home workouts have limited exercise options? Not necessarily. From simple planks and squats to mind exercises for cognitive enhancement, there are a gazillion options you can explore during your home workout session.
While fitness is extremely important, these trying times need you to be responsible and practice social distancing. So, explore the following fun and creative ways to stay fit while you stay home.
",Shutterstock,,,,
3671,10-minute morning workout,"Ten minutes is all you need to start your day healthy and fresh. Start by stretching as it allows you to gain a full range of motion for a better workout. Then, combine the three most basic forms of exercises—push-ups, plank hold, and squats—for a minute each, and repeat the combination thrice. There you go, a total of 10 minutes you might otherwise spend scrolling through social media.",publish,Lifestyle & Fitness,Gallery,Can't Hit the Gym? Here's How to Stay Fit While Indoors,"Simply not feel like going or unforeseen circumstances, anything may be the reason for a missed day at the gym. But that doesn't mean you can't exercise! Thinking home workouts have limited exercise options? Not necessarily. From simple planks and squats to mind exercises for cognitive enhancement, there are a gazillion options you can explore during your home workout session.
While fitness is extremely important, these trying times need you to be responsible and practice social distancing. So, explore the following fun and creative ways to stay fit while you stay home.
",Shutterstock,,,,
3673,Ab-solutely stunning,"Abs are not that difficult to develop and maintain, and a simple combination of lateral and side planks, coupled with warrior balance, can do the trick. You can watch free videos to ensure that you get the form right, and spend no more than 30 seconds doing each of these exercises in a 10-minute circuit. After all, you shouldn’t experience the wrong kind of pain to get this gain!",publish,Lifestyle & Fitness,Gallery,Can't Hit the Gym? Here's How to Stay Fit While Indoors,"Simply not feel like going or unforeseen circumstances, anything may be the reason for a missed day at the gym. But that doesn't mean you can't exercise! Thinking home workouts have limited exercise options? Not necessarily. From simple planks and squats to mind exercises for cognitive enhancement, there are a gazillion options you can explore during your home workout session.
While fitness is extremely important, these trying times need you to be responsible and practice social distancing. So, explore the following fun and creative ways to stay fit while you stay home.
",Shutterstock,,,,
3675,Sit-ups,"A few sets of sit-ups can develop your core muscles, but don’t forget to warm up and stretch first as you will be transferring your body weight on your abdominal muscles and back. Watch online videos to avoid an improper posture as it can injure the spine. Also, note that you might experience some pain the first few days as the muscles tear and repair themselves.",publish,Lifestyle & Fitness,Gallery,Can't Hit the Gym? Here's How to Stay Fit While Indoors,"Simply not feel like going or unforeseen circumstances, anything may be the reason for a missed day at the gym. But that doesn't mean you can't exercise! Thinking home workouts have limited exercise options? Not necessarily. From simple planks and squats to mind exercises for cognitive enhancement, there are a gazillion options you can explore during your home workout session.
While fitness is extremely important, these trying times need you to be responsible and practice social distancing. So, explore the following fun and creative ways to stay fit while you stay home.
",Shutterstock,,,,
3677,Indoor hobbies and games,"Something as simple as knitting can help maintain the dexterity of your fingers. Not interested in yarn and long needles? How about fitness video games to help you sweat it out? That’s right. Video games like Zumba Fitness: World Party, Just Dance, and Wii Sports not only exercise your mind by putting your cognitive skills to the test but also give your arms and legs a pretty neat workout.",publish,Lifestyle & Fitness,Gallery,Can't Hit the Gym? Here's How to Stay Fit While Indoors,"Simply not feel like going or unforeseen circumstances, anything may be the reason for a missed day at the gym. But that doesn't mean you can't exercise! Thinking home workouts have limited exercise options? Not necessarily. From simple planks and squats to mind exercises for cognitive enhancement, there are a gazillion options you can explore during your home workout session.
While fitness is extremely important, these trying times need you to be responsible and practice social distancing. So, explore the following fun and creative ways to stay fit while you stay home.
",Shutterstock,,,,
3679,Stairs,"If you stay in an apartment building, go up and down the stairs for a full-body workout. Just because you can’t run outside doesn’t limit your movements. You’ll be surprised to know that just taking the stairs four times a day can potentially help you burn over a hundred calories! That’s a lot, because a small bag of chips has just about 100 calories.",publish,Lifestyle & Fitness,Gallery,Can't Hit the Gym? Here's How to Stay Fit While Indoors,"Simply not feel like going or unforeseen circumstances, anything may be the reason for a missed day at the gym. But that doesn't mean you can't exercise! Thinking home workouts have limited exercise options? Not necessarily. From simple planks and squats to mind exercises for cognitive enhancement, there are a gazillion options you can explore during your home workout session.
While fitness is extremely important, these trying times need you to be responsible and practice social distancing. So, explore the following fun and creative ways to stay fit while you stay home.
",Shutterstock,,,,
3681,Brain engagement,"Fitness is not limited to your physical condition, so go ahead and watch those cognitive function enhancing shows you love. Also, you can take up challenges or brain teasers to test and enhance your analytical and logical reasoning abilities. A recent study conducted by Harvard indicates that Sudoku or word puzzles like Scrabble and Crossword help improve mental wellbeing and boost positivity, so indulge yourself!",publish,Lifestyle & Fitness,Gallery,Can't Hit the Gym? Here's How to Stay Fit While Indoors,"Simply not feel like going or unforeseen circumstances, anything may be the reason for a missed day at the gym. But that doesn't mean you can't exercise! Thinking home workouts have limited exercise options? Not necessarily. From simple planks and squats to mind exercises for cognitive enhancement, there are a gazillion options you can explore during your home workout session.
While fitness is extremely important, these trying times need you to be responsible and practice social distancing. So, explore the following fun and creative ways to stay fit while you stay home.
",Shutterstock,,,,
3683,Cleaning the house,"One of the best ways to stay active indoors is to clean your home. Pick up that easy-vac or mop and don’t stop till you can see your reflection off those shiny floors. Although an unusual way to stay fit, the varied movements during cleaning activate most muscle groups in the body. Plus, you get to live in a clean house after at least an hour-long workout session.",publish,Lifestyle & Fitness,Gallery,Can't Hit the Gym? Here's How to Stay Fit While Indoors,"Simply not feel like going or unforeseen circumstances, anything may be the reason for a missed day at the gym. But that doesn't mean you can't exercise! Thinking home workouts have limited exercise options? Not necessarily. From simple planks and squats to mind exercises for cognitive enhancement, there are a gazillion options you can explore during your home workout session.
While fitness is extremely important, these trying times need you to be responsible and practice social distancing. So, explore the following fun and creative ways to stay fit while you stay home.
",Shutterstock,,,,
