post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
1270,Natalie Portman,"Natalie Portman may have won many awards for her role in the psychological drama Black Swan, but she lost around 20 lbs for that role. The dance form required her to follow a punishing routine that left her feeling like she was about to “die.”",publish,Health,Gallery,Celebrity Transformations That Will Make You Go Wow,"Be it for a role or simply to start living a healthier life, celebrities often undergo drastic physical transformations. Yes, we know they have expert trainers at their fingertips, but they also have determination and commitment. So, if you want to transform yourself but are feeling a tad bit uninspired, here is the much-needed motivation.",Lionel Hahn/Variety/Shutterstock,,Lionel Hahn/Variety/Shutterstock,,
2795,Adele,"Adele is a musical goddess, and her recent transformation is truly an inspiration. Post-separation from her husband in 2019, the singer, with the help of a controlled diet, has gone on to lose a whopping 100 lbs. Is this a revenge bod? Whatever it is, we 100% stan.",publish,Health,Gallery,Celebrity Transformations That Will Make You Go Wow,"Be it for a role or simply to start living a healthier life, celebrities often undergo drastic physical transformations. Yes, we know they have expert trainers at their fingertips, but they also have determination and commitment. So, if you want to transform yourself but are feeling a tad bit uninspired, here is the much-needed motivation.",David Fisher/Shutterstock,,David Fisher/Shutterstock,,
2828,Chris Hemsworth,"For his role in the 2015 survival-drama In the Heart of The Sea, the Australian actor shed around 33 pounds. However, to play Thor, he had to pack a punch. Unfortunately, getting in shape did not happen at lightning speed. Hemsworth had to train with heavyweights six days a week.",publish,Health,Gallery,Celebrity Transformations That Will Make You Go Wow,"Be it for a role or simply to start living a healthier life, celebrities often undergo drastic physical transformations. Yes, we know they have expert trainers at their fingertips, but they also have determination and commitment. So, if you want to transform yourself but are feeling a tad bit uninspired, here is the much-needed motivation.",Masatoshi Okauchi/Shutterstock,,Masatoshi Okauchi/Shutterstock,,
2831,Henry Cavill,"Henry Cavill could crush a watermelon with his bare hands, we’re sure of that. The already-fit actor had to get even more ripped for his role in The Witcher , a Netflix original. In fact, he got so jacked for the role that he kept ripping his leather pants. Does anyone have this on the reel?",publish,Health,Gallery,Celebrity Transformations That Will Make You Go Wow,"Be it for a role or simply to start living a healthier life, celebrities often undergo drastic physical transformations. Yes, we know they have expert trainers at their fingertips, but they also have determination and commitment. So, if you want to transform yourself but are feeling a tad bit uninspired, here is the much-needed motivation.",Shutterstock,,Shutterstock,,
2833,Emma Stone,"For her role in the award-winning La La Land , Stone lost a considerable amount of weight but that by far is not her biggest transformation. To play the role of tennis legend Billie Jean King in Battle of the Sexes, the actress gained around 15 pounds of muscle mass to have an athletic body contrary to her usual petite figure.",publish,Health,Gallery,Celebrity Transformations That Will Make You Go Wow,"Be it for a role or simply to start living a healthier life, celebrities often undergo drastic physical transformations. Yes, we know they have expert trainers at their fingertips, but they also have determination and commitment. So, if you want to transform yourself but are feeling a tad bit uninspired, here is the much-needed motivation.",Anthony Harvey/Shutterstock,,Anthony Harvey/Shutterstock,,
2835,Simon Pegg,"The Shaun of the Dead star underwent a major transformation for his upcoming movie Inheritance. He went from 78kgs to 69kgs in six months and is completely ripped. Look at him, he has muscles we did not even know existed.",publish,Health,Gallery,Celebrity Transformations That Will Make You Go Wow,"Be it for a role or simply to start living a healthier life, celebrities often undergo drastic physical transformations. Yes, we know they have expert trainers at their fingertips, but they also have determination and commitment. So, if you want to transform yourself but are feeling a tad bit uninspired, here is the much-needed motivation.",David Dettmann/Shutterstock,,David Dettmann/Shutterstock,,
2837,Anne Hathaway,"Playing a sickly prostitute in the critically acclaimed Les Miserables, Hathaway had to chop off her hair and shed 25 pounds. However, this did not come easy. The actress stuck to a special diet to get the look of “near death.” The deprivation of food affected her both physically and emotionally.",publish,Health,Gallery,Celebrity Transformations That Will Make You Go Wow,"Be it for a role or simply to start living a healthier life, celebrities often undergo drastic physical transformations. Yes, we know they have expert trainers at their fingertips, but they also have determination and commitment. So, if you want to transform yourself but are feeling a tad bit uninspired, here is the much-needed motivation.",Patrick Lewis/Starpix/Shutterstock,,Patrick Lewis/Starpix/Shutterstock,,
2839,Gal Gadot,"Wonderwoman is strong and lean, which meant that Gadot, although in pretty great shape, had to bulk up by a lot. Even though she may not have had any diet restrictions, her workouts were intense with no days off. She did planks and push-ups to get those crazy biceps.",publish,Health,Gallery,Celebrity Transformations That Will Make You Go Wow,"Be it for a role or simply to start living a healthier life, celebrities often undergo drastic physical transformations. Yes, we know they have expert trainers at their fingertips, but they also have determination and commitment. So, if you want to transform yourself but are feeling a tad bit uninspired, here is the much-needed motivation.",Swan Gallet/WWD/Shutterstock,,Swan Gallet/WWD/Shutterstock,,
2841,Zac Efron,The High School Musical star went from a lean young lad to a jacked-up hottie for his role in the 2017 remake of Baywatch where he plays a lifeguard who is shirtless a lot!,publish,Health,Gallery,Celebrity Transformations That Will Make You Go Wow,"Be it for a role or simply to start living a healthier life, celebrities often undergo drastic physical transformations. Yes, we know they have expert trainers at their fingertips, but they also have determination and commitment. So, if you want to transform yourself but are feeling a tad bit uninspired, here is the much-needed motivation.",Anthony Harvey/Shutterstock,,Anthony Harvey/Shutterstock,,
2843,Missy Elliott,American rapper and singer Missy Elliot flaunted her fit body back in 2014. She reportedly lost 70 pounds after committing to a healthy lifestyle after being diagnosed with Graves’ disease in 2008.,publish,Health,Gallery,Celebrity Transformations That Will Make You Go Wow,"Be it for a role or simply to start living a healthier life, celebrities often undergo drastic physical transformations. Yes, we know they have expert trainers at their fingertips, but they also have determination and commitment. So, if you want to transform yourself but are feeling a tad bit uninspired, here is the much-needed motivation.",Stephen Lovekin/Shutterstock,,Stephen Lovekin/Shutterstock,,
