post_title,post_content,post_status,tags,category,sub_category,sub_category_description
Dog Emotion and Cognition (Duke University),"If the only silver lining about being in quarantine is spending more time with your pooch, we’d recommend this for you. Taught by Brian Hare (Associate Professor – Evolutionary Anthropology), this 8-week long course explains dog psychology in detail and covers recent discoveries of their thoughts and feelings about us. You can use this course as a medium to strengthen your bond with your furry best friend.",Draft,Culture,Gallery,Constructive Courses to Explore While in Self-quarantine,"With social gatherings and holidays canceled, schools and offices closed, and commercial establishments shut, there is nothing much to do but sit around and wait for the COVID-19 outbreak to die down. While working from home and home chores can keep you busy, boredom is common. Hmmm, how does learning a new skill sound? No, we are not talking about fat textbooks and a lot of reading; just something that requires a few hours every week and a little determination. You guessed it right, online courses.

To get you started, we have listed 18 courses that we reckon you will enjoy. From time management to guitar lessons for beginners, here’s the best material from the world’s most respected universities and institutions to keep you busy."
Finance for Everyone: Smart Tools for Decision-Making (University of Michigan),"The sudden blow that coronavirus caused to the economy has landed us in financial worries, compelling many of us to rethink our spending habits. Off lately, if you are contemplating the same, you should take this finance course by Gautam Kaul of The University of Michigan to gain fundamental knowledge and skills to help you make practical monetary decisions in life.",Draft,Culture,Gallery,Constructive Courses to Explore While in Self-quarantine,"With social gatherings and holidays canceled, schools and offices closed, and commercial establishments shut, there is nothing much to do but sit around and wait for the COVID-19 outbreak to die down. While working from home and home chores can keep you busy, boredom is common. Hmmm, how does learning a new skill sound? No, we are not talking about fat textbooks and a lot of reading; just something that requires a few hours every week and a little determination. You guessed it right, online courses.

To get you started, we have listed 18 courses that we reckon you will enjoy. From time management to guitar lessons for beginners, here’s the best material from the world’s most respected universities and institutions to keep you busy."
Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life (The University of Edinburgh),"While in isolation, quite a few of us will end up introspecting. If that’s the case with you, this course will help you know yourself. This 4 week-long course will get you acquainted with major themes from Western, Buddhist, and classical Chinese approaches to self-knowledge. Likewise, the coursework will cover contemporary research in experimental social psychology, neuroscience that influences emotions, philosophy, decision making, and self-image.",Draft,Culture,Gallery,Constructive Courses to Explore While in Self-quarantine,"With social gatherings and holidays canceled, schools and offices closed, and commercial establishments shut, there is nothing much to do but sit around and wait for the COVID-19 outbreak to die down. While working from home and home chores can keep you busy, boredom is common. Hmmm, how does learning a new skill sound? No, we are not talking about fat textbooks and a lot of reading; just something that requires a few hours every week and a little determination. You guessed it right, online courses.

To get you started, we have listed 18 courses that we reckon you will enjoy. From time management to guitar lessons for beginners, here’s the best material from the world’s most respected universities and institutions to keep you busy."
"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity (University of California)","Instructor Margaret Meloni will teach you how to get organized by achieving deeper personal and professional awareness. Plus, you’ll be guided to use tools and techniques that will enable you to set goals, schedule, prioritize, and delegate for better time management and to boost productivity. This is a terrific course if you cannot stick to an agenda, want to overcome tardiness, or just have a lot on your plate.",Draft,Culture,Gallery,Constructive Courses to Explore While in Self-quarantine,"With social gatherings and holidays canceled, schools and offices closed, and commercial establishments shut, there is nothing much to do but sit around and wait for the COVID-19 outbreak to die down. While working from home and home chores can keep you busy, boredom is common. Hmmm, how does learning a new skill sound? No, we are not talking about fat textbooks and a lot of reading; just something that requires a few hours every week and a little determination. You guessed it right, online courses.

To get you started, we have listed 18 courses that we reckon you will enjoy. From time management to guitar lessons for beginners, here’s the best material from the world’s most respected universities and institutions to keep you busy."
"Learning How to Learn: Powerful mental tools to help you master tough subject (McMaster University, University of California San Diego)","At some point, we have all struggled with learning a new subject. That’s why we suggest this online course that introduces you to instrumental learning methods used by experts in art, music, math, literature, science, and many other disciplines. Whether a high schooler, college student, or a full-time professional, this course will help you tackle everything that has been holding you back, from learning illusions to procrastination.",Draft,Culture,Gallery,Constructive Courses to Explore While in Self-quarantine,"With social gatherings and holidays canceled, schools and offices closed, and commercial establishments shut, there is nothing much to do but sit around and wait for the COVID-19 outbreak to die down. While working from home and home chores can keep you busy, boredom is common. Hmmm, how does learning a new skill sound? No, we are not talking about fat textbooks and a lot of reading; just something that requires a few hours every week and a little determination. You guessed it right, online courses.

To get you started, we have listed 18 courses that we reckon you will enjoy. From time management to guitar lessons for beginners, here’s the best material from the world’s most respected universities and institutions to keep you busy."
Happier Employees and Return-On-Investment Course (University of Texas),"Career is an integral part of your life, but feeling discontented with work could affect productivity, and, ultimately, your personal life. Staying at home further magnifies this feeling, but this course can help you determine the importance of happiness at work and ways to enhance it. Whether you’re an employee, team leader, manager, or business owner, it can help you create a more positive working environment.",Draft,Culture,Gallery,Constructive Courses to Explore While in Self-quarantine,"With social gatherings and holidays canceled, schools and offices closed, and commercial establishments shut, there is nothing much to do but sit around and wait for the COVID-19 outbreak to die down. While working from home and home chores can keep you busy, boredom is common. Hmmm, how does learning a new skill sound? No, we are not talking about fat textbooks and a lot of reading; just something that requires a few hours every week and a little determination. You guessed it right, online courses.

To get you started, we have listed 18 courses that we reckon you will enjoy. From time management to guitar lessons for beginners, here’s the best material from the world’s most respected universities and institutions to keep you busy."
Inspiring Leadership through Emotional Intelligence (Case Western Reserve University),"This course by Professor Richard Boyatzis is a must if you have recently embraced a leadership position. It will allow you to build lasting professional relationships and drive your team to their maximum potential by refining key attributes like emotional intelligence, mindfulness, and compassion. Through this course, you’ll also get an insight into the neuroscience behind “resonant and dissonant leadership” and its effects.",Draft,Culture,Gallery,Constructive Courses to Explore While in Self-quarantine,"With social gatherings and holidays canceled, schools and offices closed, and commercial establishments shut, there is nothing much to do but sit around and wait for the COVID-19 outbreak to die down. While working from home and home chores can keep you busy, boredom is common. Hmmm, how does learning a new skill sound? No, we are not talking about fat textbooks and a lot of reading; just something that requires a few hours every week and a little determination. You guessed it right, online courses.

To get you started, we have listed 18 courses that we reckon you will enjoy. From time management to guitar lessons for beginners, here’s the best material from the world’s most respected universities and institutions to keep you busy."
Everyday Parenting: The ABCs of Child Rearing (Yale University),"Parenting is no cakewalk, and it can get more difficult to keep up when the tots have no school, homework, and play dates during quarantine. With Everyday Parenting, you gain access to a toolkit of behavior-changing techniques that can make the days easier. These will improve your approach with both children and adolescents, and the course also debunks common parenting misconceptions and points out ineffective strategies that parents usually use.",Draft,Culture,Gallery,Constructive Courses to Explore While in Self-quarantine,"With social gatherings and holidays canceled, schools and offices closed, and commercial establishments shut, there is nothing much to do but sit around and wait for the COVID-19 outbreak to die down. While working from home and home chores can keep you busy, boredom is common. Hmmm, how does learning a new skill sound? No, we are not talking about fat textbooks and a lot of reading; just something that requires a few hours every week and a little determination. You guessed it right, online courses.

To get you started, we have listed 18 courses that we reckon you will enjoy. From time management to guitar lessons for beginners, here’s the best material from the world’s most respected universities and institutions to keep you busy."
Creativity & Entrepreneurship (Berklee),"This course aims to motivate you to explore your inner creativity that can be honed for advancing your career or developing a business. It features interviews with distinguished innovators, visual artists, educators, and chefs delving deeper into their creative and entrepreneurial journey. With this course, you can unlock your personal creative process and develop the knowledge, basic mindset, and insight that are indispensable in chasing your entrepreneurial exploits.",Draft,Culture,Gallery,Constructive Courses to Explore While in Self-quarantine,"With social gatherings and holidays canceled, schools and offices closed, and commercial establishments shut, there is nothing much to do but sit around and wait for the COVID-19 outbreak to die down. While working from home and home chores can keep you busy, boredom is common. Hmmm, how does learning a new skill sound? No, we are not talking about fat textbooks and a lot of reading; just something that requires a few hours every week and a little determination. You guessed it right, online courses.

To get you started, we have listed 18 courses that we reckon you will enjoy. From time management to guitar lessons for beginners, here’s the best material from the world’s most respected universities and institutions to keep you busy."
Think Again I: How to Understand Arguments (Duke University),"Want to try something challenging? Give this course by Dr. Walter Sinnott-Armstrong and Dr. Ram Neta a shot. They will train you to adopt some simple but crucial rules in thinking and explain some tempting mistakes to elude while reasoning. You will learn to identify and assess arguments through examples of politicians, teachers, and salesmen, guiding you to construct arguments to solidify your belief system and make decisions.",Draft,Culture,Gallery,Constructive Courses to Explore While in Self-quarantine,"With social gatherings and holidays canceled, schools and offices closed, and commercial establishments shut, there is nothing much to do but sit around and wait for the COVID-19 outbreak to die down. While working from home and home chores can keep you busy, boredom is common. Hmmm, how does learning a new skill sound? No, we are not talking about fat textbooks and a lot of reading; just something that requires a few hours every week and a little determination. You guessed it right, online courses.

To get you started, we have listed 18 courses that we reckon you will enjoy. From time management to guitar lessons for beginners, here’s the best material from the world’s most respected universities and institutions to keep you busy."
