post_title,post_content,post_status,tags,category,sub_category,sub_category_description
"This one person who has already given up on 2020
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Look forward to 2021 because 2020 is a wash. <a href=""https://t.co/M4stxxfC0O"">https://t.co/M4stxxfC0O</a></p>&mdash; Max Covill (@mhcovill) <a href=""https://twitter.com/mhcovill/status/1252702808228483078?ref_src=twsrc%5Etfw"">April 21, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> @mhcovill is done with 2020, and we can’t blame him. It has been a rough couple of months, and the movies might have been the only thing that could have made it better. Either way, 2021 is now going to be a year of redemption.
",Draft,Entertainment - TV & Film,Gallery,DC Movies Get New Release Dates and the Internet Cant Keep Calm,"It is no surprise that DC-verse releases have been delayed. It is also no surprise, that the fans stormed social media with their enlivened thoughts and opinions.

You were hyped to witness the new <i>The Batman</i> on the silver screen or find out how Steve Trevor returns from the dead. But then, <i>Shazam!</i> And everything got pushed to the future in a <i>Flash</i>. See what we did there? The announcement for the indefinite postponing of all movies witnessed DC universe fans at their opinionated best, whether they had theories to share, ideas to discuss, or hope to spread. In fact, even costuming got a few tweets dedicated to it. Take a look at what they had to say on Twitter and maybe add your own take too!
"
"This user here believes good use can be made of the extra time
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Me, an intellectual:<br><br>WB can take the time they have during <a href=""https://twitter.com/hashtag/TheBatman?src=hash&amp;ref_src=twsrc%5Etfw"">#TheBatman</a> delay to redesign the costume 🙃<br><br>Comments:<br><br>iT’s nOT tHAT bAD sNydER sHiLl i aCtUaLlY lIke it. BeSt BaTMaN eVEr</p>&mdash; Lindsey Staton (@LnSdreamer_98) <a href=""https://twitter.com/LnSdreamer_98/status/1252681998751195146?ref_src=twsrc%5Etfw"">April 21, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> @LnSdreamer_98 believes the costumes could do with a makeover during this lockdown. We know for sure this isn’t the perspective of just one, but many. According to Ranker, Jim Lee’s version of the Batsuit seemed to get the fans’ approval. 
",Draft,Entertainment - TV & Film,Gallery,DC Movies Get New Release Dates and the Internet Cant Keep Calm,"It is no surprise that DC-verse releases have been delayed. It is also no surprise, that the fans stormed social media with their enlivened thoughts and opinions.

You were hyped to witness the new <i>The Batman</i> on the silver screen or find out how Steve Trevor returns from the dead. But then, <i>Shazam!</i> And everything got pushed to the future in a <i>Flash</i>. See what we did there? The announcement for the indefinite postponing of all movies witnessed DC universe fans at their opinionated best, whether they had theories to share, ideas to discuss, or hope to spread. In fact, even costuming got a few tweets dedicated to it. Take a look at what they had to say on Twitter and maybe add your own take too!
"
"How would that even be possible?
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">I thought they postponed the release date from 1984 to something else</p>&mdash; DeJesus (@DeJesusLovesYou) <a href=""https://twitter.com/DeJesusLovesYou/status/1242528657135951874?ref_src=twsrc%5Etfw"">March 24, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> @DeJesusLoves joked about misreading the tweet and thought the release date changed from 1984 to another year. It would be pretty cool to go back in time, watch the movie, and then see reviews from that time. Unrealistic expectations aside, postpone the movie no further, please.

",Draft,Entertainment - TV & Film,Gallery,DC Movies Get New Release Dates and the Internet Cant Keep Calm,"It is no surprise that DC-verse releases have been delayed. It is also no surprise, that the fans stormed social media with their enlivened thoughts and opinions.

You were hyped to witness the new <i>The Batman</i> on the silver screen or find out how Steve Trevor returns from the dead. But then, <i>Shazam!</i> And everything got pushed to the future in a <i>Flash</i>. See what we did there? The announcement for the indefinite postponing of all movies witnessed DC universe fans at their opinionated best, whether they had theories to share, ideas to discuss, or hope to spread. In fact, even costuming got a few tweets dedicated to it. Take a look at what they had to say on Twitter and maybe add your own take too!
"
"“We need her now,” says @LizzieBNYC","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">In these dark and scary times, I am looking forward to a brighter future ahead. Where we can share the power of cinema together again. Excited to redate our WW84 film to August 14, 2020. I hope everyone is safe. Sending my love to you all. ❤️ <a href=""https://t.co/nzPUM7uQ1n"">pic.twitter.com/nzPUM7uQ1n</a></p>&mdash; Gal Gadot (@GalGadot) <a href=""https://twitter.com/GalGadot/status/1242525424384499713?ref_src=twsrc%5Etfw"">March 24, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> This Twitter user trusts that if Gal Gadot’s character hopped into our reality, she might be able to help us fight the pandemic. Right from spreading awareness, to supplying medical equipment globally, to being an all-out badass. Wouldn't that be something?
",Draft,Entertainment - TV & Film,Gallery,DC Movies Get New Release Dates and the Internet Cant Keep Calm,"It is no surprise that DC-verse releases have been delayed. It is also no surprise, that the fans stormed social media with their enlivened thoughts and opinions.

You were hyped to witness the new <i>The Batman</i> on the silver screen or find out how Steve Trevor returns from the dead. But then, <i>Shazam!</i> And everything got pushed to the future in a <i>Flash</i>. See what we did there? The announcement for the indefinite postponing of all movies witnessed DC universe fans at their opinionated best, whether they had theories to share, ideas to discuss, or hope to spread. In fact, even costuming got a few tweets dedicated to it. Take a look at what they had to say on Twitter and maybe add your own take too!
"
"Some of them want the guy in blue
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Gives you more time to get a real Henry Cavill cameo 😉</p>&mdash; Rick Garcia (@ricktoons) <a href=""https://twitter.com/ricktoons/status/1252293647309189122?ref_src=twsrc%5Etfw"">April 20, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> <i>Shazam</i> was cool, but what got fans going gaga was the Superman cameo, played by a stunt double to collective dismay, in the movie. When the film finally releases, fans are hoping to see more of Cavill. DCEU, we hope you are listening.
",Draft,Entertainment - TV & Film,Gallery,DC Movies Get New Release Dates and the Internet Cant Keep Calm,"It is no surprise that DC-verse releases have been delayed. It is also no surprise, that the fans stormed social media with their enlivened thoughts and opinions.

You were hyped to witness the new <i>The Batman</i> on the silver screen or find out how Steve Trevor returns from the dead. But then, <i>Shazam!</i> And everything got pushed to the future in a <i>Flash</i>. See what we did there? The announcement for the indefinite postponing of all movies witnessed DC universe fans at their opinionated best, whether they had theories to share, ideas to discuss, or hope to spread. In fact, even costuming got a few tweets dedicated to it. Take a look at what they had to say on Twitter and maybe add your own take too!
"
What about The Flash?,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Me waiting for the Flash movie since 2015 <a href=""https://t.co/ODXkRW1R7L"">pic.twitter.com/ODXkRW1R7L</a></p>&mdash; ⚡️Damian⚡️ (@DCFlashshill) <a href=""https://twitter.com/DCFlashshill/status/1255237368426180610?ref_src=twsrc%5Etfw"">April 28, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> @DCFlashshill shows us how they have been waiting for the movie since 2015. Sorry to break it to you Damian, but it looks like you're going to have to wait a bit longer, probably till 2022. 
",Draft,Entertainment - TV & Film,Gallery,DC Movies Get New Release Dates and the Internet Cant Keep Calm,"It is no surprise that DC-verse releases have been delayed. It is also no surprise, that the fans stormed social media with their enlivened thoughts and opinions.

You were hyped to witness the new <i>The Batman</i> on the silver screen or find out how Steve Trevor returns from the dead. But then, <i>Shazam!</i> And everything got pushed to the future in a <i>Flash</i>. See what we did there? The announcement for the indefinite postponing of all movies witnessed DC universe fans at their opinionated best, whether they had theories to share, ideas to discuss, or hope to spread. In fact, even costuming got a few tweets dedicated to it. Take a look at what they had to say on Twitter and maybe add your own take too!
"
Looks like the distressed feelings are shared even by The Batman fans,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">How much longer do we always have to wait for this movie and always getting delayed? <a href=""https://t.co/cRUfsZS205"">https://t.co/cRUfsZS205</a></p>&mdash; DarthPool #LucasOrder (@DarthPool99) <a href=""https://twitter.com/DarthPool99/status/1252412714036551683?ref_src=twsrc%5Etfw"">April 21, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> @DarthPool99 is tired of the endless wait for the movie to release and they can get in line! After all, it is the one movie that every DC fan has been waiting for. Fun fact, <i>Venom 2</i>, has acquired <i>The Batman’s</i> original release date.
",Draft,Entertainment - TV & Film,Gallery,DC Movies Get New Release Dates and the Internet Cant Keep Calm,"It is no surprise that DC-verse releases have been delayed. It is also no surprise, that the fans stormed social media with their enlivened thoughts and opinions.

You were hyped to witness the new <i>The Batman</i> on the silver screen or find out how Steve Trevor returns from the dead. But then, <i>Shazam!</i> And everything got pushed to the future in a <i>Flash</i>. See what we did there? The announcement for the indefinite postponing of all movies witnessed DC universe fans at their opinionated best, whether they had theories to share, ideas to discuss, or hope to spread. In fact, even costuming got a few tweets dedicated to it. Take a look at what they had to say on Twitter and maybe add your own take too!
"
"Hence proved: The Batman is a favorite, even in text
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Which comic book movie has you the most hyped? <a href=""https://twitter.com/hashtag/DC?src=hash&amp;ref_src=twsrc%5Etfw"">#DC</a> <a href=""https://twitter.com/hashtag/Marvel?src=hash&amp;ref_src=twsrc%5Etfw"">#Marvel</a> <a href=""https://twitter.com/hashtag/WW84?src=hash&amp;ref_src=twsrc%5Etfw"">#WW84</a> <a href=""https://twitter.com/hashtag/BlackWidow?src=hash&amp;ref_src=twsrc%5Etfw"">#BlackWidow</a> <a href=""https://twitter.com/hashtag/TheBatman?src=hash&amp;ref_src=twsrc%5Etfw"">#TheBatman</a> <a href=""https://twitter.com/hashtag/Venom2?src=hash&amp;ref_src=twsrc%5Etfw"">#Venom2</a> <a href=""https://twitter.com/hashtag/SHPOLL20?src=hash&amp;ref_src=twsrc%5Etfw"">#SHPOLL20</a></p>&mdash; Chris Nichols (@LadyOfHelheim) <a href=""https://twitter.com/LadyOfHelheim/status/1252360241972342785?ref_src=twsrc%5Etfw"">April 20, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> Movies aside, @LadyOfHelheim held a Twitter poll to find out which comic book is the most popular amongst DC fans. The choices were <i>Wonder Woman 1984</i>, <i>Black Widow</i>, <i>Venom 2</i>, and <i>The Batman</i>. Turns out the bat flies high, even when it comes to comics.
",Draft,Entertainment - TV & Film,Gallery,DC Movies Get New Release Dates and the Internet Cant Keep Calm,"It is no surprise that DC-verse releases have been delayed. It is also no surprise, that the fans stormed social media with their enlivened thoughts and opinions.

You were hyped to witness the new <i>The Batman</i> on the silver screen or find out how Steve Trevor returns from the dead. But then, <i>Shazam!</i> And everything got pushed to the future in a <i>Flash</i>. See what we did there? The announcement for the indefinite postponing of all movies witnessed DC universe fans at their opinionated best, whether they had theories to share, ideas to discuss, or hope to spread. In fact, even costuming got a few tweets dedicated to it. Take a look at what they had to say on Twitter and maybe add your own take too!
"
"Things like costumes and dates aren’t the only issue here
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">To the ones who inspire us to be larger than life and teach us that anything is possible.<a href=""https://twitter.com/hashtag/ReleaseTheSnyderCut?src=hash&amp;ref_src=twsrc%5Etfw"">#ReleaseTheSnyderCut</a> <a href=""https://t.co/PZ8WFktYDV"">pic.twitter.com/PZ8WFktYDV</a></p>&mdash; Davi_Wayne (@WayneHellblaz3r) <a href=""https://twitter.com/WayneHellblaz3r/status/1255252187518775298?ref_src=twsrc%5Etfw"">April 28, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> You might think it’s only about what characters fans prefer but the original deleted scenes directed by Zack Snyder matter equally! After all, it boils down to personal choice and looks like the production companies and are completely off-sync with their fans on this front.
",Draft,Entertainment - TV & Film,Gallery,DC Movies Get New Release Dates and the Internet Cant Keep Calm,"It is no surprise that DC-verse releases have been delayed. It is also no surprise, that the fans stormed social media with their enlivened thoughts and opinions.

You were hyped to witness the new <i>The Batman</i> on the silver screen or find out how Steve Trevor returns from the dead. But then, <i>Shazam!</i> And everything got pushed to the future in a <i>Flash</i>. See what we did there? The announcement for the indefinite postponing of all movies witnessed DC universe fans at their opinionated best, whether they had theories to share, ideas to discuss, or hope to spread. In fact, even costuming got a few tweets dedicated to it. Take a look at what they had to say on Twitter and maybe add your own take too!
"
"This user has a more uncommon yet optimistic take
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Lol😂 Can we at least see him as Batman first? I’m not even crazy about the guy, to me he’s the twilight vampire and Sedrick Diggery, but we haven’t even seen him as Batman yet, he could be awesome. <a href=""https://t.co/9VnFIhMILS"">https://t.co/9VnFIhMILS</a></p>&mdash; Knuckle Head (@Knuckle_HeadTV) <a href=""https://twitter.com/Knuckle_HeadTV/status/1252455312528797697?ref_src=twsrc%5Etfw"">April 21, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> @Knuckle_HeadTV made a valid point when they said we should at least take a look at the new Batman in action. Hating on an actor before the movie even releases is majorly uncool and who knows, Pattinson may even ace the Bat’s role.
",Draft,Entertainment - TV & Film,Gallery,DC Movies Get New Release Dates and the Internet Cant Keep Calm,"It is no surprise that DC-verse releases have been delayed. It is also no surprise, that the fans stormed social media with their enlivened thoughts and opinions.

You were hyped to witness the new <i>The Batman</i> on the silver screen or find out how Steve Trevor returns from the dead. But then, <i>Shazam!</i> And everything got pushed to the future in a <i>Flash</i>. See what we did there? The announcement for the indefinite postponing of all movies witnessed DC universe fans at their opinionated best, whether they had theories to share, ideas to discuss, or hope to spread. In fact, even costuming got a few tweets dedicated to it. Take a look at what they had to say on Twitter and maybe add your own take too!
"
