post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
4171,Find your space,"Sheldon Cooper isn’t the only one who likes his spot! Since you?ll be spending most of your day working, we suggest you find your spot and claim the space. This will also largely depend on whether you stay alone or have a roommate, or live in a house with a spare room that can be turned into your temp workspace. Once you narrow down where you want to work, we can explore the how of things. ",publish,Home and Garden,Gallery,DIY Home Decor Ideas to Keep You Occupied During Quarantine,"The lockdown is officially under effect and staying indoors under quarantine can be tough. One of the key challenges rests with managing all the free time you have, even after working from home. Plus, there is only so much television you can watch or games you can play before you get bored of being indoors all day. So, to help you manage the boredom and at the same time give your beautiful home an inexpensive makeover, we have scoured the Internet to find interesting DIY build projects. The possibilities are limitless with these creative ideas so take a look. ",Shutterstock,,,,
4173,Staying online,There is simply no point in setting up your workstation where the Internet connectivity is compromised. You might even want to consider moving the wireless router to where you set up to ensure maximum range and bandwidth. So change your layout accordingly before you get comfy. Remember to connect everything to a portable power backup so you don?t have to worry in case the power goes out.,publish,Home and Garden,Gallery,DIY Home Decor Ideas to Keep You Occupied During Quarantine,"The lockdown is officially under effect and staying indoors under quarantine can be tough. One of the key challenges rests with managing all the free time you have, even after working from home. Plus, there is only so much television you can watch or games you can play before you get bored of being indoors all day. So, to help you manage the boredom and at the same time give your beautiful home an inexpensive makeover, we have scoured the Internet to find interesting DIY build projects. The possibilities are limitless with these creative ideas so take a look. ",Shutterstock,,,,
4175,Build a sit or stand workstation,"Using nothing but some wood planks and spare shelf brackets lying around in the garage, you can build yourself a sit or stand workstation. Simply adjust the height of the desk according to your convenience and viola, you’ve got yourself a decent and inexpensive piece of furniture made right at home. So, when the mood strikes, get the rest of your work done standing.",publish,Home and Garden,Gallery,DIY Home Decor Ideas to Keep You Occupied During Quarantine,"The lockdown is officially under effect and staying indoors under quarantine can be tough. One of the key challenges rests with managing all the free time you have, even after working from home. Plus, there is only so much television you can watch or games you can play before you get bored of being indoors all day. So, to help you manage the boredom and at the same time give your beautiful home an inexpensive makeover, we have scoured the Internet to find interesting DIY build projects. The possibilities are limitless with these creative ideas so take a look. ",Shutterstock,,,,
4177,Proper lighting is key,"When you are working indoors, ensure the room gets plenty of sunlight. Or at the very least, the indoor lighting should be sufficient enough to reduce the need for backlight from the screen. You can buy and install small table lights or consider increasing the wattage of existing light bulbs. Remember your productivity automatically increases in the right workspace. ",publish,Home and Garden,Gallery,DIY Home Decor Ideas to Keep You Occupied During Quarantine,"The lockdown is officially under effect and staying indoors under quarantine can be tough. One of the key challenges rests with managing all the free time you have, even after working from home. Plus, there is only so much television you can watch or games you can play before you get bored of being indoors all day. So, to help you manage the boredom and at the same time give your beautiful home an inexpensive makeover, we have scoured the Internet to find interesting DIY build projects. The possibilities are limitless with these creative ideas so take a look. ",Shutterstock,,,,
4179,Room curtains for dividing space,"Have a few spare curtains lying around? Use them as space dividers to ensure some privacy. While they are not necessarily soundproof, these DIY curtain partitions can isolate you in your workstation and let others know you mean business. This is a great way to mark your space especially if you are sharing the room with one or more of your siblings. ",publish,Home and Garden,Gallery,DIY Home Decor Ideas to Keep You Occupied During Quarantine,"The lockdown is officially under effect and staying indoors under quarantine can be tough. One of the key challenges rests with managing all the free time you have, even after working from home. Plus, there is only so much television you can watch or games you can play before you get bored of being indoors all day. So, to help you manage the boredom and at the same time give your beautiful home an inexpensive makeover, we have scoured the Internet to find interesting DIY build projects. The possibilities are limitless with these creative ideas so take a look. ",Shutterstock,,,,
4181,Upholster furniture,"When you are not using your chair, how about swapping up and upholstering the cushions? You?ll be surprised to know that it takes very little fabric (you can even use scrap sheets or curtains) and materials for this DIY project. Simply check out free videos on YouTube that come with step by step instructions and spend some time sprucing up your workspace. ",publish,Home and Garden,Gallery,DIY Home Decor Ideas to Keep You Occupied During Quarantine,"The lockdown is officially under effect and staying indoors under quarantine can be tough. One of the key challenges rests with managing all the free time you have, even after working from home. Plus, there is only so much television you can watch or games you can play before you get bored of being indoors all day. So, to help you manage the boredom and at the same time give your beautiful home an inexpensive makeover, we have scoured the Internet to find interesting DIY build projects. The possibilities are limitless with these creative ideas so take a look. ",Shutterstock,,,,
4183,Floating desks,"These desks are a true space saver and can be installed in any room. You don’t even need a lot of material as a couple of sturdy wood planks, screws, braces and brackets with your basic tool kit will work fine. These desks can be reshaped and remodeled to fit just about anywhere you like. You can also build an additional layer to store all your office essentials. ",publish,Home and Garden,Gallery,DIY Home Decor Ideas to Keep You Occupied During Quarantine,"The lockdown is officially under effect and staying indoors under quarantine can be tough. One of the key challenges rests with managing all the free time you have, even after working from home. Plus, there is only so much television you can watch or games you can play before you get bored of being indoors all day. So, to help you manage the boredom and at the same time give your beautiful home an inexpensive makeover, we have scoured the Internet to find interesting DIY build projects. The possibilities are limitless with these creative ideas so take a look. ",Shutterstock,,,,
4185,Compact wall storage,"Often you might notice a corner or part of the wall that is deeper in comparison to the rest of the space. It may look like a design flaw but this is the perfect space to build a custom storage unit. Here again, using the bare minimum of materials, you can install DIY shelves. You can find online resources with step by step instructions to build a wall storage unit today. ",publish,Home and Garden,Gallery,DIY Home Decor Ideas to Keep You Occupied During Quarantine,"The lockdown is officially under effect and staying indoors under quarantine can be tough. One of the key challenges rests with managing all the free time you have, even after working from home. Plus, there is only so much television you can watch or games you can play before you get bored of being indoors all day. So, to help you manage the boredom and at the same time give your beautiful home an inexpensive makeover, we have scoured the Internet to find interesting DIY build projects. The possibilities are limitless with these creative ideas so take a look. ",Shutterstock,,,,
4187,Upholster the closet doors,"All you need is a staple gun, and a piece of cloth and you are all set to give your bedroom closet a makeover. Simply measure the surface area and cut the fabric accordingly to make the door covers. Then staple them in place with minimum effort. Using this technique, you can also cover up appliances to give your living room or kitchen a unique aesthetic look. ",publish,Home and Garden,Gallery,DIY Home Decor Ideas to Keep You Occupied During Quarantine,"The lockdown is officially under effect and staying indoors under quarantine can be tough. One of the key challenges rests with managing all the free time you have, even after working from home. Plus, there is only so much television you can watch or games you can play before you get bored of being indoors all day. So, to help you manage the boredom and at the same time give your beautiful home an inexpensive makeover, we have scoured the Internet to find interesting DIY build projects. The possibilities are limitless with these creative ideas so take a look. ",Shutterstock,,,,
4189,Folding desk,"A space saver, you can just pack this folding desk and move everything to another room without much hassle. Folding desks can be built using a few good wood planks, sturdy hinges to support the movable legs, and to finish it all up add a nice coat of varnish. With folding desks, just move around the house when you get bored of sitting in one place. ",publish,Home and Garden,Gallery,DIY Home Decor Ideas to Keep You Occupied During Quarantine,"The lockdown is officially under effect and staying indoors under quarantine can be tough. One of the key challenges rests with managing all the free time you have, even after working from home. Plus, there is only so much television you can watch or games you can play before you get bored of being indoors all day. So, to help you manage the boredom and at the same time give your beautiful home an inexpensive makeover, we have scoured the Internet to find interesting DIY build projects. The possibilities are limitless with these creative ideas so take a look. ",Shutterstock,,,,
