post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
3086,This up and coming rapper who literally changed the country game,"On the last day of Pride Month in 2019, Lil Nas X released the album art for his EP “7”. The cover had the rapper wearing a cowboy hat and riding a horse on an “old town road” with rainbow lights in the background. Once fans began commenting on and questioning the symbolism, the singer-rapper said he thought everyone already knew that he belonged to the LGBTQ+ community. Chill guy extraordinaire and a hoot on Twitter, what’s not to love?",publish,Music,Gallery,Fabulous Singers You Probably Didn't Know Belonged to the LGBTQ+ Community,"Present day society has come a long way from the times of the Stonewall uprising. Identity is now a fluid concept and more and more people are normalizing the concept of there being no norm. A lot of this change came not only from the activism of common folk who refused to let discussions die but also from celebrities who identified with the community and fought to make themselves heard on public forums. It’s 2020 now, and even though the LGBTQ+ community faces much lesser stigma, a lot of us struggle with coming to terms with our identities. So, here’s a list of all the singers who belong to the rainbow community to motivate you to live your own truth, just as they are living their own.",Rob Latour/Shutterstock,,Rob Latour/Shutterstock,,
3088,"And this singer who’s sorry, not sorry about being genderfluid","In a 2017 Youtube documentary, Lovato revealed that her love is not barred by constraints of gender. Since coming out she has mentioned that she loves the freedom that comes with her fluidity. Not forgetting to mention, she now can flirt with whoever she wants! A brilliant perspective, that one right there.",publish,Music,Gallery,Fabulous Singers You Probably Didn't Know Belonged to the LGBTQ+ Community,"Present day society has come a long way from the times of the Stonewall uprising. Identity is now a fluid concept and more and more people are normalizing the concept of there being no norm. A lot of this change came not only from the activism of common folk who refused to let discussions die but also from celebrities who identified with the community and fought to make themselves heard on public forums. It’s 2020 now, and even though the LGBTQ+ community faces much lesser stigma, a lot of us struggle with coming to terms with our identities. So, here’s a list of all the singers who belong to the rainbow community to motivate you to live your own truth, just as they are living their own.",Imagespace/Shutterstock,,Imagespace/Shutterstock,,
3090,This timeless singer whose vocals stunned millions,"Amy Winehouse used her music to touch the souls of millions even as she struggled with various addictions, leading to her untimely demise. There were always rumors regarding her sexuality and she never did anything to squash those. Years after her passing, singer Neon Hitch claimed they had a specific memory together and that Amy had introduced her to being a lesbian. The troubled musician had once said she would like her dream superpower to be having super sexuality.",publish,Music,Gallery,Fabulous Singers You Probably Didn't Know Belonged to the LGBTQ+ Community,"Present day society has come a long way from the times of the Stonewall uprising. Identity is now a fluid concept and more and more people are normalizing the concept of there being no norm. A lot of this change came not only from the activism of common folk who refused to let discussions die but also from celebrities who identified with the community and fought to make themselves heard on public forums. It’s 2020 now, and even though the LGBTQ+ community faces much lesser stigma, a lot of us struggle with coming to terms with our identities. So, here’s a list of all the singers who belong to the rainbow community to motivate you to live your own truth, just as they are living their own.",ITV/Shutterstock,,ITV/Shutterstock,,
3092,"Not to mention, this icon who broke stereotypes before it was a thing™","David Bowie is undoubtedly an international icon and will be one forever. But, aside from oodles of talent, what makes him even more memorable was how he owned his identity. Back when coming out as a homosexual was stigmatized and frowned on, David came out as gay in a 1972 issue of England’s Melody Maker and the lyricism in his music was never seen the same way again.",publish,Music,Gallery,Fabulous Singers You Probably Didn't Know Belonged to the LGBTQ+ Community,"Present day society has come a long way from the times of the Stonewall uprising. Identity is now a fluid concept and more and more people are normalizing the concept of there being no norm. A lot of this change came not only from the activism of common folk who refused to let discussions die but also from celebrities who identified with the community and fought to make themselves heard on public forums. It’s 2020 now, and even though the LGBTQ+ community faces much lesser stigma, a lot of us struggle with coming to terms with our identities. So, here’s a list of all the singers who belong to the rainbow community to motivate you to live your own truth, just as they are living their own.",Ilpo Musto/Shutterstock,,Ilpo Musto/Shutterstock,,
3094,Pop culture adores this singer who has bloomed outside and within the LGBTQ+ community,"In 2013, back when Troye Sivan was a budding YouTuber, he came out as part of the LBGTQ+ community with a video titled “Coming Out.” Since then, he’s gone on to become a major pop +star with a successful career in the music industry and ensures to include representation in his lyrics and music videos. The upper echelons have so much to learn from him dear audience, so much to learn!",publish,Music,Gallery,Fabulous Singers You Probably Didn't Know Belonged to the LGBTQ+ Community,"Present day society has come a long way from the times of the Stonewall uprising. Identity is now a fluid concept and more and more people are normalizing the concept of there being no norm. A lot of this change came not only from the activism of common folk who refused to let discussions die but also from celebrities who identified with the community and fought to make themselves heard on public forums. It’s 2020 now, and even though the LGBTQ+ community faces much lesser stigma, a lot of us struggle with coming to terms with our identities. So, here’s a list of all the singers who belong to the rainbow community to motivate you to live your own truth, just as they are living their own.",Eric Charbonneau/Shutterstock,,Eric Charbonneau/Shutterstock,,
3096,"Also also, this singer who was and will be a Queen until the end of time","Even though Queen frontman Freddie Mercury never did a formal coming out interview, he was openly in a relationship with Jim Hutton from 1985 until his unfortunate demise. Throughout his career, he faced rumors about his sexuality, most of which originated from his extravagant style, flamboyant and groundbreaking outfits that tore down societal norms and ridiculously ahead-of-its-time music. He wanted to break free and so he did!",publish,Music,Gallery,Fabulous Singers You Probably Didn't Know Belonged to the LGBTQ+ Community,"Present day society has come a long way from the times of the Stonewall uprising. Identity is now a fluid concept and more and more people are normalizing the concept of there being no norm. A lot of this change came not only from the activism of common folk who refused to let discussions die but also from celebrities who identified with the community and fought to make themselves heard on public forums. It’s 2020 now, and even though the LGBTQ+ community faces much lesser stigma, a lot of us struggle with coming to terms with our identities. So, here’s a list of all the singers who belong to the rainbow community to motivate you to live your own truth, just as they are living their own.",Andre Csillag/Shutterstock,,Andre Csillag/Shutterstock,,
3098,"This singer who wants to swing, albeit from a chandelier","Identifying herself as queer in 2013, Sia has always been open about her identity, mental health issues and more. To dedicate herself to the queer community in a more meaningful way, she wrote a brief letter for Billboard’s “Love Letter to the LGBTQ Community” in 2017 where she mentioned the struggles within the community. This vocal queen may hide behind oversized wigs but makes sure her voice is heard where it counts!",publish,Music,Gallery,Fabulous Singers You Probably Didn't Know Belonged to the LGBTQ+ Community,"Present day society has come a long way from the times of the Stonewall uprising. Identity is now a fluid concept and more and more people are normalizing the concept of there being no norm. A lot of this change came not only from the activism of common folk who refused to let discussions die but also from celebrities who identified with the community and fought to make themselves heard on public forums. It’s 2020 now, and even though the LGBTQ+ community faces much lesser stigma, a lot of us struggle with coming to terms with our identities. So, here’s a list of all the singers who belong to the rainbow community to motivate you to live your own truth, just as they are living their own.",Startraks/Shutterstock,,Startraks/Shutterstock,,
3100,"Plus, this vocalist who was one of the harmonies from Fifth Harmony","Ex-member of British girl-band Fifth Harmony, Lauren Jauregui came out in 2016 in an open letter to Trump supporters. She then went on to star alongside Halsey in music videos portraying same-sex love while advocating for LGBTQ+ rights. In a candid interview with Billboard, the pop star spoke about her bisexuality and falling in love with people’s souls. Talk about a Bo$$!!",publish,Music,Gallery,Fabulous Singers You Probably Didn't Know Belonged to the LGBTQ+ Community,"Present day society has come a long way from the times of the Stonewall uprising. Identity is now a fluid concept and more and more people are normalizing the concept of there being no norm. A lot of this change came not only from the activism of common folk who refused to let discussions die but also from celebrities who identified with the community and fought to make themselves heard on public forums. It’s 2020 now, and even though the LGBTQ+ community faces much lesser stigma, a lot of us struggle with coming to terms with our identities. So, here’s a list of all the singers who belong to the rainbow community to motivate you to live your own truth, just as they are living their own.",Michael Buckner/Variety/Shutterstock,,Michael Buckner/Variety/Shutterstock,,
3102,And this star who’s all about that m.i.l.f money,"In a 2009 interview with the Advocate, Fergie confirmed that she’s bisexual and also commented that she finds women beautiful (but then who doesn’t, hello?) and that she is not ashamed of her sexuality. Like a breath of fresh air, the ex-Black Eyed Peas member had never shied away from her sexuality. She is and will always be Fergalicious!",publish,Music,Gallery,Fabulous Singers You Probably Didn't Know Belonged to the LGBTQ+ Community,"Present day society has come a long way from the times of the Stonewall uprising. Identity is now a fluid concept and more and more people are normalizing the concept of there being no norm. A lot of this change came not only from the activism of common folk who refused to let discussions die but also from celebrities who identified with the community and fought to make themselves heard on public forums. It’s 2020 now, and even though the LGBTQ+ community faces much lesser stigma, a lot of us struggle with coming to terms with our identities. So, here’s a list of all the singers who belong to the rainbow community to motivate you to live your own truth, just as they are living their own.",Broadimage/Shutterstock,,Broadimage/Shutterstock,,
3104,"This vocalist who is also a model, actor, writer and a proud member of the LGBTQ+ community","Cara Delvigne has never been shy about her sexuality but when a Vogue writer suggested to the top model that bisexuality is a phase, she addressed it with a simple yet savage comment that went something like this — “My sexuality is not a phase.” She later told The New York Times, “I am who I am.”",publish,Music,Gallery,Fabulous Singers You Probably Didn't Know Belonged to the LGBTQ+ Community,"Present day society has come a long way from the times of the Stonewall uprising. Identity is now a fluid concept and more and more people are normalizing the concept of there being no norm. A lot of this change came not only from the activism of common folk who refused to let discussions die but also from celebrities who identified with the community and fought to make themselves heard on public forums. It’s 2020 now, and even though the LGBTQ+ community faces much lesser stigma, a lot of us struggle with coming to terms with our identities. So, here’s a list of all the singers who belong to the rainbow community to motivate you to live your own truth, just as they are living their own.",Erik Pendzich/Shutterstock,,Erik Pendzich/Shutterstock,,
