post_title,post_content,post_status,tags,category,sub_category,sub_category_description
"Magical experience
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Me after listening to Levitating by Dua Lipa all day: <a href=""https://t.co/J1D7YTDEjm"">pic.twitter.com/J1D7YTDEjm</a></p>&mdash; PATHY WITH AN H. #ImDrunkILoveYou (@pathcarcer) <a href=""https://twitter.com/pathcarcer/status/1256052839194877952?ref_src=twsrc%5Etfw"">May 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> For a minute we thought we had started to <i>Hallucinate</i>. Quite a possibility when you have been listening to songs on a loop. We sure have been <i>Levitating</i> by the magic of this album.",Draft,Entertainment - TV & Film,Gallery,Dua Lipa's 'Future Nostalgia' Making Our Quarantine Time Fly,"Music has always been a saving grace and this time it’s no different. Dua Lipa’s new album Future Nostalgia is saving the world one pop song at a time. 

2020 has been a rollercoaster with all the unexpected twists and turns. The world is stuck in their homes and we are all losing our minds a little more with each passing day. With social distancing in action, even celebrities are trying to find something to do. In the midst of all these dark clouds, Future Nostalgia turned out to be a silver lining. Dua Lipa’s album was released earlier than expected and has been blowing minds since then. It has been streamed over a million times by now. Here’s a glimpse of how people have received this album.
"
"On a mission to save the world 
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">At the risk of being THAT gay, <a href=""https://twitter.com/hashtag/DuaLipa?src=hash&amp;ref_src=twsrc%5Etfw"">#DuaLipa</a> just saved music and maybe the whole world too with <a href=""https://twitter.com/hashtag/FutureNostalgia?src=hash&amp;ref_src=twsrc%5Etfw"">#FutureNostalgia</a> <a href=""https://t.co/G5L0SSXjjX"">pic.twitter.com/G5L0SSXjjX</a></p>&mdash; David Opie (@DavidOpie) <a href=""https://twitter.com/DavidOpie/status/1243451838910926848?ref_src=twsrc%5Etfw"">March 27, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> Being cooped up in our houses while isolating had us thinking we were nearing a certain apocalypse. You know, where we turn into zombies or something? And then came Dua Lipa’s album to our rescue. 
",Draft,Entertainment - TV & Film,Gallery,Dua Lipa's 'Future Nostalgia' Making Our Quarantine Time Fly,"Music has always been a saving grace and this time it’s no different. Dua Lipa’s new album Future Nostalgia is saving the world one pop song at a time. 

2020 has been a rollercoaster with all the unexpected twists and turns. The world is stuck in their homes and we are all losing our minds a little more with each passing day. With social distancing in action, even celebrities are trying to find something to do. In the midst of all these dark clouds, Future Nostalgia turned out to be a silver lining. Dua Lipa’s album was released earlier than expected and has been blowing minds since then. It has been streamed over a million times by now. Here’s a glimpse of how people have received this album.
"
"What’s on her mind?
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">dua lipa when she released <a href=""https://twitter.com/hashtag/futurenostalgia?src=hash&amp;ref_src=twsrc%5Etfw"">#futurenostalgia</a> <a href=""https://t.co/pGbVQiw7n8"">pic.twitter.com/pGbVQiw7n8</a></p>&mdash; xx (@fiImdiaries) <a href=""https://twitter.com/fiImdiaries/status/1243394536685965312?ref_src=twsrc%5Etfw"">March 27, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> Future Nostalgia will soon be recognized as the saving grace of this quarantine period. It reintroduced us to the art of having fun. After all, it’s important to have fun. 

",Draft,Entertainment - TV & Film,Gallery,Dua Lipa's 'Future Nostalgia' Making Our Quarantine Time Fly,"Music has always been a saving grace and this time it’s no different. Dua Lipa’s new album Future Nostalgia is saving the world one pop song at a time. 

2020 has been a rollercoaster with all the unexpected twists and turns. The world is stuck in their homes and we are all losing our minds a little more with each passing day. With social distancing in action, even celebrities are trying to find something to do. In the midst of all these dark clouds, Future Nostalgia turned out to be a silver lining. Dua Lipa’s album was released earlier than expected and has been blowing minds since then. It has been streamed over a million times by now. Here’s a glimpse of how people have received this album.
"
"Brilliant idea!
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">I&#39;m thinking ahead and it would be wise to pre-book next year&#39;s festivals 👽 <a href=""https://twitter.com/hashtag/alienexists?src=hash&amp;ref_src=twsrc%5Etfw"">#alienexists</a> <a href=""https://twitter.com/hashtag/aliensarereal?src=hash&amp;ref_src=twsrc%5Etfw"">#aliensarereal</a> <a href=""https://twitter.com/hashtag/aliensday?src=hash&amp;ref_src=twsrc%5Etfw"">#aliensday</a> <a href=""https://twitter.com/hashtag/fifthelement?src=hash&amp;ref_src=twsrc%5Etfw"">#fifthelement</a> <a href=""https://twitter.com/hashtag/FutureNostalgia?src=hash&amp;ref_src=twsrc%5Etfw"">#FutureNostalgia</a> <a href=""https://t.co/wXDQ5QVJWS"">pic.twitter.com/wXDQ5QVJWS</a></p>&mdash; Inquisitive And Unimpressed (@IUnimpressed) <a href=""https://twitter.com/IUnimpressed/status/1255621289328377857?ref_src=twsrc%5Etfw"">April 29, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> Now that’s called being proactive. Why delay the inevitable? We all know we won’t be missing out on the chance to listen to the tracks that got us through some tough times alive.
",Draft,Entertainment - TV & Film,Gallery,Dua Lipa's 'Future Nostalgia' Making Our Quarantine Time Fly,"Music has always been a saving grace and this time it’s no different. Dua Lipa’s new album Future Nostalgia is saving the world one pop song at a time. 

2020 has been a rollercoaster with all the unexpected twists and turns. The world is stuck in their homes and we are all losing our minds a little more with each passing day. With social distancing in action, even celebrities are trying to find something to do. In the midst of all these dark clouds, Future Nostalgia turned out to be a silver lining. Dua Lipa’s album was released earlier than expected and has been blowing minds since then. It has been streamed over a million times by now. Here’s a glimpse of how people have received this album.
"
"There’s a list!!!
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Five things getting me through quarantine:<br><br>- Britney’s instagram<br>- Martha Stewart<br>- Future Nostalgia <br>- SAWAYAMA <br>- Elizabeth Warren continuing to shape Democratic policy</p>&mdash; joe (@jo3dh) <a href=""https://twitter.com/jo3dh/status/1257044164010668032?ref_src=twsrc%5Etfw"">May 3, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> See that? We bet Dua Lipa’s Future Nostalgia is one of the very few threads you’re hanging onto. Tell us what else is on your list. The lists add to our euphoria (after this music, of course). 
",Draft,Entertainment - TV & Film,Gallery,Dua Lipa's 'Future Nostalgia' Making Our Quarantine Time Fly,"Music has always been a saving grace and this time it’s no different. Dua Lipa’s new album Future Nostalgia is saving the world one pop song at a time. 

2020 has been a rollercoaster with all the unexpected twists and turns. The world is stuck in their homes and we are all losing our minds a little more with each passing day. With social distancing in action, even celebrities are trying to find something to do. In the midst of all these dark clouds, Future Nostalgia turned out to be a silver lining. Dua Lipa’s album was released earlier than expected and has been blowing minds since then. It has been streamed over a million times by now. Here’s a glimpse of how people have received this album.
"
"Possessed?
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">it&#39;s gotten to the point of quarantine where i&#39;m deadass just dancing around my backyard to future nostalgia while my neighbors call their pastors over what they&#39;re witnessing from me right now</p>&mdash; kyle ⁎˚ ༚☆˚✧₊ (@americanaprince) <a href=""https://twitter.com/americanaprince/status/1257044056326246402?ref_src=twsrc%5Etfw"">May 3, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> What can we say to this? You do you girl! These songs do hold that kind of power and we aren’t about to deny the fact that we have been dancing all this while, too. 
",Draft,Entertainment - TV & Film,Gallery,Dua Lipa's 'Future Nostalgia' Making Our Quarantine Time Fly,"Music has always been a saving grace and this time it’s no different. Dua Lipa’s new album Future Nostalgia is saving the world one pop song at a time. 

2020 has been a rollercoaster with all the unexpected twists and turns. The world is stuck in their homes and we are all losing our minds a little more with each passing day. With social distancing in action, even celebrities are trying to find something to do. In the midst of all these dark clouds, Future Nostalgia turned out to be a silver lining. Dua Lipa’s album was released earlier than expected and has been blowing minds since then. It has been streamed over a million times by now. Here’s a glimpse of how people have received this album.
"
"Maybe not?
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Listen &quot;Future Nostalgia&quot; while being in quarantine always backfires, it makes me wanna go out, get drinks and dance</p>&mdash; Ｓｏｌｃｉｔｏ 𖤍 (@quinzelcorp) <a href=""https://twitter.com/quinzelcorp/status/1254584140042772481?ref_src=twsrc%5Etfw"">April 27, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> Aaahhhh... But we have to stay in! So, let’s just grab a glass of wine, pretend it’s Christmas, and start moving to the best pop music we have heard in a while. We are already high on these tracks! 

",Draft,Entertainment - TV & Film,Gallery,Dua Lipa's 'Future Nostalgia' Making Our Quarantine Time Fly,"Music has always been a saving grace and this time it’s no different. Dua Lipa’s new album Future Nostalgia is saving the world one pop song at a time. 

2020 has been a rollercoaster with all the unexpected twists and turns. The world is stuck in their homes and we are all losing our minds a little more with each passing day. With social distancing in action, even celebrities are trying to find something to do. In the midst of all these dark clouds, Future Nostalgia turned out to be a silver lining. Dua Lipa’s album was released earlier than expected and has been blowing minds since then. It has been streamed over a million times by now. Here’s a glimpse of how people have received this album.
"
"Knowledge worth sharing
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">When Covid-19 goes into the history books will there be a special mention for Future Nostalgia being the anthem of quarantine ?</p>&mdash; #TeamJaida (@AllOfAle) <a href=""https://twitter.com/AllOfAle/status/1256226737702215693?ref_src=twsrc%5Etfw"">May 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> Future Nostalgia is a PSA we did not know we needed. It is saving lives, reviving people, and keeping them from stepping out, out of sheer boredom. This kind of service is definitely worth going down in history. 
",Draft,Entertainment - TV & Film,Gallery,Dua Lipa's 'Future Nostalgia' Making Our Quarantine Time Fly,"Music has always been a saving grace and this time it’s no different. Dua Lipa’s new album Future Nostalgia is saving the world one pop song at a time. 

2020 has been a rollercoaster with all the unexpected twists and turns. The world is stuck in their homes and we are all losing our minds a little more with each passing day. With social distancing in action, even celebrities are trying to find something to do. In the midst of all these dark clouds, Future Nostalgia turned out to be a silver lining. Dua Lipa’s album was released earlier than expected and has been blowing minds since then. It has been streamed over a million times by now. Here’s a glimpse of how people have received this album.
"
"Who are you voting for?
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Say what y’all want but President Lipa’s <a href=""https://twitter.com/hashtag/COVID19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID19</a> response is unparalleled <a href=""https://twitter.com/hashtag/DuaLipa?src=hash&amp;ref_src=twsrc%5Etfw"">#DuaLipa</a> <a href=""https://t.co/HdYmkKoiwE"">pic.twitter.com/HdYmkKoiwE</a></p>&mdash; Hunter M (@_whereshunter) <a href=""https://twitter.com/_whereshunter/status/1243582976153341953?ref_src=twsrc%5Etfw"">March 27, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> This user has identified the potential Lipa holds, and they just might be right. Let’s get a headcount of people supporting the “Dua Lipa for President” moment. Who’s in? Should we start working on her campaign slogans?
",Draft,Entertainment - TV & Film,Gallery,Dua Lipa's 'Future Nostalgia' Making Our Quarantine Time Fly,"Music has always been a saving grace and this time it’s no different. Dua Lipa’s new album Future Nostalgia is saving the world one pop song at a time. 

2020 has been a rollercoaster with all the unexpected twists and turns. The world is stuck in their homes and we are all losing our minds a little more with each passing day. With social distancing in action, even celebrities are trying to find something to do. In the midst of all these dark clouds, Future Nostalgia turned out to be a silver lining. Dua Lipa’s album was released earlier than expected and has been blowing minds since then. It has been streamed over a million times by now. Here’s a glimpse of how people have received this album.
"
"Should we call in sick?
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">The new Dua Lipa album is really bad work from home music because I just can’t stop DANCIN’ TO IT 🤪 <a href=""https://t.co/K63NF1lArL"">pic.twitter.com/K63NF1lArL</a></p>&mdash; Scott Interrante (@InterranteScott) <a href=""https://twitter.com/InterranteScott/status/1243564746575695875?ref_src=twsrc%5Etfw"">March 27, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> This tweet here perfectly sums up our thoughts right now. Video calling our friends to dance to Future Nostalgia is a mood. You’ll never know how many times we needed to write this.
",Draft,Entertainment - TV & Film,Gallery,Dua Lipa's 'Future Nostalgia' Making Our Quarantine Time Fly,"Music has always been a saving grace and this time it’s no different. Dua Lipa’s new album Future Nostalgia is saving the world one pop song at a time. 

2020 has been a rollercoaster with all the unexpected twists and turns. The world is stuck in their homes and we are all losing our minds a little more with each passing day. With social distancing in action, even celebrities are trying to find something to do. In the midst of all these dark clouds, Future Nostalgia turned out to be a silver lining. Dua Lipa’s album was released earlier than expected and has been blowing minds since then. It has been streamed over a million times by now. Here’s a glimpse of how people have received this album.
"
