post_title,post_content,post_status,tags,category,sub_category,sub_category_description
"When Mother Monster says so, you do so",She loves the world! She also posted about self-quarantine on IG.,Draft,Health,Gallery,Here's All the Celebrity Motivation You Need to Stay Indoors RN,"The COVID-19 pandemic has affected almost all countries of the world - some more than others. With more than 300,000 confirmed cases, and millions hunkered down to avoid spreading or contracting this highly contagious disease, the need of the hour is observing social distancing and self-quarantine. Staying indoors has become an absolute necessity with world leaders urging people to comply. Even celebrities are chiming in reminding their fans via social media that quarantining themselves is the only way to slow down the spread of this deadly virus. In that vein, here're a few of our favorite PSAs from our favorite celebs."
Lady Gaga also added these words of encouragement,Playing video games and cards with your loved ones sounds like a plan!,Draft,Health,Gallery,Here's All the Celebrity Motivation You Need to Stay Indoors RN,"The COVID-19 pandemic has affected almost all countries of the world - some more than others. With more than 300,000 confirmed cases, and millions hunkered down to avoid spreading or contracting this highly contagious disease, the need of the hour is observing social distancing and self-quarantine. Staying indoors has become an absolute necessity with world leaders urging people to comply. Even celebrities are chiming in reminding their fans via social media that quarantining themselves is the only way to slow down the spread of this deadly virus. In that vein, here're a few of our favorite PSAs from our favorite celebs."
Our pop princess didn’t just tweet this to be ignored,"It could be the best time to start that long-distance relationship, stay indoors!",Draft,Health,Gallery,Here's All the Celebrity Motivation You Need to Stay Indoors RN,"The COVID-19 pandemic has affected almost all countries of the world - some more than others. With more than 300,000 confirmed cases, and millions hunkered down to avoid spreading or contracting this highly contagious disease, the need of the hour is observing social distancing and self-quarantine. Staying indoors has become an absolute necessity with world leaders urging people to comply. Even celebrities are chiming in reminding their fans via social media that quarantining themselves is the only way to slow down the spread of this deadly virus. In that vein, here're a few of our favorite PSAs from our favorite celebs."
And Dua Lipa now has New Rules for EVERYBODY!,You better be counting them!,Draft,Health,Gallery,Here's All the Celebrity Motivation You Need to Stay Indoors RN,"The COVID-19 pandemic has affected almost all countries of the world - some more than others. With more than 300,000 confirmed cases, and millions hunkered down to avoid spreading or contracting this highly contagious disease, the need of the hour is observing social distancing and self-quarantine. Staying indoors has become an absolute necessity with world leaders urging people to comply. Even celebrities are chiming in reminding their fans via social media that quarantining themselves is the only way to slow down the spread of this deadly virus. In that vein, here're a few of our favorite PSAs from our favorite celebs."
"Forget “Happy Birthday,” Local Natives motivated us to wash hands the RIGHT way","On Megaton Mile, we wash your hands right!",Draft,Health,Gallery,Here's All the Celebrity Motivation You Need to Stay Indoors RN,"The COVID-19 pandemic has affected almost all countries of the world - some more than others. With more than 300,000 confirmed cases, and millions hunkered down to avoid spreading or contracting this highly contagious disease, the need of the hour is observing social distancing and self-quarantine. Staying indoors has become an absolute necessity with world leaders urging people to comply. Even celebrities are chiming in reminding their fans via social media that quarantining themselves is the only way to slow down the spread of this deadly virus. In that vein, here're a few of our favorite PSAs from our favorite celebs."
Kasey Musgraves gave us the necessary motivation to do nothing,"By doing nothing, we are actually doing everything to save the world!",Draft,Health,Gallery,Here's All the Celebrity Motivation You Need to Stay Indoors RN,"The COVID-19 pandemic has affected almost all countries of the world - some more than others. With more than 300,000 confirmed cases, and millions hunkered down to avoid spreading or contracting this highly contagious disease, the need of the hour is observing social distancing and self-quarantine. Staying indoors has become an absolute necessity with world leaders urging people to comply. Even celebrities are chiming in reminding their fans via social media that quarantining themselves is the only way to slow down the spread of this deadly virus. In that vein, here're a few of our favorite PSAs from our favorite celebs."
When Lil Nas X gave money to people who needed it to survive and stay safe indoors,"**We’re literally sobbing RN** Humans can be unselfish, if they want to!",Draft,Health,Gallery,Here's All the Celebrity Motivation You Need to Stay Indoors RN,"The COVID-19 pandemic has affected almost all countries of the world - some more than others. With more than 300,000 confirmed cases, and millions hunkered down to avoid spreading or contracting this highly contagious disease, the need of the hour is observing social distancing and self-quarantine. Staying indoors has become an absolute necessity with world leaders urging people to comply. Even celebrities are chiming in reminding their fans via social media that quarantining themselves is the only way to slow down the spread of this deadly virus. In that vein, here're a few of our favorite PSAs from our favorite celebs."
Our girl Kehlani encouraged us to not panic or horde,"Well, someone had to! Remember there are others out there too, let’s not be selfish!",Draft,Health,Gallery,Here's All the Celebrity Motivation You Need to Stay Indoors RN,"The COVID-19 pandemic has affected almost all countries of the world - some more than others. With more than 300,000 confirmed cases, and millions hunkered down to avoid spreading or contracting this highly contagious disease, the need of the hour is observing social distancing and self-quarantine. Staying indoors has become an absolute necessity with world leaders urging people to comply. Even celebrities are chiming in reminding their fans via social media that quarantining themselves is the only way to slow down the spread of this deadly virus. In that vein, here're a few of our favorite PSAs from our favorite celebs."
And Katy Perry gave China the much needed support,"Yes, we are going to get through this, all of us!",Draft,Health,Gallery,Here's All the Celebrity Motivation You Need to Stay Indoors RN,"The COVID-19 pandemic has affected almost all countries of the world - some more than others. With more than 300,000 confirmed cases, and millions hunkered down to avoid spreading or contracting this highly contagious disease, the need of the hour is observing social distancing and self-quarantine. Staying indoors has become an absolute necessity with world leaders urging people to comply. Even celebrities are chiming in reminding their fans via social media that quarantining themselves is the only way to slow down the spread of this deadly virus. In that vein, here're a few of our favorite PSAs from our favorite celebs."
Miley Cyrus didn’t mince her words as she told us what was what,WASH YOUR DAMN HANDS!,Draft,Health,Gallery,Here's All the Celebrity Motivation You Need to Stay Indoors RN,"The COVID-19 pandemic has affected almost all countries of the world - some more than others. With more than 300,000 confirmed cases, and millions hunkered down to avoid spreading or contracting this highly contagious disease, the need of the hour is observing social distancing and self-quarantine. Staying indoors has become an absolute necessity with world leaders urging people to comply. Even celebrities are chiming in reminding their fans via social media that quarantining themselves is the only way to slow down the spread of this deadly virus. In that vein, here're a few of our favorite PSAs from our favorite celebs."
