post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
10473,Caitlin Rivers,"A senior scholar at the Johns Hopkins Center for Health Security, Caitlin Rivers (@cmyeaton), is an expert in outbreak science, epidemiology, disease modeling, and health security. She is also an Assistant Professor at the Johns Hopkins Bloomberg School of Public Health. <blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">I’ve been noticing a dangerous polarization in our discussions around navigating our way through the pandemic. Reopening is said to be playing games with people’s lives. Continuing stay at home measures is said to be without regard for the economy. This is a false choice. 1/</p>&mdash; Caitlin Rivers, PhD (@cmyeaton) <a href=""https://twitter.com/cmyeaton/status/1258511596713738240?ref_src=twsrc%5Etfw"">May 7, 2020</a></blockquote> ",publish,Featured,Featured,Here’s What the World’s Leading Health Experts Think Our Pandemic Summer Will Look Like,"With no end in sight yet of the global pandemic, the summer of 2020 is going to be unprecedented. Check out what health experts expect in the coming months.

The summer of 2020 is bringing in a new normal, with masks, quarantine, social distancing, and temperature checks. We don’t know how long we have to live with novel coronavirus. Dr. Anthony Fauci, the Director of the National Institute of Allergy and Infectious Diseases and the voice of this situation, since its inception, has stated that it’s “<a href=""https://www.bbc.com/news/world-us-canada-52629681"">entirely conceivable and possible</a>” for the virus to rebound in autumn. Here’s what other public health experts and scientists have to say about lifting lockdowns, consequences of COVID-19, and the pandemic summer we’re going through right now.",,,,,
10475,Michael Mina,"An Assistant Professor of epidemiology at Harvard T. H. Chan School of Public Health, Michael Mina (@michaelmina_lab), is also a core member of the Center for Communicable Disease Dynamics (CCDD). He is a well-known epidemiologist, immunologist, and physician expert in vaccines, infectious diseases, immunity, and public health. <blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">I think too soon is anytime before we have good systems in place for early warning signs to tell us that transmission is taking off. If we don&#039;t have the public health warning systems in place, we may be back where we just were, with hospitals, in some areas, drowning.</p>&mdash; Michael Mina (@michaelmina_lab) <a href=""https://twitter.com/michaelmina_lab/status/1256109229536153601?ref_src=twsrc%5Etfw"">May 1, 2020</a></blockquote> ",publish,Featured,Featured,Here’s What the World’s Leading Health Experts Think Our Pandemic Summer Will Look Like,"With no end in sight yet of the global pandemic, the summer of 2020 is going to be unprecedented. Check out what health experts expect in the coming months.

The summer of 2020 is bringing in a new normal, with masks, quarantine, social distancing, and temperature checks. We don’t know how long we have to live with novel coronavirus. Dr. Anthony Fauci, the Director of the National Institute of Allergy and Infectious Diseases and the voice of this situation, since its inception, has stated that it’s “<a href=""https://www.bbc.com/news/world-us-canada-52629681"">entirely conceivable and possible</a>” for the virus to rebound in autumn. Here’s what other public health experts and scientists have to say about lifting lockdowns, consequences of COVID-19, and the pandemic summer we’re going through right now.",,,,,
10477,Aaron E. Carroll,"Aaron E. Carroll (@aaronecarroll), an HSR fellow at IU Medical School, is a pediatrician and author. He writes for the NYT and NYT Opinion and is also one of the editors in chief of the health services research blog <i>The Incidental Economist</i>. <blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">I hate being in lockdown. I think that the economic costs of lockdowns are terrible. I want to get out of lockdown.<br><br>That&#039;s why I&#039;m consistently advocating for way more testing and the infrastructure to prevent us from needing another future lockdown.</p>&mdash; Aaron E. Carroll (@aaronecarroll) <a href=""https://twitter.com/aaronecarroll/status/1261002849317781505?ref_src=twsrc%5Etfw"">May 14, 2020</a></blockquote> ",publish,Featured,Featured,Here’s What the World’s Leading Health Experts Think Our Pandemic Summer Will Look Like,"With no end in sight yet of the global pandemic, the summer of 2020 is going to be unprecedented. Check out what health experts expect in the coming months.

The summer of 2020 is bringing in a new normal, with masks, quarantine, social distancing, and temperature checks. We don’t know how long we have to live with novel coronavirus. Dr. Anthony Fauci, the Director of the National Institute of Allergy and Infectious Diseases and the voice of this situation, since its inception, has stated that it’s “<a href=""https://www.bbc.com/news/world-us-canada-52629681"">entirely conceivable and possible</a>” for the virus to rebound in autumn. Here’s what other public health experts and scientists have to say about lifting lockdowns, consequences of COVID-19, and the pandemic summer we’re going through right now.",,,,,
10479,Andy Slavitt,"The ex-head of Obama Care (The Patient Protection and Affordable Care Act), Andy Slavitt (@ASlavitt), is not only the founder of the United States of Care and Town Hall Ventures but also hosts the podcast <i>In the Bubble</i>. <blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">May is like a massive trial on what things work and what doesn’t. We will be surprised to the good end to the bad. And hopefully we are smart enough to learn our lessons. 29/</p>&mdash; Andy Slavitt @ ???? (@ASlavitt) <a href=""https://twitter.com/ASlavitt/status/1261501573328502785?ref_src=twsrc%5Etfw"">May 16, 2020</a></blockquote> ",publish,Featured,Featured,Here’s What the World’s Leading Health Experts Think Our Pandemic Summer Will Look Like,"With no end in sight yet of the global pandemic, the summer of 2020 is going to be unprecedented. Check out what health experts expect in the coming months.

The summer of 2020 is bringing in a new normal, with masks, quarantine, social distancing, and temperature checks. We don’t know how long we have to live with novel coronavirus. Dr. Anthony Fauci, the Director of the National Institute of Allergy and Infectious Diseases and the voice of this situation, since its inception, has stated that it’s “<a href=""https://www.bbc.com/news/world-us-canada-52629681"">entirely conceivable and possible</a>” for the virus to rebound in autumn. Here’s what other public health experts and scientists have to say about lifting lockdowns, consequences of COVID-19, and the pandemic summer we’re going through right now.",,,,,
10481,Scott Gottlieb,"A resident fellow at The American Enterprise Institute, Scott Gottlieb (@ScottGottliebMD), was the 23rd Commissioner of the US FDA. He's a member of the Board of Directors of healthcare tech and pharma companies, including Pfizer, Aetion, Tempus, and Illumina. <blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">THREAD: Nationwide we&#039;re continuing to see hospitalizations and deaths fall, both total national data and states outside of hard hit New York tristate region. There are however some states that are experiencing increase cases, hospitalizations, deaths that bear close watching 1/x <a href=""https://t.co/kveKbHGgG7"">pic.twitter.com/kveKbHGgG7</a></p>&mdash; Scott Gottlieb, MD (@ScottGottliebMD) <a href=""https://twitter.com/ScottGottliebMD/status/1262005220139294724?ref_src=twsrc%5Etfw"">May 17, 2020</a></blockquote> ",publish,Featured,Featured,Here’s What the World’s Leading Health Experts Think Our Pandemic Summer Will Look Like,"With no end in sight yet of the global pandemic, the summer of 2020 is going to be unprecedented. Check out what health experts expect in the coming months.

The summer of 2020 is bringing in a new normal, with masks, quarantine, social distancing, and temperature checks. We don’t know how long we have to live with novel coronavirus. Dr. Anthony Fauci, the Director of the National Institute of Allergy and Infectious Diseases and the voice of this situation, since its inception, has stated that it’s “<a href=""https://www.bbc.com/news/world-us-canada-52629681"">entirely conceivable and possible</a>” for the virus to rebound in autumn. Here’s what other public health experts and scientists have to say about lifting lockdowns, consequences of COVID-19, and the pandemic summer we’re going through right now.",,,,,
10483,Trevor Bedford,"A member of the Vaccine and Infectious Diseases Division and the Computational Biology Program of the Fred Hutchinson Cancer Research Center, scientist Trevor Bedford (@trvrb), has expertise in viruses, immunity, and evolution. Additionally, he is an Affiliate Associate Professor of Genome Sciences and Epidemiology at the University of Washington. <blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">I know all the discussion is about a possible &quot;2nd wave&quot;, but I&#039;ve found this odd given that we haven&#039;t finished the first one. I would think quite possible that, nationally, we&#039;re in for a scenario of a long plateau. 1/10</p>&mdash; Trevor Bedford (@trvrb) <a href=""https://twitter.com/trvrb/status/1255976675252158465?ref_src=twsrc%5Etfw"">April 30, 2020</a></blockquote> ",publish,Featured,Featured,Here’s What the World’s Leading Health Experts Think Our Pandemic Summer Will Look Like,"With no end in sight yet of the global pandemic, the summer of 2020 is going to be unprecedented. Check out what health experts expect in the coming months.

The summer of 2020 is bringing in a new normal, with masks, quarantine, social distancing, and temperature checks. We don’t know how long we have to live with novel coronavirus. Dr. Anthony Fauci, the Director of the National Institute of Allergy and Infectious Diseases and the voice of this situation, since its inception, has stated that it’s “<a href=""https://www.bbc.com/news/world-us-canada-52629681"">entirely conceivable and possible</a>” for the virus to rebound in autumn. Here’s what other public health experts and scientists have to say about lifting lockdowns, consequences of COVID-19, and the pandemic summer we’re going through right now.",,,,,
10485,Tom Inglesby,"Director of the Johns Hopkins Center for Health Security, Tom Inglesby (@T_Inglesby), is one of the renowned names in public health preparedness, pandemics, infectious diseases, and biosecurity. He is a Professor in the Department of Environmental Health and Engineering at the Johns Hopkins Bloomberg School of Public Health.  <blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Comments on recent <a href=""https://twitter.com/hashtag/COVID19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID19</a> US developments, some positive, some not: US still in plateau w/ daily 25-30,000 cases and average of ~2000 daily deaths for ~5 wks. For perspective, the average number of US deaths on a given day is ~ 7,700. <a href=""https://t.co/ZC5zMjpddF"">https://t.co/ZC5zMjpddF</a> 1/x</p>&mdash; Tom Inglesby (@T_Inglesby) <a href=""https://twitter.com/T_Inglesby/status/1259530379821821955?ref_src=twsrc%5Etfw"">May 10, 2020</a></blockquote> ",publish,Featured,Featured,Here’s What the World’s Leading Health Experts Think Our Pandemic Summer Will Look Like,"With no end in sight yet of the global pandemic, the summer of 2020 is going to be unprecedented. Check out what health experts expect in the coming months.

The summer of 2020 is bringing in a new normal, with masks, quarantine, social distancing, and temperature checks. We don’t know how long we have to live with novel coronavirus. Dr. Anthony Fauci, the Director of the National Institute of Allergy and Infectious Diseases and the voice of this situation, since its inception, has stated that it’s “<a href=""https://www.bbc.com/news/world-us-canada-52629681"">entirely conceivable and possible</a>” for the virus to rebound in autumn. Here’s what other public health experts and scientists have to say about lifting lockdowns, consequences of COVID-19, and the pandemic summer we’re going through right now.",,,,,
10487,Dr. Tara C. Smith,"An infectious-disease epidemiologist and a writer, Dr. Tara C. Smith (@aetiology), leads research in the Smith Emerging Infections Laboratory at Kent State University. You can know more about her research and work at taracsmith.com. <blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">I&#039;m worried about a spike. Not a 2nd wave as we&#039;re not done with the 1st, but an increase around the state. Maybe our hospitals can handle it. Perhaps we&#039;ve increased capacity &amp; slowed spread to where we&#039;ll be OK. But that&#039;s still a lot of deaths &amp; the wrong message to send. /fin</p>&mdash; Dr. Tara C. Smith (@aetiology) <a href=""https://twitter.com/aetiology/status/1257362467790954497?ref_src=twsrc%5Etfw"">May 4, 2020</a></blockquote> ",publish,Featured,Featured,Here’s What the World’s Leading Health Experts Think Our Pandemic Summer Will Look Like,"With no end in sight yet of the global pandemic, the summer of 2020 is going to be unprecedented. Check out what health experts expect in the coming months.

The summer of 2020 is bringing in a new normal, with masks, quarantine, social distancing, and temperature checks. We don’t know how long we have to live with novel coronavirus. Dr. Anthony Fauci, the Director of the National Institute of Allergy and Infectious Diseases and the voice of this situation, since its inception, has stated that it’s “<a href=""https://www.bbc.com/news/world-us-canada-52629681"">entirely conceivable and possible</a>” for the virus to rebound in autumn. Here’s what other public health experts and scientists have to say about lifting lockdowns, consequences of COVID-19, and the pandemic summer we’re going through right now.",,,,,
10489,Florian Krammer,"A Professor at the Department of Microbiology at the Icahn School of Medicine at Mount Sinai, Florian Krammer (@florian_krammer), is an expert in applied virology and biotechnology. In fact, he started The Krammer Laboratory at Icahn. <blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">The situation is definitely getting better in New York. But there are some countries that don&#039;t seem to do so well. Russia, Mexico, Brazil, Saudi Arabia, Peru etc. are all on their way up. And then there are many countries that don&#039;t really test. I am very worried about this.</p>&mdash; Florian Krammer (@florian_krammer) <a href=""https://twitter.com/florian_krammer/status/1256579186489282560?ref_src=twsrc%5Etfw"">May 2, 2020</a></blockquote> ",publish,Featured,Featured,Here’s What the World’s Leading Health Experts Think Our Pandemic Summer Will Look Like,"With no end in sight yet of the global pandemic, the summer of 2020 is going to be unprecedented. Check out what health experts expect in the coming months.

The summer of 2020 is bringing in a new normal, with masks, quarantine, social distancing, and temperature checks. We don’t know how long we have to live with novel coronavirus. Dr. Anthony Fauci, the Director of the National Institute of Allergy and Infectious Diseases and the voice of this situation, since its inception, has stated that it’s “<a href=""https://www.bbc.com/news/world-us-canada-52629681"">entirely conceivable and possible</a>” for the virus to rebound in autumn. Here’s what other public health experts and scientists have to say about lifting lockdowns, consequences of COVID-19, and the pandemic summer we’re going through right now.",,,,,
10491,Abraar Karan,"A doctor at the Brigham and Women's Hospital and Harvard Medical School, Abraar Karan (@AbraarKaran), is a leading expert figure in epidemic response and emerging infectious diseases. He is now working at the Massachusetts Department of Public Health on state-level COVID19 response. <blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">As a country, we have a long way to go before point 2 is perfect. But it needs to be good enough before we talk seriously about re-opening. <br><br>This is the simple answer to those confused about why a slow in new cases is not enough of a reason to re-open.</p>&mdash; Abraar Karan (@AbraarKaran) <a href=""https://twitter.com/AbraarKaran/status/1261328090346721280?ref_src=twsrc%5Etfw"">May 15, 2020</a></blockquote> ",publish,Featured,Featured,Here’s What the World’s Leading Health Experts Think Our Pandemic Summer Will Look Like,"With no end in sight yet of the global pandemic, the summer of 2020 is going to be unprecedented. Check out what health experts expect in the coming months.

The summer of 2020 is bringing in a new normal, with masks, quarantine, social distancing, and temperature checks. We don’t know how long we have to live with novel coronavirus. Dr. Anthony Fauci, the Director of the National Institute of Allergy and Infectious Diseases and the voice of this situation, since its inception, has stated that it’s “<a href=""https://www.bbc.com/news/world-us-canada-52629681"">entirely conceivable and possible</a>” for the virus to rebound in autumn. Here’s what other public health experts and scientists have to say about lifting lockdowns, consequences of COVID-19, and the pandemic summer we’re going through right now.",,,,,
