post_title,post_content,post_status,tags,category,sub_category,sub_category_description
Let’s wait right here,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Catch me sitting by the mailbox till August 4th <a href=""https://twitter.com/hashtag/MidnightSun?src=hash&amp;ref_src=twsrc%5Etfw"">#MidnightSun</a> <a href=""https://t.co/I1NuOKubr4"">pic.twitter.com/I1NuOKubr4</a></p>&mdash; 🌫 (@dianaxesther) <a href=""https://twitter.com/dianaxesther/status/1259628077207785472?ref_src=twsrc%5Etfw"">May 10, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> Truth be told, this is uncannily similar to how Edward Cullen spent his time hanging out in Bella’s room while she slept. It seems like that's exactly how we're going to spend our time: waiting by the mailbox for the book to arrive. ",Draft,Entertainment,Entertainment,"It’s Twilight Time, Again, and the Internet Can't Keep Calm","Fast forward 12 years and the <i>Twilight</i> fans have something to look forward to in these unusual times. Sneak a peek at the fans’ reactions to #MidnightSun.

You might find a great chunk of people that have their calendars booked for the 4th of August. If you are wondering what we are talking about, you probably have been spending your quarantine in a cave—a bat cave—perhaps. To bring you up to speed, Stephanie Meyer has decided to reward her fans with <i>Midnight Sun</i>, a companion novel retelling <i>Twilight</i> from Edward’s POV. Her announcement has caused quite a stir in the <i>Twilight</i> fandom, and since then, Twitteratis haven’t been able to contain their excitement and, um, disappointment.
"
To read or not to read?,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Do I need to reread twilight? Because honestly that&#39;s all I&#39;ve been thinking about since the announcement of <a href=""https://twitter.com/hashtag/midnightsun?src=hash&amp;ref_src=twsrc%5Etfw"">#midnightsun</a> 🤷 (whispers : what&#39;s wrong with meeeeeee) <a href=""https://t.co/6erXIBQAtG"">pic.twitter.com/6erXIBQAtG</a>< Brushing up on the basics seems like a good idea, actually. It gives us all enough time to come up with a what-to-expect list by the time August rolls around. And tbh, we just need another reason to read <i>Twilight</i> again … and again./p>&mdash; Charlee Wilson (@Charlee_w90) <a href=""https://twitter.com/Charlee_w90/status/1261958635690897409?ref_src=twsrc%5Etfw"">May 17, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",Draft,Entertainment,Entertainment,"It’s Twilight Time, Again, and the Internet Can't Keep Calm","Fast forward 12 years and the <i>Twilight</i> fans have something to look forward to in these unusual times. Sneak a peek at the fans’ reactions to #MidnightSun.

You might find a great chunk of people that have their calendars booked for the 4th of August. If you are wondering what we are talking about, you probably have been spending your quarantine in a cave—a bat cave—perhaps. To bring you up to speed, Stephanie Meyer has decided to reward her fans with <i>Midnight Sun</i>, a companion novel retelling <i>Twilight</i> from Edward’s POV. Her announcement has caused quite a stir in the <i>Twilight</i> fandom, and since then, Twitteratis haven’t been able to contain their excitement and, um, disappointment.
"
20 something and still stoked about Twilight,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">I may be in my mid 20s but I’m still excited about <a href=""https://twitter.com/hashtag/midnightsun?src=hash&amp;ref_src=twsrc%5Etfw"">#midnightsun</a> Os that wrong?</p>&mdash; Jacquelyn E (@jac_ofnotrades) <a href=""https://twitter.com/jac_ofnotrades/status/1261876543887941632?ref_src=twsrc%5Etfw"">May 17, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> “Age is just a number.” This is the mantra we are gonna live by till we get our hands on Stephenie Meyer’s new baby. Judge all you want, haters; we're going to read this book because it doesn't matter that we're 20 or 50.",Draft,Entertainment,Entertainment,"It’s Twilight Time, Again, and the Internet Can't Keep Calm","Fast forward 12 years and the <i>Twilight</i> fans have something to look forward to in these unusual times. Sneak a peek at the fans’ reactions to #MidnightSun.

You might find a great chunk of people that have their calendars booked for the 4th of August. If you are wondering what we are talking about, you probably have been spending your quarantine in a cave—a bat cave—perhaps. To bring you up to speed, Stephanie Meyer has decided to reward her fans with <i>Midnight Sun</i>, a companion novel retelling <i>Twilight</i> from Edward’s POV. Her announcement has caused quite a stir in the <i>Twilight</i> fandom, and since then, Twitteratis haven’t been able to contain their excitement and, um, disappointment.
"
Is this real?,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Still can&#39;t believe that in only a matter of months all of my 13 year old dreams will be coming true <a href=""https://twitter.com/hashtag/midnightsun?src=hash&amp;ref_src=twsrc%5Etfw"">#midnightsun</a></p>&mdash; All Booked Up (@AllBookedUpE) <a href=""https://twitter.com/AllBookedUpE/status/1262005804573626369?ref_src=twsrc%5Etfw"">May 17, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> To be fair, we still think this is all a big dream our over-bored, perpetually-stuck-in-the-house mind has conjured up. But believe it or not, it's true, and we're rooting for this vampire-human love story to evoke pleasant memories of our adolescence.
",Draft,Entertainment,Entertainment,"It’s Twilight Time, Again, and the Internet Can't Keep Calm","Fast forward 12 years and the <i>Twilight</i> fans have something to look forward to in these unusual times. Sneak a peek at the fans’ reactions to #MidnightSun.

You might find a great chunk of people that have their calendars booked for the 4th of August. If you are wondering what we are talking about, you probably have been spending your quarantine in a cave—a bat cave—perhaps. To bring you up to speed, Stephanie Meyer has decided to reward her fans with <i>Midnight Sun</i>, a companion novel retelling <i>Twilight</i> from Edward’s POV. Her announcement has caused quite a stir in the <i>Twilight</i> fandom, and since then, Twitteratis haven’t been able to contain their excitement and, um, disappointment.
"
"Too old to Twilight?
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">&quot;I couldn’t help but wonder (how very Carrie Bradshaw of me), do we really need another Twilight book in the year of our Lord, 2020?&quot; <a href=""https://twitter.com/hashtag/MidnightSun?src=hash&amp;ref_src=twsrc%5Etfw"">#MidnightSun</a> <a href=""https://t.co/Oi3u1btuky"">https://t.co/Oi3u1btuky</a></p>&mdash; Missy.ie (@Missydotie) <a href=""https://twitter.com/Missydotie/status/1259835126848147457?ref_src=twsrc%5Etfw"">May 11, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>Honestly, we don’t think we need the book, per se; however, who are we to refuse if we have the universe siding up in the favor of the release? Maybe, we should just accept what we are being offered.
",Draft,Entertainment,Entertainment,"It’s Twilight Time, Again, and the Internet Can't Keep Calm","Fast forward 12 years and the <i>Twilight</i> fans have something to look forward to in these unusual times. Sneak a peek at the fans’ reactions to #MidnightSun.

You might find a great chunk of people that have their calendars booked for the 4th of August. If you are wondering what we are talking about, you probably have been spending your quarantine in a cave—a bat cave—perhaps. To bring you up to speed, Stephanie Meyer has decided to reward her fans with <i>Midnight Sun</i>, a companion novel retelling <i>Twilight</i> from Edward’s POV. Her announcement has caused quite a stir in the <i>Twilight</i> fandom, and since then, Twitteratis haven’t been able to contain their excitement and, um, disappointment.
"
Hibernating with Midnight Sun,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Y’all can kiss me goodbye for at least three days when <a href=""https://twitter.com/hashtag/midnightsun?src=hash&amp;ref_src=twsrc%5Etfw"">#midnightsun</a> comes out because I’m going to lock myself up and read it at least twice. <br>My preteen twilight heart is SO happy.</p>&mdash; ren✨ (@_rpviii) <a href=""https://twitter.com/_rpviii/status/1259843179051921420?ref_src=twsrc%5Etfw"">May 11, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> Now that we know we're all going to disappear off the face of the earth for a couple of days, let’s all plan a book club meet after! We're sure it'll be a good stroll down memory lane with all of us behaving like teens.
",Draft,Entertainment,Entertainment,"It’s Twilight Time, Again, and the Internet Can't Keep Calm","Fast forward 12 years and the <i>Twilight</i> fans have something to look forward to in these unusual times. Sneak a peek at the fans’ reactions to #MidnightSun.

You might find a great chunk of people that have their calendars booked for the 4th of August. If you are wondering what we are talking about, you probably have been spending your quarantine in a cave—a bat cave—perhaps. To bring you up to speed, Stephanie Meyer has decided to reward her fans with <i>Midnight Sun</i>, a companion novel retelling <i>Twilight</i> from Edward’s POV. Her announcement has caused quite a stir in the <i>Twilight</i> fandom, and since then, Twitteratis haven’t been able to contain their excitement and, um, disappointment.
"
In a nutshell,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">what <a href=""https://twitter.com/hashtag/MidnightSun?src=hash&amp;ref_src=twsrc%5Etfw"">#MidnightSun</a> caused <a href=""https://t.co/MZ4xgalJzJ"">pic.twitter.com/MZ4xgalJzJ</a></p>&mdash; 𝔸𝕁//𝕡𝕖𝕣𝕔𝕪⚡𝕛𝕒𝕔𝕜𝕤𝕠𝕟 𝕠𝕟 𝕕𝕚𝕤𝕟𝕖𝕪+ (@thebookhowl) <a href=""https://twitter.com/thebookhowl/status/1260037240274763776?ref_src=twsrc%5Etfw"">May 12, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> These Twitter users have beautifully summed up their decade of being a <i>Twilight</i>-er (if that’s what the stans are calling themselves). Case in point: A picture does speak louder than words.
",Draft,Entertainment,Entertainment,"It’s Twilight Time, Again, and the Internet Can't Keep Calm","Fast forward 12 years and the <i>Twilight</i> fans have something to look forward to in these unusual times. Sneak a peek at the fans’ reactions to #MidnightSun.

You might find a great chunk of people that have their calendars booked for the 4th of August. If you are wondering what we are talking about, you probably have been spending your quarantine in a cave—a bat cave—perhaps. To bring you up to speed, Stephanie Meyer has decided to reward her fans with <i>Midnight Sun</i>, a companion novel retelling <i>Twilight</i> from Edward’s POV. Her announcement has caused quite a stir in the <i>Twilight</i> fandom, and since then, Twitteratis haven’t been able to contain their excitement and, um, disappointment.
"
*Delirious screaming*,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr""><a href=""https://twitter.com/hashtag/MidnightSun?src=hash&amp;ref_src=twsrc%5Etfw"">#MidnightSun</a> is FINALLY coming out ahhhhhhhh,, thank you Stephanieeee <a href=""https://t.co/Soic0oYam8"">pic.twitter.com/Soic0oYam8</a></p>&mdash; kamia🦋🤍 (@pimpcesskamia) <a href=""https://twitter.com/pimpcesskamia/status/1261136637943263232?ref_src=twsrc%5Etfw"">May 15, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> Some of us are over the moon—actually the midnight sun—and just can’t stop screaming at the top of our lungs. Now that it’s Edward’s turn to tell the tale, we can’t wait to see what he has in store for us.",Draft,Entertainment,Entertainment,"It’s Twilight Time, Again, and the Internet Can't Keep Calm","Fast forward 12 years and the <i>Twilight</i> fans have something to look forward to in these unusual times. Sneak a peek at the fans’ reactions to #MidnightSun.

You might find a great chunk of people that have their calendars booked for the 4th of August. If you are wondering what we are talking about, you probably have been spending your quarantine in a cave—a bat cave—perhaps. To bring you up to speed, Stephanie Meyer has decided to reward her fans with <i>Midnight Sun</i>, a companion novel retelling <i>Twilight</i> from Edward’s POV. Her announcement has caused quite a stir in the <i>Twilight</i> fandom, and since then, Twitteratis haven’t been able to contain their excitement and, um, disappointment.
"
"No one wins
","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">This is kinda how I imagined it when I heard the news. Congrats <a href=""https://twitter.com/hashtag/camphalfblood?src=hash&amp;ref_src=twsrc%5Etfw"">#camphalfblood</a> 🎉<a href=""https://twitter.com/hashtag/twilight?src=hash&amp;ref_src=twsrc%5Etfw"">#twilight</a> <a href=""https://twitter.com/hashtag/midnightsun?src=hash&amp;ref_src=twsrc%5Etfw"">#midnightsun</a> <a href=""https://twitter.com/hashtag/harrypotter?src=hash&amp;ref_src=twsrc%5Etfw"">#harrypotter</a> <a href=""https://twitter.com/hashtag/potterhead?src=hash&amp;ref_src=twsrc%5Etfw"">#potterhead</a> <a href=""https://twitter.com/hashtag/PercyJackson?src=hash&amp;ref_src=twsrc%5Etfw"">#PercyJackson</a> <a href=""https://twitter.com/hashtag/pjo?src=hash&amp;ref_src=twsrc%5Etfw"">#pjo</a> <a href=""https://twitter.com/hashtag/PercyJacksonDisneyPlus?src=hash&amp;ref_src=twsrc%5Etfw"">#PercyJacksonDisneyPlus</a> <a href=""https://t.co/RO7ndW2dpL"">pic.twitter.com/RO7ndW2dpL</a></p>&mdash; thebellecurveqt (@thebellecurveqt) <a href=""https://twitter.com/thebellecurveqt/status/1261707763534741511?ref_src=twsrc%5Etfw"">May 16, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> This clip had us on the floor, dying of laughter. There seems to be an internal tug of war between the <i>Harry Potter</i>, <i>Twilight</i>, and <i>Percy Jackson</i> fans in us. It looks like the fixation with these three series is never going to end. 
",Draft,Entertainment,Entertainment,"It’s Twilight Time, Again, and the Internet Can't Keep Calm","Fast forward 12 years and the <i>Twilight</i> fans have something to look forward to in these unusual times. Sneak a peek at the fans’ reactions to #MidnightSun.

You might find a great chunk of people that have their calendars booked for the 4th of August. If you are wondering what we are talking about, you probably have been spending your quarantine in a cave—a bat cave—perhaps. To bring you up to speed, Stephanie Meyer has decided to reward her fans with <i>Midnight Sun</i>, a companion novel retelling <i>Twilight</i> from Edward’s POV. Her announcement has caused quite a stir in the <i>Twilight</i> fandom, and since then, Twitteratis haven’t been able to contain their excitement and, um, disappointment.
"
Truth bomb?,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">The saddest thing in <a href=""https://twitter.com/hashtag/Twilight?src=hash&amp;ref_src=twsrc%5Etfw"">#Twilight</a> has to be how Bella was so desperate to be w Edward bc he couldnt live without her and she never known how that felt &amp; bc of the Cullens. She wanted a big loving family who she could always count on. Thats why she wanted to get married &amp; have a baby</p>&mdash; Szpurka 🍙🌙 (@szpurkawrites) <a href=""https://twitter.com/szpurkawrites/status/1261630938896834563?ref_src=twsrc%5Etfw"">May 16, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> Wow, our excitement lasted for all of two days. Thanks, kill-joy. We now feel like Instagram’s heart reaction to DMs, fluttering one second and dead still the next. This thread has given us a new line of thought about this saga. 
",Draft,Entertainment,Entertainment,"It’s Twilight Time, Again, and the Internet Can't Keep Calm","Fast forward 12 years and the <i>Twilight</i> fans have something to look forward to in these unusual times. Sneak a peek at the fans’ reactions to #MidnightSun.

You might find a great chunk of people that have their calendars booked for the 4th of August. If you are wondering what we are talking about, you probably have been spending your quarantine in a cave—a bat cave—perhaps. To bring you up to speed, Stephanie Meyer has decided to reward her fans with <i>Midnight Sun</i>, a companion novel retelling <i>Twilight</i> from Edward’s POV. Her announcement has caused quite a stir in the <i>Twilight</i> fandom, and since then, Twitteratis haven’t been able to contain their excitement and, um, disappointment.
"
