post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
5813,Practice mindfulness,"Mindfulness is important to ensure that you all stay in a positive frame of mind. Practicing mindfulness with your children will help you all stay calm during these trying times and will ensure that you lead healthy lives. It will help you stay positive through the tough times and will also keep the atmosphere at home joyous, calm, and motivated.",publish,Parenting,Featured,"Keep Your Kids Occupied With These Awesome, Engaging Activities","With the spread of the coronavirus becoming a global health concern, millions are stuck inside their homes. The unprecedented lockdown might be adding to your worries over your kid’s learning coming to a screeching halt.
With the schools shut, kids now have more time to kill, but without any play dates. You might have a lot of work, but will that be happening if the kids are bored? Your work schedules might not match their hunger cries, and they might barge into the room while you're on a conference call. To keep the awkward moments at bay, you need to ensure that your kids are engaged and entertained. Here are some activities to keep your kids occupied at home. Not to mention, they might even bring out the child in you!
",Shutterstock,,Shutterstock,,
6120,Pick a schedule,"Kids’ lives revolve around their school timings and the amount of playtime they get to squeeze in later. Now that there’s no school to start the day early, don’t go down a rabbit hole. Plan a schedule with your kids that will enable them to work on their strengths and weaknesses. Include time for a variety of activities like learning, playing, creative tasks, cooking, and even some let’s-do-nothing breaks.",publish,Parenting,Featured,"Keep Your Kids Occupied With These Awesome, Engaging Activities","With the spread of the coronavirus becoming a global health concern, millions are stuck inside their homes. The unprecedented lockdown might be adding to your worries over your kid’s learning coming to a screeching halt.
With the schools shut, kids now have more time to kill, but without any play dates. You might have a lot of work, but will that be happening if the kids are bored? Your work schedules might not match their hunger cries, and they might barge into the room while you're on a conference call. To keep the awkward moments at bay, you need to ensure that your kids are engaged and entertained. Here are some activities to keep your kids occupied at home. Not to mention, they might even bring out the child in you!
",Shutterstock,,Shutterstock,,
6122,Household chores,"Kids are eager to learn with you if you let them. Assign them tasks that help make your work easier and make them feel proud of themselves. This will occupy your kids for a while, let them learn simple chores, and also make them responsible. Start small with things like letting them make their own cereal bowl or their own bed, sort out laundry, or even organize their wardrobe.",publish,Parenting,Featured,"Keep Your Kids Occupied With These Awesome, Engaging Activities","With the spread of the coronavirus becoming a global health concern, millions are stuck inside their homes. The unprecedented lockdown might be adding to your worries over your kid’s learning coming to a screeching halt.
With the schools shut, kids now have more time to kill, but without any play dates. You might have a lot of work, but will that be happening if the kids are bored? Your work schedules might not match their hunger cries, and they might barge into the room while you're on a conference call. To keep the awkward moments at bay, you need to ensure that your kids are engaged and entertained. Here are some activities to keep your kids occupied at home. Not to mention, they might even bring out the child in you!
",Shutterstock,,Shutterstock,,
6124,Workout together,"You might hate the idea of running or jumping, but your kid will love it, even if it’s without good reason. Kids are happy when they get to bounce and prance around, so use this energy and design a kid-friendly workout routine for them. Join them for simple stretches or breathing exercises, teach them swimming (if you have a pool), or just ask them to jump on a trampoline.",publish,Parenting,Featured,"Keep Your Kids Occupied With These Awesome, Engaging Activities","With the spread of the coronavirus becoming a global health concern, millions are stuck inside their homes. The unprecedented lockdown might be adding to your worries over your kid’s learning coming to a screeching halt.
With the schools shut, kids now have more time to kill, but without any play dates. You might have a lot of work, but will that be happening if the kids are bored? Your work schedules might not match their hunger cries, and they might barge into the room while you're on a conference call. To keep the awkward moments at bay, you need to ensure that your kids are engaged and entertained. Here are some activities to keep your kids occupied at home. Not to mention, they might even bring out the child in you!
",Shutterstock,,Shutterstock,,
6126,Spend quality time as a family,"Some days, by the time you get home after work, all you want is a giant drink and your comfy mattress. Now that you’re home, you can put all the saved commute time to good use. Set aside family time in your daily schedule, and do not miss out on it. Catch up with your relatives and ensure that your kids get to know their extended family as well.",publish,Parenting,Featured,"Keep Your Kids Occupied With These Awesome, Engaging Activities","With the spread of the coronavirus becoming a global health concern, millions are stuck inside their homes. The unprecedented lockdown might be adding to your worries over your kid’s learning coming to a screeching halt.
With the schools shut, kids now have more time to kill, but without any play dates. You might have a lot of work, but will that be happening if the kids are bored? Your work schedules might not match their hunger cries, and they might barge into the room while you're on a conference call. To keep the awkward moments at bay, you need to ensure that your kids are engaged and entertained. Here are some activities to keep your kids occupied at home. Not to mention, they might even bring out the child in you!
",Shutterstock,,Shutterstock,,
6128,Read abook,"Children don’t always need to have their noses stuck in history and math workbooks, and this is a great opportunity to get them hooked to reading outside their syllabus. Pick a book suitable for their age and watch them devour one book after another. To make things interesting, you can check out Storytime From Space, where astronauts read stories while afloat in space!",publish,Parenting,Featured,"Keep Your Kids Occupied With These Awesome, Engaging Activities","With the spread of the coronavirus becoming a global health concern, millions are stuck inside their homes. The unprecedented lockdown might be adding to your worries over your kid’s learning coming to a screeching halt.
With the schools shut, kids now have more time to kill, but without any play dates. You might have a lot of work, but will that be happening if the kids are bored? Your work schedules might not match their hunger cries, and they might barge into the room while you're on a conference call. To keep the awkward moments at bay, you need to ensure that your kids are engaged and entertained. Here are some activities to keep your kids occupied at home. Not to mention, they might even bring out the child in you!
",Shutterstock,,Shutterstock,,
6130,Get Creative,"Plan a fun slot in your schedule and pick out fun, creative activities that can keep your kids engaged and away from boredom. You can share your hobbies with each other, experiment with cool internet tricks, try your hand at painting, or one up your art with foam painting. You can even design a scavenger hunt for the weekends and race through the house to win.",publish,Parenting,Featured,"Keep Your Kids Occupied With These Awesome, Engaging Activities","With the spread of the coronavirus becoming a global health concern, millions are stuck inside their homes. The unprecedented lockdown might be adding to your worries over your kid’s learning coming to a screeching halt.
With the schools shut, kids now have more time to kill, but without any play dates. You might have a lot of work, but will that be happening if the kids are bored? Your work schedules might not match their hunger cries, and they might barge into the room while you're on a conference call. To keep the awkward moments at bay, you need to ensure that your kids are engaged and entertained. Here are some activities to keep your kids occupied at home. Not to mention, they might even bring out the child in you!
",Shutterstock,,Shutterstock,,
6132,Visit a Museum Virtually,"Being locked up in the house can be uneventful, and it probably also put your plans of visiting a museum on the weekend to rest. Well, that’s where technology comes in! You can visit several museums in the country without leaving your house. Thanks to webcams, you can now take a virtual tour of the Louvre museum, the Boston Children’s Museum, or many others on your to-visit list.",publish,Parenting,Featured,"Keep Your Kids Occupied With These Awesome, Engaging Activities","With the spread of the coronavirus becoming a global health concern, millions are stuck inside their homes. The unprecedented lockdown might be adding to your worries over your kid’s learning coming to a screeching halt.
With the schools shut, kids now have more time to kill, but without any play dates. You might have a lot of work, but will that be happening if the kids are bored? Your work schedules might not match their hunger cries, and they might barge into the room while you're on a conference call. To keep the awkward moments at bay, you need to ensure that your kids are engaged and entertained. Here are some activities to keep your kids occupied at home. Not to mention, they might even bring out the child in you!
",Shutterstock,,Shutterstock,,
6134,Get Cleaning,"Now that we’re home, it’s a good enough opportunity to catch up on all the cleaning that we cannot seem to find time or energy for. While you clean out all the vents and sinks, get your kids to help with dusting and cleaning the furniture. Gear up as a team and clean, declutter, and sanitize the house. And while you are at it, don’t forget to clean the equipment.",publish,Parenting,Featured,"Keep Your Kids Occupied With These Awesome, Engaging Activities","With the spread of the coronavirus becoming a global health concern, millions are stuck inside their homes. The unprecedented lockdown might be adding to your worries over your kid’s learning coming to a screeching halt.
With the schools shut, kids now have more time to kill, but without any play dates. You might have a lot of work, but will that be happening if the kids are bored? Your work schedules might not match their hunger cries, and they might barge into the room while you're on a conference call. To keep the awkward moments at bay, you need to ensure that your kids are engaged and entertained. Here are some activities to keep your kids occupied at home. Not to mention, they might even bring out the child in you!
",Shutterstock,,Shutterstock,,
6136,Enjoy gardening,"Gardening can be fun, especially if you involve the kids. Teach them the basics of gardening and ask them to help you with watering the plants, picking out weeds, or even selecting the seeds to sow. It’s a great way to spend time with your kids while they learn something new. It will help you destress, and you’ll have a beautiful garden by the end of the lockdown period.",publish,Parenting,Featured,"Keep Your Kids Occupied With These Awesome, Engaging Activities","With the spread of the coronavirus becoming a global health concern, millions are stuck inside their homes. The unprecedented lockdown might be adding to your worries over your kid’s learning coming to a screeching halt.
With the schools shut, kids now have more time to kill, but without any play dates. You might have a lot of work, but will that be happening if the kids are bored? Your work schedules might not match their hunger cries, and they might barge into the room while you're on a conference call. To keep the awkward moments at bay, you need to ensure that your kids are engaged and entertained. Here are some activities to keep your kids occupied at home. Not to mention, they might even bring out the child in you!
",Shutterstock,,Shutterstock,,
