post_title,post_content,post_status,tags,category,sub_category,sub_category_description
Catch up with Netflix,"While we’re holed up, it’s good to be productive and do some chores. But, it’s also okay to procrastinate, which means that you can Netflix and chill. Grady’s Lunarbaboon page started on Instagram and this half man/half moon monkey’s creations capture our sentiments perfectly.",Draft,World,Gallery,Memes and Cartoons that Pretty Much Sum Up the World Right Now,"Mark Twain had said, “Humor is the great thing, the saving thing after all. The minute it crops up, all our hardnesses yield, all our irritations and resentments slip away, and a sunny spirit takes their place.” In these difficult times, our survival kits could do some good with a dash of humor. For many of us, cartoons and memes provide us some respite as we practice social distancing and stay in. While some have a funny take on our quarantine lives, some are political enough to keep us aware of the situation and grounded at times like these. 

Here we have curated some memes and cartoons going around the Internet for you:"
When you need to do more than sanitize,"Brian Gordon’s single-parent fowl in Fowl Language Comics is learning how to cope with all the bad news around, including the shortage of sanitizers. Sanitizer inventory is now at an all-time low, with major stores limiting the number of bottles you can purchase!",Draft,World,Gallery,Memes and Cartoons that Pretty Much Sum Up the World Right Now,"Mark Twain had said, “Humor is the great thing, the saving thing after all. The minute it crops up, all our hardnesses yield, all our irritations and resentments slip away, and a sunny spirit takes their place.” In these difficult times, our survival kits could do some good with a dash of humor. For many of us, cartoons and memes provide us some respite as we practice social distancing and stay in. While some have a funny take on our quarantine lives, some are political enough to keep us aware of the situation and grounded at times like these. 

Here we have curated some memes and cartoons going around the Internet for you:"
The heart wants what it wants,"The nerdy brain and adorable heart in Nick Seluck’s Awkward Yeti truly know the thrills of staying in for a long time. What can be more adventurous than sitting in a different spot? Evidently, nothing. ",Draft,World,Gallery,Memes and Cartoons that Pretty Much Sum Up the World Right Now,"Mark Twain had said, “Humor is the great thing, the saving thing after all. The minute it crops up, all our hardnesses yield, all our irritations and resentments slip away, and a sunny spirit takes their place.” In these difficult times, our survival kits could do some good with a dash of humor. For many of us, cartoons and memes provide us some respite as we practice social distancing and stay in. While some have a funny take on our quarantine lives, some are political enough to keep us aware of the situation and grounded at times like these. 

Here we have curated some memes and cartoons going around the Internet for you:"
Snack time,"Staying in means never-ending snack time. Unfortunately, being quarantined means very few opportunities to go scavenging for never-ending snacks. But how do we explain that to our brain? Nick Seluk’s gluttonous tongue in Awkward Yeti tells us how! ",Draft,World,Gallery,Memes and Cartoons that Pretty Much Sum Up the World Right Now,"Mark Twain had said, “Humor is the great thing, the saving thing after all. The minute it crops up, all our hardnesses yield, all our irritations and resentments slip away, and a sunny spirit takes their place.” In these difficult times, our survival kits could do some good with a dash of humor. For many of us, cartoons and memes provide us some respite as we practice social distancing and stay in. While some have a funny take on our quarantine lives, some are political enough to keep us aware of the situation and grounded at times like these. 

Here we have curated some memes and cartoons going around the Internet for you:"
Right in the feels,"Featuring in New Yorker Cartoons, Liana Finck’s illustration in simplistic lines truly shows how many of us feel. Being quarantined is not easy. With everything around us now appearing bleak, the outside world feels like a dark void. ",Draft,World,Gallery,Memes and Cartoons that Pretty Much Sum Up the World Right Now,"Mark Twain had said, “Humor is the great thing, the saving thing after all. The minute it crops up, all our hardnesses yield, all our irritations and resentments slip away, and a sunny spirit takes their place.” In these difficult times, our survival kits could do some good with a dash of humor. For many of us, cartoons and memes provide us some respite as we practice social distancing and stay in. While some have a funny take on our quarantine lives, some are political enough to keep us aware of the situation and grounded at times like these. 

Here we have curated some memes and cartoons going around the Internet for you:"
Relationship goals,"Catana Chetwynd started her comic page Catana Comics to chronicle her relationship with her then-boyfriend (now fiance) John. The comics show the tiny moments of romance in a relationship. How can you make WFH home seem romantic? Well, apparently, this is how! ",Draft,World,Gallery,Memes and Cartoons that Pretty Much Sum Up the World Right Now,"Mark Twain had said, “Humor is the great thing, the saving thing after all. The minute it crops up, all our hardnesses yield, all our irritations and resentments slip away, and a sunny spirit takes their place.” In these difficult times, our survival kits could do some good with a dash of humor. For many of us, cartoons and memes provide us some respite as we practice social distancing and stay in. While some have a funny take on our quarantine lives, some are political enough to keep us aware of the situation and grounded at times like these. 

Here we have curated some memes and cartoons going around the Internet for you:"
Reality TV social distancing,"Cartoonist Joe Dator creates cartoons for The New Yorker, MAD Magazine, Then American Influencer, and more. This one, featured in The New Yorker, is a hilarious take on what a certain dance-based show would be like in these days of social distancing. ",Draft,World,Gallery,Memes and Cartoons that Pretty Much Sum Up the World Right Now,"Mark Twain had said, “Humor is the great thing, the saving thing after all. The minute it crops up, all our hardnesses yield, all our irritations and resentments slip away, and a sunny spirit takes their place.” In these difficult times, our survival kits could do some good with a dash of humor. For many of us, cartoons and memes provide us some respite as we practice social distancing and stay in. While some have a funny take on our quarantine lives, some are political enough to keep us aware of the situation and grounded at times like these. 

Here we have curated some memes and cartoons going around the Internet for you:"
Work from home fashion,The New Yorker cartoonist Amy Hwang shows us how to explore the multiple layers of comfort while working from home. This cartoon features in Usual Wines. You can find more of her work under her Instagram handle @cartoonamy.,Draft,World,Gallery,Memes and Cartoons that Pretty Much Sum Up the World Right Now,"Mark Twain had said, “Humor is the great thing, the saving thing after all. The minute it crops up, all our hardnesses yield, all our irritations and resentments slip away, and a sunny spirit takes their place.” In these difficult times, our survival kits could do some good with a dash of humor. For many of us, cartoons and memes provide us some respite as we practice social distancing and stay in. While some have a funny take on our quarantine lives, some are political enough to keep us aware of the situation and grounded at times like these. 

Here we have curated some memes and cartoons going around the Internet for you:"
Suit up for WFH,"DC-based artist Dana Jeri Maier creates cartoons for The New Yorker and The Worried Well on @gocomics. Here, she gives us some ideas to dress up for our quarantine-days WFH routine. Hopefully, suiting up will compel us to roll up our sleeves and get working.",Draft,World,Gallery,Memes and Cartoons that Pretty Much Sum Up the World Right Now,"Mark Twain had said, “Humor is the great thing, the saving thing after all. The minute it crops up, all our hardnesses yield, all our irritations and resentments slip away, and a sunny spirit takes their place.” In these difficult times, our survival kits could do some good with a dash of humor. For many of us, cartoons and memes provide us some respite as we practice social distancing and stay in. While some have a funny take on our quarantine lives, some are political enough to keep us aware of the situation and grounded at times like these. 

Here we have curated some memes and cartoons going around the Internet for you:"
Pajamas are forever,Many of us would agree that one of the best parts of being quarantined is that we get to stay in our pajamas all day long! Mumbai-based artist Sushmita Rao truly gets us. You can find more of her work on Instagram.,Draft,World,Gallery,Memes and Cartoons that Pretty Much Sum Up the World Right Now,"Mark Twain had said, “Humor is the great thing, the saving thing after all. The minute it crops up, all our hardnesses yield, all our irritations and resentments slip away, and a sunny spirit takes their place.” In these difficult times, our survival kits could do some good with a dash of humor. For many of us, cartoons and memes provide us some respite as we practice social distancing and stay in. While some have a funny take on our quarantine lives, some are political enough to keep us aware of the situation and grounded at times like these. 

Here we have curated some memes and cartoons going around the Internet for you:"
