post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
2227,Hat’s off!,"When Davy Jones’s ship is about to go under in <i>Pirates of the Caribbean</i>, you can see him hold on to his hat with his tentacles. Don’t blink as you might just miss this amazing attention to detail.",publish,Entertainment - TV & Film,Entertainment,Movie Details You Almost Definitely Totally Missed,"Some movies are worth watching only once, while there are others that you can't stop rewatching, sometimes just for scenes that make a lasting impression. Having said that, how often do you notice the intricate details and painstaking efforts taken by filmmakers to ensure continuity? We bring you thirty easter eggs and instances of attention-to-detail in movies that you might have missed.",Walt Disney Studios Motion Pictures,,Walt Disney Studios Motion Pictures,,
2289,Darker intros – Harry Potter,"From <i>The Sorcerer’s Stone</i> to the second part of <i>The Deathly Hallows– Part 2</i>, the intro animation of Warner Bros pictures, the movie title, and the background changed color to a darker shade. Now that’s called staying true to a plot that gets darker with each movie!",publish,Entertainment - TV & Film,Entertainment,Movie Details You Almost Definitely Totally Missed,"Some movies are worth watching only once, while there are others that you can't stop rewatching, sometimes just for scenes that make a lasting impression. Having said that, how often do you notice the intricate details and painstaking efforts taken by filmmakers to ensure continuity? We bring you thirty easter eggs and instances of attention-to-detail in movies that you might have missed.",Warner Bros. Pictures,,Warner Bros. Pictures,,
2291,The canyons are cars,You might have missed out on a little detail in Pixar’s <i>Cars</i>. The canyons in the background are part of the fictional town of Radiator Springs inspired by the iconic Route 66 and are also shaped like old cars and hood ornaments.,publish,Entertainment - TV & Film,Entertainment,Movie Details You Almost Definitely Totally Missed,"Some movies are worth watching only once, while there are others that you can't stop rewatching, sometimes just for scenes that make a lasting impression. Having said that, how often do you notice the intricate details and painstaking efforts taken by filmmakers to ensure continuity? We bring you thirty easter eggs and instances of attention-to-detail in movies that you might have missed.",Walt Disney Studios Motion Pictures,,Walt Disney Studios Motion Pictures,,
2293,Pulp Fiction predicts Kill Bill,Remember the conversation Uma Thurman has with John Travolta in a restaurant where her lines reference specific characters of <i>Kill Bill</i>? That’s how Quentin Tarantino masterfully included references to the characters of <i>Kill Bill</i> in <i>Pulp Fiction</i>.,publish,Entertainment - TV & Film,Entertainment,Movie Details You Almost Definitely Totally Missed,"Some movies are worth watching only once, while there are others that you can't stop rewatching, sometimes just for scenes that make a lasting impression. Having said that, how often do you notice the intricate details and painstaking efforts taken by filmmakers to ensure continuity? We bring you thirty easter eggs and instances of attention-to-detail in movies that you might have missed.",Miramax,,Miramax,,
2295,The Lord Al-Mighty himself,"A very subtle and easy-to-miss detail concerning Morgan Freeman in <i>Evan Almighty</i>, his name tag spells “Al Mighty” when he poses as a waiter to tend to Evan’s family. Now that’s what you call paying close attention to detail.",publish,Entertainment - TV & Film,Entertainment,Movie Details You Almost Definitely Totally Missed,"Some movies are worth watching only once, while there are others that you can't stop rewatching, sometimes just for scenes that make a lasting impression. Having said that, how often do you notice the intricate details and painstaking efforts taken by filmmakers to ensure continuity? We bring you thirty easter eggs and instances of attention-to-detail in movies that you might have missed.",Universal Pictures,,Universal Pictures,,
2297,The time when Titanic sank,"The mighty Titanic sank at 2.20 am, which is also the time on the wall clock when Jack (Leonardo DiCaprio) greets Rose (Kate Winslet) at the stairs the last time. The clock is shown at crucial points throughout the movie.",publish,Entertainment - TV & Film,Entertainment,Movie Details You Almost Definitely Totally Missed,"Some movies are worth watching only once, while there are others that you can't stop rewatching, sometimes just for scenes that make a lasting impression. Having said that, how often do you notice the intricate details and painstaking efforts taken by filmmakers to ensure continuity? We bring you thirty easter eggs and instances of attention-to-detail in movies that you might have missed.",Paramount Pictures,,Paramount Pictures,,
2299,The garbage man from Toy Story,"We all hated Sid from <i>Toy Story</i> as only he maimed toys throughout the movie. Interestingly, in the third sequel of the franchise, Sid made a cameo appearance as a trash collector in the same skull T-shirt he wore as a kid.",publish,Entertainment - TV & Film,Entertainment,Movie Details You Almost Definitely Totally Missed,"Some movies are worth watching only once, while there are others that you can't stop rewatching, sometimes just for scenes that make a lasting impression. Having said that, how often do you notice the intricate details and painstaking efforts taken by filmmakers to ensure continuity? We bring you thirty easter eggs and instances of attention-to-detail in movies that you might have missed.",Walt Disney Studios Motion Pictures,,Walt Disney Studios Motion Pictures,,
2301,Bruce Wayne’s car,"Bruce Wayne drives a Lamborghini Murciélago in <i>The Dark Knight</i>, but it isn’t a mere coincidence that Murciélago is actually Spanish for the word “Bat”.",publish,Entertainment - TV & Film,Entertainment,Movie Details You Almost Definitely Totally Missed,"Some movies are worth watching only once, while there are others that you can't stop rewatching, sometimes just for scenes that make a lasting impression. Having said that, how often do you notice the intricate details and painstaking efforts taken by filmmakers to ensure continuity? We bring you thirty easter eggs and instances of attention-to-detail in movies that you might have missed.",Warner Bros. Pictures,,Warner Bros. Pictures,,
2303,Longbottom’s cloak,"In <i>Harry Potter and the Sorcerer’s Stone</i>, Neville Longbottom can’t remember what he forgot after the Remembrall turns red. Yet, you can see that he is the only one without his cloak in the scene.",publish,Entertainment - TV & Film,Entertainment,Movie Details You Almost Definitely Totally Missed,"Some movies are worth watching only once, while there are others that you can't stop rewatching, sometimes just for scenes that make a lasting impression. Having said that, how often do you notice the intricate details and painstaking efforts taken by filmmakers to ensure continuity? We bring you thirty easter eggs and instances of attention-to-detail in movies that you might have missed.",Warner Bros. Pictures,,Warner Bros. Pictures,,
2305,Weasley’s robes,"We all know that the Weasleys could not afford to buy new clothes for all their younger children. Paying a little attention to Ron’s robes reveals that they are old and faded as they are hand-me-downs, belonging to one of his brothers.",publish,Entertainment - TV & Film,Entertainment,Movie Details You Almost Definitely Totally Missed,"Some movies are worth watching only once, while there are others that you can't stop rewatching, sometimes just for scenes that make a lasting impression. Having said that, how often do you notice the intricate details and painstaking efforts taken by filmmakers to ensure continuity? We bring you thirty easter eggs and instances of attention-to-detail in movies that you might have missed.",Warner Bros. Pictures,,Warner Bros. Pictures,,
2307,Auto takes over in Wall-E,"When the camera pans across the portraits of all the captains of the Axiom posing with the autopilot (Auto), you can see Auto getting closer in each portrait. This represents the AI’s gradual takeover of Axiom.",publish,Entertainment - TV & Film,Entertainment,Movie Details You Almost Definitely Totally Missed,"Some movies are worth watching only once, while there are others that you can't stop rewatching, sometimes just for scenes that make a lasting impression. Having said that, how often do you notice the intricate details and painstaking efforts taken by filmmakers to ensure continuity? We bring you thirty easter eggs and instances of attention-to-detail in movies that you might have missed.",Walt Disney Studios Motion Pictures,,Walt Disney Studios Motion Pictures,,
2309,Andy Dusfrene’s hammer,"All inmates get a new Bible when they first come to Shawshank. If you look closely, Andy Dusfrene hides the small rock hammer in the Book of Exodus, which tells the story of the escape of Jews from Egypt. This is discovered by the warden after Dusfrene escapes.",publish,Entertainment - TV & Film,Entertainment,Movie Details You Almost Definitely Totally Missed,"Some movies are worth watching only once, while there are others that you can't stop rewatching, sometimes just for scenes that make a lasting impression. Having said that, how often do you notice the intricate details and painstaking efforts taken by filmmakers to ensure continuity? We bring you thirty easter eggs and instances of attention-to-detail in movies that you might have missed.",Columbia Pictures,,Columbia Pictures,,
