post_title,post_content,post_status,tags,category,sub_category,sub_category_description
<i>Narcos and Narcos: Mexico</i>,"This show will keep you at the edge of your seat from the first to last episode. Showcasing the intensely violent era of Columbian narcotics trafficking in the 70s and 80s, <i>Narcos</i> narrates the criminal exploits of cartel leaders like Pablo Escobar and Pacho Herrera. What originally started as the story of Escobar has now evolved into the spinoff <i>Narcos: Mexico</i>, which released its second season in February this year.",Draft,Entertainment,Gallery,Social Distancing is Your Best Excuse to Binge-watch These Amazing Shows,"Since the best thing for everyone right now is to stay at home, this is the time to immerse yourself into the world of binging shows. Popular streaming sites like Netflix and Prime Video have a stocked up library waiting just for your click. Now, we know it’s not easy to filter out the right ones, so we’ve made your task a lot easier by giving you our recommendations. This must-watch list includes many famous ones and a few hidden gems. So, don’t miss out on these shows while quarantined. Happy binging!"
<i>Black Mirror</i>,"For the humans who love technology so much that they basically live it, it’s time you watched <i>Black Mirror</i>. This anthology series unveils the deceptively grim side of modern technologies and how it backfires on a personal and social level. What’s even great about this show is that each episode stars a completely new cast, so it almost feels like you’re binging on short movies.  ",Draft,Entertainment,Gallery,Social Distancing is Your Best Excuse to Binge-watch These Amazing Shows,"Since the best thing for everyone right now is to stay at home, this is the time to immerse yourself into the world of binging shows. Popular streaming sites like Netflix and Prime Video have a stocked up library waiting just for your click. Now, we know it’s not easy to filter out the right ones, so we’ve made your task a lot easier by giving you our recommendations. This must-watch list includes many famous ones and a few hidden gems. So, don’t miss out on these shows while quarantined. Happy binging!"
<i>Sherlock</i>,"BBC’s <i>Sherlock</i> is one of the top-rated TV shows of all time. It made Benedict Cumberbatch a superstar and redefined the story of our classic detective duo. The modernized take combined with excellent cinematography and magnetic duo performances from Martin Freeman and Cumberbatch revive Arthur Conan Doyle’s detective stories with such finesse. It’s a relatively short show with only 13 episodes, but with a run time of almost 90 minutes per episode. ",Draft,Entertainment,Gallery,Social Distancing is Your Best Excuse to Binge-watch These Amazing Shows,"Since the best thing for everyone right now is to stay at home, this is the time to immerse yourself into the world of binging shows. Popular streaming sites like Netflix and Prime Video have a stocked up library waiting just for your click. Now, we know it’s not easy to filter out the right ones, so we’ve made your task a lot easier by giving you our recommendations. This must-watch list includes many famous ones and a few hidden gems. So, don’t miss out on these shows while quarantined. Happy binging!"
<i>Good Omens</i>,"This six-part mini-series is an adaptation of Neil Gaiman and Terry Pratchett’s 1990 fantasy novel. Micheal Sheen plays the angel Aziraphale and David Tennant plays the demon Crowley, whose comfortable lives on Earth are endangered by the imminent Apocalypse. The series is also filled with quirky humor that filters both human history and biblical mythology through its unique lens.",Draft,Entertainment,Gallery,Social Distancing is Your Best Excuse to Binge-watch These Amazing Shows,"Since the best thing for everyone right now is to stay at home, this is the time to immerse yourself into the world of binging shows. Popular streaming sites like Netflix and Prime Video have a stocked up library waiting just for your click. Now, we know it’s not easy to filter out the right ones, so we’ve made your task a lot easier by giving you our recommendations. This must-watch list includes many famous ones and a few hidden gems. So, don’t miss out on these shows while quarantined. Happy binging!"
<i>The Office (US and UK)</i>,"This is a binge-watcher’s delight, and both the American and British versions of <i>The Office</i> are on Netflix. The US adaptation follows the mockumentary style of the original UK version that gave Ricky Gervais his break. The dry comedy takes a look into the everyday humor and touching foolishness of the Dunder Mifflin Paper Company’s Scranton branch. We recommend the US version if you’re planning to watch it with your family, the UK version may not be for the kids.",Draft,Entertainment,Gallery,Social Distancing is Your Best Excuse to Binge-watch These Amazing Shows,"Since the best thing for everyone right now is to stay at home, this is the time to immerse yourself into the world of binging shows. Popular streaming sites like Netflix and Prime Video have a stocked up library waiting just for your click. Now, we know it’s not easy to filter out the right ones, so we’ve made your task a lot easier by giving you our recommendations. This must-watch list includes many famous ones and a few hidden gems. So, don’t miss out on these shows while quarantined. Happy binging!"
<i>Stranger Things</i>,"Speaking of kids, <i>Stranger Things</i> is the best show you can watch while you’re confined with your family. But don’t mistake it for a light, kids-only series. Its amazing retro production and unusually gripping story make you want more. The show also features a bunch of promising young actors. Inspired particularly by the pop culture of the 80s, the show is also a nostalgic nod to that era for all adult viewers.",Draft,Entertainment,Gallery,Social Distancing is Your Best Excuse to Binge-watch These Amazing Shows,"Since the best thing for everyone right now is to stay at home, this is the time to immerse yourself into the world of binging shows. Popular streaming sites like Netflix and Prime Video have a stocked up library waiting just for your click. Now, we know it’s not easy to filter out the right ones, so we’ve made your task a lot easier by giving you our recommendations. This must-watch list includes many famous ones and a few hidden gems. So, don’t miss out on these shows while quarantined. Happy binging!"
<i>BoJack Horseman</i>,"No animated series will make you contemplate life as deeply as <i>BoJack Horseman</i>. Once a popular star of the 90s hit TV sitcom, a lot has changed for the troubled BoJack. The story picks up 20 years him losing all that fame and dealing with a myriad of vices. Give this dark comedy a shot and witness BoJack’s struggle with coming to terms with bleak reality.",Draft,Entertainment,Gallery,Social Distancing is Your Best Excuse to Binge-watch These Amazing Shows,"Since the best thing for everyone right now is to stay at home, this is the time to immerse yourself into the world of binging shows. Popular streaming sites like Netflix and Prime Video have a stocked up library waiting just for your click. Now, we know it’s not easy to filter out the right ones, so we’ve made your task a lot easier by giving you our recommendations. This must-watch list includes many famous ones and a few hidden gems. So, don’t miss out on these shows while quarantined. Happy binging!"
<i>The End of the F***ing World</i>,"The show is an adaptation of Charles Forsman’s comic-book series and tells the story of James, a 17-year-old, self-proclaimed psycho, and Alyssa, the new popular girl in school with a special talent for annoyance with her cold attitude. With less than 25 minutes per episode and just two seasons, it’ll take you just a day to can finish this ominous comedy from start to end. ",Draft,Entertainment,Gallery,Social Distancing is Your Best Excuse to Binge-watch These Amazing Shows,"Since the best thing for everyone right now is to stay at home, this is the time to immerse yourself into the world of binging shows. Popular streaming sites like Netflix and Prime Video have a stocked up library waiting just for your click. Now, we know it’s not easy to filter out the right ones, so we’ve made your task a lot easier by giving you our recommendations. This must-watch list includes many famous ones and a few hidden gems. So, don’t miss out on these shows while quarantined. Happy binging!"
<i>Rick and Morty</i>,"<i>Rick and Morty</i> is one of those special shows that will glue you to your seat, couch, bed, even the floor! It’s hilarious to the point of breathlessness and equally twisted and complex to cause a fever dream. Get ready for multilayered comedy and multidimensional madness with this loose adaptation of the partnership between Doc and Marty from the Back to the Future series.",Draft,Entertainment,Gallery,Social Distancing is Your Best Excuse to Binge-watch These Amazing Shows,"Since the best thing for everyone right now is to stay at home, this is the time to immerse yourself into the world of binging shows. Popular streaming sites like Netflix and Prime Video have a stocked up library waiting just for your click. Now, we know it’s not easy to filter out the right ones, so we’ve made your task a lot easier by giving you our recommendations. This must-watch list includes many famous ones and a few hidden gems. So, don’t miss out on these shows while quarantined. Happy binging!"
<i>Fargo</i>,"Based on Coen Brothers’ 1996 Oscar-winning movie, <i>Fargo</i> is FX’s anthology crime series with the same setting and overall aesthetics. Quirky characters played by Billy Bob Thornton and Martin Freeman along with a fresh storyline and shocking plot twists make this dark dramedy a treat to watch. Also, you may have a hard time wrapping your head around the fact that the show is based on real-life events in Minnesota.",Draft,Entertainment,Gallery,Social Distancing is Your Best Excuse to Binge-watch These Amazing Shows,"Since the best thing for everyone right now is to stay at home, this is the time to immerse yourself into the world of binging shows. Popular streaming sites like Netflix and Prime Video have a stocked up library waiting just for your click. Now, we know it’s not easy to filter out the right ones, so we’ve made your task a lot easier by giving you our recommendations. This must-watch list includes many famous ones and a few hidden gems. So, don’t miss out on these shows while quarantined. Happy binging!"
