post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
2468,"Breathe (2 AM) - Anna Nalick (S2, Ep17)","While Bailey goes into labor, Derek tries to save Bailey’s husband’s life after he suffers a brain injury in an accident. Meredith, on the other hand, finds herself looking after a patient who has a bomb ticking inside of him. The tension in the room is palpable and so thick that you can feel it. The song ""Breathe"" brings out the turbulence of these scenes perfectly.",publish,Entertainment - TV & Film,Entertainment,Songs From Grey's Anatomy That Are A Mood By Themselves,"If you are aware of Grey’s Anatomy, you probably know all about the Mc Business that goes down in the lives of these stunning, confident, and sassy doctors. What makes this series an ultimate binge-watch is also its fab soundtrack. Let’s be honest, you can probably identify the episodes and scenes by the songs that were being played in the background. So, put your headphones on, and brace yourself for the emotional roller coaster ride.",Disney–ABC Domestic Television,,Disney–ABC Domestic Television,,
2470,"Grace - Kate Havnevik (S2, Ep27)","The prom in the hospital sets steam rising between our favorite attending and intern duo, Derek and Meredith. While this sappy score is playing in the background, the two sneak into an exam room, leaving their respective dates on the dance floor. Shonda, what does this mean?",publish,Entertainment - TV & Film,Entertainment,Songs From Grey's Anatomy That Are A Mood By Themselves,"If you are aware of Grey’s Anatomy, you probably know all about the Mc Business that goes down in the lives of these stunning, confident, and sassy doctors. What makes this series an ultimate binge-watch is also its fab soundtrack. Let’s be honest, you can probably identify the episodes and scenes by the songs that were being played in the background. So, put your headphones on, and brace yourself for the emotional roller coaster ride.",Disney–ABC Domestic Television,,Disney–ABC Domestic Television,,
2472,"Chasing Cars - Snow Patrol (S2 Ep27, S7 Ep18, S11 Ep21 and 22)",Picture Izzy clinging to a dead Denny. Picture Meredith letting Derek off of life support. The end of Grey’s two favorite couples is associated with this heart-wrenching track. All we know is that we don’t quite know how to say how we feel!,publish,Entertainment - TV & Film,Entertainment,Songs From Grey's Anatomy That Are A Mood By Themselves,"If you are aware of Grey’s Anatomy, you probably know all about the Mc Business that goes down in the lives of these stunning, confident, and sassy doctors. What makes this series an ultimate binge-watch is also its fab soundtrack. Let’s be honest, you can probably identify the episodes and scenes by the songs that were being played in the background. So, put your headphones on, and brace yourself for the emotional roller coaster ride.",Disney–ABC Domestic Television,,Disney–ABC Domestic Television,,
2474,"All I Need - Mat Kearney (S3, Ep1)","Heartbroken from Denny’s sudden death, Izzie is lying immobile on the bathroom floor in her ballgown that Denny never got to see. She finally gets up to sit Shiva and get out of the prom dress. Like Izzie says, we just wanna go back to when things were normal! This is what we need.",publish,Entertainment - TV & Film,Entertainment,Songs From Grey's Anatomy That Are A Mood By Themselves,"If you are aware of Grey’s Anatomy, you probably know all about the Mc Business that goes down in the lives of these stunning, confident, and sassy doctors. What makes this series an ultimate binge-watch is also its fab soundtrack. Let’s be honest, you can probably identify the episodes and scenes by the songs that were being played in the background. So, put your headphones on, and brace yourself for the emotional roller coaster ride.",Disney–ABC Domestic Television,,Disney–ABC Domestic Television,,
2476,"Falling Awake - Gary Jules (S3, Ep12)",The song Falling Awake by Gary Jules has so many layers to it. Maybe that's why it brings out the emotions that George O'Malley is experiencing. He finally realizes and accepts that his father is not getting any better and decides to take him off of life support. He struggles to come to terms with his loss as he does not know how to exist in a world where his dad doesn’t.,publish,Entertainment - TV & Film,Entertainment,Songs From Grey's Anatomy That Are A Mood By Themselves,"If you are aware of Grey’s Anatomy, you probably know all about the Mc Business that goes down in the lives of these stunning, confident, and sassy doctors. What makes this series an ultimate binge-watch is also its fab soundtrack. Let’s be honest, you can probably identify the episodes and scenes by the songs that were being played in the background. So, put your headphones on, and brace yourself for the emotional roller coaster ride.",Disney–ABC Domestic Television,,Disney–ABC Domestic Television,,
2478,"Make This Go On Forever - Snow Patrol (S3, Ep15)",Grey’s and Snow Patrol together can make your heart bleed. Except this one drowns us in our tears as it plays when Meredith falls into the water while she is treating the injuries of a patient from a ferry accident.,publish,Entertainment - TV & Film,Entertainment,Songs From Grey's Anatomy That Are A Mood By Themselves,"If you are aware of Grey’s Anatomy, you probably know all about the Mc Business that goes down in the lives of these stunning, confident, and sassy doctors. What makes this series an ultimate binge-watch is also its fab soundtrack. Let’s be honest, you can probably identify the episodes and scenes by the songs that were being played in the background. So, put your headphones on, and brace yourself for the emotional roller coaster ride.",Disney–ABC Domestic Television,,Disney–ABC Domestic Television,,
2480,"A Bitter Song - Butterfly Boucher (S3, Ep15)","Meredith's accident is followed by a gut-wrenching hour where all the doctors try to save her after she almost drowns. In this craziness, Derek wonders if the love of his life will make it out alive.",publish,Entertainment - TV & Film,Entertainment,Songs From Grey's Anatomy That Are A Mood By Themselves,"If you are aware of Grey’s Anatomy, you probably know all about the Mc Business that goes down in the lives of these stunning, confident, and sassy doctors. What makes this series an ultimate binge-watch is also its fab soundtrack. Let’s be honest, you can probably identify the episodes and scenes by the songs that were being played in the background. So, put your headphones on, and brace yourself for the emotional roller coaster ride.",Disney–ABC Domestic Television,,Disney–ABC Domestic Television,,
2482,"Swans - Unkle Bob (S3, Ep17)","This one has buckets of tears written all over it with Derek desperately trying to save Ellis while fearing the loss of his love. Ellis Grey might have been a nightmare of a mother for the most part of the show, but her death still hit home. Also, she did redeem herself in the afterlife! And to add to that, Richard doesn't make it any easy for us when he pours his heart out to Ellis after she dies.",publish,Entertainment - TV & Film,Entertainment,Songs From Grey's Anatomy That Are A Mood By Themselves,"If you are aware of Grey’s Anatomy, you probably know all about the Mc Business that goes down in the lives of these stunning, confident, and sassy doctors. What makes this series an ultimate binge-watch is also its fab soundtrack. Let’s be honest, you can probably identify the episodes and scenes by the songs that were being played in the background. So, put your headphones on, and brace yourself for the emotional roller coaster ride.",Disney–ABC Domestic Television,,Disney–ABC Domestic Television,,
2484,"Keep Breathing - Ingrid Michaelson (S3, Ep25)","A real tear-jerker, Cristina is left at the altar by Preston Burke. Standing in the living room having a meltdown, she has to be cut out of her wedding gown. Not to mention ""Mama took her eyebrows.""",publish,Entertainment - TV & Film,Entertainment,Songs From Grey's Anatomy That Are A Mood By Themselves,"If you are aware of Grey’s Anatomy, you probably know all about the Mc Business that goes down in the lives of these stunning, confident, and sassy doctors. What makes this series an ultimate binge-watch is also its fab soundtrack. Let’s be honest, you can probably identify the episodes and scenes by the songs that were being played in the background. So, put your headphones on, and brace yourself for the emotional roller coaster ride.",Disney–ABC Domestic Television,,Disney–ABC Domestic Television,,
2486,"Dream - Priscilla Ahn (S4, Ep 16)","Jeremy and Beth sneak around the hospital to spend time with each other before they go in for their possibly-fatal surgeries. This soulful melody plays when Jeremy and Beth, MerDer’s clinical trial patients, get ready for their surgeries.",publish,Entertainment - TV & Film,Entertainment,Songs From Grey's Anatomy That Are A Mood By Themselves,"If you are aware of Grey’s Anatomy, you probably know all about the Mc Business that goes down in the lives of these stunning, confident, and sassy doctors. What makes this series an ultimate binge-watch is also its fab soundtrack. Let’s be honest, you can probably identify the episodes and scenes by the songs that were being played in the background. So, put your headphones on, and brace yourself for the emotional roller coaster ride.",Disney–ABC Domestic Television,,Disney–ABC Domestic Television,,
