post_title,post_content,post_status,tags,category,sub_category,sub_category_description
It all began when Global Citizen announced the event on its website and across all social media platforms. Here’s a little video they shared on their Twitter handle:,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Join us on April 18 for One World: <a href=""https://twitter.com/hashtag/TogetherAtHome?src=hash&amp;ref_src=twsrc%5Etfw"">#TogetherAtHome</a>, an event calling on leaders, corporations, philanthropists, and artists to step up the global fight against COVID-19. Learn more and take action with us here: <a href=""https://t.co/QMSMOngS2h"">https://t.co/QMSMOngS2h</a> <a href=""https://t.co/12lgzOUPu1"">pic.twitter.com/12lgzOUPu1</a></p>&mdash; Global Citizen (@GlblCtzn) <a href=""https://twitter.com/GlblCtzn/status/1247555194306650120?ref_src=twsrc%5Etfw"">April 7, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> It’s so heartwarming to see the world come together for a cause! 
",Draft,Entertainment - TV & Film,Gallery,The line up for One World: Together At Home will definitely be keeping everyone at home,"A few weeks ago, Coldplay frontman Chris Martin played a 30-minute live social media concert with the goal to bring the world together, spread awareness, and raise funds. He then nominated others under the #TogetherAtHome challenge which led to legendary performances from other major artists. Now, Lady Gaga is taking it up a notch as she collaborates with the WHO to bring forward a well-curated panel of artists and healthcare experts under the umbrella of One World: Together At Home, a virtual concert aiming to raise funds for protective equipment for healthcare professionals working on the frontlines of this pandemic. "
"Lady Gaga, a stern advocate about social isolation and distancing, shared this heartfelt post on Twitter:","<blockquote class=""twitter-tweet""><p lang=""und"" dir=""ltr"">💪💘🌈 <a href=""https://t.co/4CiVyJMZZ9"">pic.twitter.com/4CiVyJMZZ9</a></p>&mdash; Lady Gaga (@ladygaga) <a href=""https://twitter.com/ladygaga/status/1238969456618954752?ref_src=twsrc%5Etfw"">March 14, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> The entire event came into existence when she got in touch with the WHO and Global Citizen.
",Draft,Entertainment - TV & Film,Gallery,The line up for One World: Together At Home will definitely be keeping everyone at home,"A few weeks ago, Coldplay frontman Chris Martin played a 30-minute live social media concert with the goal to bring the world together, spread awareness, and raise funds. He then nominated others under the #TogetherAtHome challenge which led to legendary performances from other major artists. Now, Lady Gaga is taking it up a notch as she collaborates with the WHO to bring forward a well-curated panel of artists and healthcare experts under the umbrella of One World: Together At Home, a virtual concert aiming to raise funds for protective equipment for healthcare professionals working on the frontlines of this pandemic. "
She literally pioneered the idea and even got our favorite hosts onboard:,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">This Saturday 4/18 join <a href=""https://twitter.com/jimmyfallon?ref_src=twsrc%5Etfw"">@JimmyFallon</a> <a href=""https://twitter.com/StephenAtHome?ref_src=twsrc%5Etfw"">@StephenAtHome</a> &amp; me for &quot;One World: Together at Home&quot; to support the frontline workers fighting COVID-19 at 8pm ET. <a href=""https://twitter.com/ABCNetwork?ref_src=twsrc%5Etfw"">@ABCNetwork</a> <a href=""https://twitter.com/nbc?ref_src=twsrc%5Etfw"">@NBC</a> <a href=""https://twitter.com/CBS?ref_src=twsrc%5Etfw"">@CBS</a> <a href=""https://twitter.com/GlblCtzn?ref_src=twsrc%5Etfw"">@GlblCtzn</a> <a href=""https://twitter.com/WHO?ref_src=twsrc%5Etfw"">@WHO</a> <a href=""https://twitter.com/ladygaga?ref_src=twsrc%5Etfw"">@LadyGaga</a> <a href=""https://twitter.com/hashtag/TogetherAtHome?src=hash&amp;ref_src=twsrc%5Etfw"">#TogetherAtHome</a> <a href=""https://t.co/17o5GfXFOq"">pic.twitter.com/17o5GfXFOq</a></p>&mdash; Jimmy Kimmel (@jimmykimmel) <a href=""https://twitter.com/jimmykimmel/status/1249866725522210818?ref_src=twsrc%5Etfw"">April 14, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> Stephen Colbert, Jimmy Fallon, and Jimmy Kimmel will be our hosts - so be prepared to be completely entertained! 

Now, while the line-up or timings for the event have not been shared, here’s who’s going to be a part of it! 
",Draft,Entertainment - TV & Film,Gallery,The line up for One World: Together At Home will definitely be keeping everyone at home,"A few weeks ago, Coldplay frontman Chris Martin played a 30-minute live social media concert with the goal to bring the world together, spread awareness, and raise funds. He then nominated others under the #TogetherAtHome challenge which led to legendary performances from other major artists. Now, Lady Gaga is taking it up a notch as she collaborates with the WHO to bring forward a well-curated panel of artists and healthcare experts under the umbrella of One World: Together At Home, a virtual concert aiming to raise funds for protective equipment for healthcare professionals working on the frontlines of this pandemic. "
Andrea Bocelli who recently performed an Easter special at the Duomo in Milan will also be a part of the event:,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/huTUOek4LgU"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe> Don’t forget to catch the video because music does give us hope! 
",Draft,Entertainment - TV & Film,Gallery,The line up for One World: Together At Home will definitely be keeping everyone at home,"A few weeks ago, Coldplay frontman Chris Martin played a 30-minute live social media concert with the goal to bring the world together, spread awareness, and raise funds. He then nominated others under the #TogetherAtHome challenge which led to legendary performances from other major artists. Now, Lady Gaga is taking it up a notch as she collaborates with the WHO to bring forward a well-curated panel of artists and healthcare experts under the umbrella of One World: Together At Home, a virtual concert aiming to raise funds for protective equipment for healthcare professionals working on the frontlines of this pandemic. "
Green Day frontman Billie Joe Armstrong will also be at the event:,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">.<a href=""https://twitter.com/GreenDay?ref_src=twsrc%5Etfw"">@GreenDay</a>’s <a href=""https://twitter.com/billiejoe?ref_src=twsrc%5Etfw"">@billiejoe</a> will be channeling the power of music and activism at One World: <a href=""https://twitter.com/hashtag/TogetherAtHome?src=hash&amp;ref_src=twsrc%5Etfw"">#TogetherAtHome</a> on April 18. Learn more and take action to support global response efforts to COVID-19: <a href=""https://t.co/VuUteOaTvK"">https://t.co/VuUteOaTvK</a> <a href=""https://t.co/1yGI9y1kU8"">pic.twitter.com/1yGI9y1kU8</a></p>&mdash; Global Citizen (@GlblCtzn) <a href=""https://twitter.com/GlblCtzn/status/1248748600986918914?ref_src=twsrc%5Etfw"">April 10, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> So, know that you’re not walking a lonely road! 
",Draft,Entertainment - TV & Film,Gallery,The line up for One World: Together At Home will definitely be keeping everyone at home,"A few weeks ago, Coldplay frontman Chris Martin played a 30-minute live social media concert with the goal to bring the world together, spread awareness, and raise funds. He then nominated others under the #TogetherAtHome challenge which led to legendary performances from other major artists. Now, Lady Gaga is taking it up a notch as she collaborates with the WHO to bring forward a well-curated panel of artists and healthcare experts under the umbrella of One World: Together At Home, a virtual concert aiming to raise funds for protective equipment for healthcare professionals working on the frontlines of this pandemic. "
Nigerian singer and songwriter Burna Boy will be there too. He recently went live with Diddy on Instagram:,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Burna Boy on Diddy&#39;s Live, explaining to him how the isolation has affected (or is affecting) us in Nigeria, and of course also danced 😅 <a href=""https://t.co/kNS0gAnQs1"">pic.twitter.com/kNS0gAnQs1</a></p>&mdash; IZY 💎|| Israel (@izybaby01) <a href=""https://twitter.com/izybaby01/status/1249442570989699072?ref_src=twsrc%5Etfw"">April 12, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> He made it a point to speak about how Nigerians have been facing serious troubles amid the pandemic.",Draft,Entertainment - TV & Film,Gallery,The line up for One World: Together At Home will definitely be keeping everyone at home,"A few weeks ago, Coldplay frontman Chris Martin played a 30-minute live social media concert with the goal to bring the world together, spread awareness, and raise funds. He then nominated others under the #TogetherAtHome challenge which led to legendary performances from other major artists. Now, Lady Gaga is taking it up a notch as she collaborates with the WHO to bring forward a well-curated panel of artists and healthcare experts under the umbrella of One World: Together At Home, a virtual concert aiming to raise funds for protective equipment for healthcare professionals working on the frontlines of this pandemic. "
Chris Martin has kept us entertained ever since the lockdown began and he continues to do so:,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Proud to celebrate and support healthcare workers around the world <a href=""https://t.co/7ilNPGElQZ"">https://t.co/7ilNPGElQZ</a>. <a href=""https://twitter.com/WHO?ref_src=twsrc%5Etfw"">@WHO</a> <a href=""https://twitter.com/GlblCtzn?ref_src=twsrc%5Etfw"">@GlblCtzn</a> <a href=""https://twitter.com/hashtag/TogetherAtHome?src=hash&amp;ref_src=twsrc%5Etfw"">#TogetherAtHome</a> <a href=""https://twitter.com/hashtag/COVID19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID19</a>. PH <a href=""https://t.co/ZbI0o5SpUw"">https://t.co/ZbI0o5SpUw</a></p>&mdash; Coldplay🌙☀️ (@coldplay) <a href=""https://twitter.com/coldplay/status/1247214534500253698?ref_src=twsrc%5Etfw"">April 6, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> Also, a free Coldplay concert for a cause? Count us in. 
",Draft,Entertainment - TV & Film,Gallery,The line up for One World: Together At Home will definitely be keeping everyone at home,"A few weeks ago, Coldplay frontman Chris Martin played a 30-minute live social media concert with the goal to bring the world together, spread awareness, and raise funds. He then nominated others under the #TogetherAtHome challenge which led to legendary performances from other major artists. Now, Lady Gaga is taking it up a notch as she collaborates with the WHO to bring forward a well-curated panel of artists and healthcare experts under the umbrella of One World: Together At Home, a virtual concert aiming to raise funds for protective equipment for healthcare professionals working on the frontlines of this pandemic. "
"FINNEAS or who we commonly know as Billie Eilish’s brother, has also been performing for campaigns where the proceeds go to a COVID-19 relief fund:","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Honored to be celebrating Bill Withers on Live From Out There tomorrow night! Head to <a href=""https://t.co/BZLP5jfI71"">https://t.co/BZLP5jfI71</a> to purchase a ticket to the digital show. Proceeds to benefit Sweet Relief COVID-19 Musicians Fund and musicians +crews! <a href=""https://t.co/yJbsLydyr4"">pic.twitter.com/yJbsLydyr4</a></p>&mdash; FINNEAS (@finneas) <a href=""https://twitter.com/finneas/status/1249126147440476160?ref_src=twsrc%5Etfw"">April 12, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> He’ll also be a part of the One World telecast! 
",Draft,Entertainment - TV & Film,Gallery,The line up for One World: Together At Home will definitely be keeping everyone at home,"A few weeks ago, Coldplay frontman Chris Martin played a 30-minute live social media concert with the goal to bring the world together, spread awareness, and raise funds. He then nominated others under the #TogetherAtHome challenge which led to legendary performances from other major artists. Now, Lady Gaga is taking it up a notch as she collaborates with the WHO to bring forward a well-curated panel of artists and healthcare experts under the umbrella of One World: Together At Home, a virtual concert aiming to raise funds for protective equipment for healthcare professionals working on the frontlines of this pandemic. "
Pearl Jam frontman Eddie Vedder is also going to be there:,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Eddie will be performing as part of the <a href=""https://twitter.com/GlblCtzn?ref_src=twsrc%5Etfw"">@GLBLCTZN</a> and <a href=""https://twitter.com/WHO?ref_src=twsrc%5Etfw"">@WHO</a> One World: <a href=""https://twitter.com/hashtag/TogetherAtHome?src=hash&amp;ref_src=twsrc%5Etfw"">#TogetherAtHome</a> global special to honor the healthcare workers in the fight against the COVID-19 pandemic. Tune in on April 18 at 5pm PT to watch the performance: <a href=""https://t.co/eXPqVNaJs9"">https://t.co/eXPqVNaJs9</a> <a href=""https://t.co/8WexlaHtkQ"">pic.twitter.com/8WexlaHtkQ</a></p>&mdash; Pearl Jam (@PearlJam) <a href=""https://twitter.com/PearlJam/status/1247193663949733888?ref_src=twsrc%5Etfw"">April 6, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> We sure hope he sings the classics, especially <i>Alive</i>! ",Draft,Entertainment - TV & Film,Gallery,The line up for One World: Together At Home will definitely be keeping everyone at home,"A few weeks ago, Coldplay frontman Chris Martin played a 30-minute live social media concert with the goal to bring the world together, spread awareness, and raise funds. He then nominated others under the #TogetherAtHome challenge which led to legendary performances from other major artists. Now, Lady Gaga is taking it up a notch as she collaborates with the WHO to bring forward a well-curated panel of artists and healthcare experts under the umbrella of One World: Together At Home, a virtual concert aiming to raise funds for protective equipment for healthcare professionals working on the frontlines of this pandemic. "
Rocketman Elton John is also a part of the global event:,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">One World: <a href=""https://twitter.com/hashtag/TogetherAtHome?src=hash&amp;ref_src=twsrc%5Etfw"">#TogetherAtHome</a> makes its global debut starting from April 18 at 8 p.m. ET. For more info, head to <a href=""https://t.co/RZw7HrhTqU"">https://t.co/RZw7HrhTqU</a> <a href=""https://t.co/wdopXZVL81"">https://t.co/wdopXZVL81</a></p>&mdash; Elton John (@eltonofficial) <a href=""https://twitter.com/eltonofficial/status/1247556913107271682?ref_src=twsrc%5Etfw"">April 7, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> <i>Sacrifice</i> would be the perfect harmony for all the people risking their lives out there.
",Draft,Entertainment - TV & Film,Gallery,The line up for One World: Together At Home will definitely be keeping everyone at home,"A few weeks ago, Coldplay frontman Chris Martin played a 30-minute live social media concert with the goal to bring the world together, spread awareness, and raise funds. He then nominated others under the #TogetherAtHome challenge which led to legendary performances from other major artists. Now, Lady Gaga is taking it up a notch as she collaborates with the WHO to bring forward a well-curated panel of artists and healthcare experts under the umbrella of One World: Together At Home, a virtual concert aiming to raise funds for protective equipment for healthcare professionals working on the frontlines of this pandemic. "
