post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
1642,A gate to misdemeanor (US),"Partying hard or a drunken wedding might not get you in trouble. However, if you don’t close a gate in Nevada, you could be guilty of a misdemeanor and you could end up paying a big fat penalty. So next time a Nevadan asks you to close the gate, don’t think twice!",publish,Weird,Gallery,Weird Laws That Will Leave You Scratching Your Head,"The world is a crazy place. So, we have laws to ensure that there is peace and stability. However, even laws can be excessive and sometimes, utterly absurd. Do you know that in the UK you could get into trouble for holding a salmon suspiciously? Or making sandcastles is a transgression in the Italian city of Eraclea? No, we are not making this up! Intrigued by these odd ordinances? Then check out these 30 weirdest laws around the world that will make you go “Whaaaatttttt?”",www.shutterstock.com,,www.shutterstock.com,,
1644,Chew a gum but only if you have a $1000 (Singapore),"The sovereign city-state outlawed gum in 1992 as former Prime Minister Lee Kuan Yew believed it would lead to tomfoolery. In an interview, when BBC’s Peter Day reluctantly suggested that “chewing gum stuck to the pavements might be a sign that the desired new spirit of creativity has arrived,” Yew retorted ""Putting chewing gum on our subway train doors so they don't open, I don't call that creativity. I call that mischief making."" If caught with gum, a $1,000 fine will be slapped. No, thanks. We’ll just pop a mint.",publish,Weird,Gallery,Weird Laws That Will Leave You Scratching Your Head,"The world is a crazy place. So, we have laws to ensure that there is peace and stability. However, even laws can be excessive and sometimes, utterly absurd. Do you know that in the UK you could get into trouble for holding a salmon suspiciously? Or making sandcastles is a transgression in the Italian city of Eraclea? No, we are not making this up! Intrigued by these odd ordinances? Then check out these 30 weirdest laws around the world that will make you go “Whaaaatttttt?”",www.shutterstock.com,,www.shutterstock.com,,
1646,Chuck camouflage in the Caribbean (Caribbean),"The Caribbean nations, including Antigua, Barbados, Grenada, Jamaica, St. Lucia, and St. Vincent, forbid tourists to sport camouflage clothing. Typically, it’s the color of their army’s uniform. While detention is not on the cards, you will have to bid adieu to your camo wardrobe and pay a fine. Besides, you don’t want to be stopped by immigration and spend money on new sarongs and shorts at the airport.",publish,Weird,Gallery,Weird Laws That Will Leave You Scratching Your Head,"The world is a crazy place. So, we have laws to ensure that there is peace and stability. However, even laws can be excessive and sometimes, utterly absurd. Do you know that in the UK you could get into trouble for holding a salmon suspiciously? Or making sandcastles is a transgression in the Italian city of Eraclea? No, we are not making this up! Intrigued by these odd ordinances? Then check out these 30 weirdest laws around the world that will make you go “Whaaaatttttt?”",www.shutterstock.com,,www.shutterstock.com,,
1648,Water guns are malicious (Cambodia),"It seems that the Cambodians can get unruly with water guns. So, Governor Chea Sophara prohibited the import and sale of all water guns in Phnom Penh. He argued that such toys could lead to disorderly conduct during the Khmer New Year. Talk about being a killjoy!",publish,Weird,Gallery,Weird Laws That Will Leave You Scratching Your Head,"The world is a crazy place. So, we have laws to ensure that there is peace and stability. However, even laws can be excessive and sometimes, utterly absurd. Do you know that in the UK you could get into trouble for holding a salmon suspiciously? Or making sandcastles is a transgression in the Italian city of Eraclea? No, we are not making this up! Intrigued by these odd ordinances? Then check out these 30 weirdest laws around the world that will make you go “Whaaaatttttt?”",www.shutterstock.com,,www.shutterstock.com,,
1650,No reincarnation without permission (China),The Chinese government takes totalitarianism to the next level by regulating a monk’s big plans for the next life. Buddhist monks have to seek “approval” from the Chinese government to reincarnate themselves. It seems like this law was more of an absurd political move to mock the Dalai Lama. We can expect the Chinese government to actively contribute to the process of selecting the next Dalai Lama. *Sigh*,publish,Weird,Gallery,Weird Laws That Will Leave You Scratching Your Head,"The world is a crazy place. So, we have laws to ensure that there is peace and stability. However, even laws can be excessive and sometimes, utterly absurd. Do you know that in the UK you could get into trouble for holding a salmon suspiciously? Or making sandcastles is a transgression in the Italian city of Eraclea? No, we are not making this up! Intrigued by these odd ordinances? Then check out these 30 weirdest laws around the world that will make you go “Whaaaatttttt?”",www.shutterstock.com,,www.shutterstock.com,,
1652,Don’t show up but still tie the knot (US),"If turning up at your wedding is not your priority, then you would love this Montana law of proxy weddings. For your big day, you can find someone to fill in as a proxy and you’d be legally married. In fact, the state allows double proxy weddings, which means your better half doesn’t need to be present either. At first, this rule was at everyone’s advantage; however, nearly 10 years ago, the law was amended. Now, at least one of two getting married must be a Montana local or out on active military service.",publish,Weird,Gallery,Weird Laws That Will Leave You Scratching Your Head,"The world is a crazy place. So, we have laws to ensure that there is peace and stability. However, even laws can be excessive and sometimes, utterly absurd. Do you know that in the UK you could get into trouble for holding a salmon suspiciously? Or making sandcastles is a transgression in the Italian city of Eraclea? No, we are not making this up! Intrigued by these odd ordinances? Then check out these 30 weirdest laws around the world that will make you go “Whaaaatttttt?”",www.shutterstock.com,,www.shutterstock.com,,
1654,Not a Sumo? Then lose those pounds (Japan),"In 2008, Japan undertook a rather peculiar way to manage obesity. Any person between the ages of 40 and 74 will be required to get their waist measured. The state-prescribed waistline for men is up to 33.5 inches and 35.5 inches for women. Anything over that won’t be accepted, and the citizen will be reported to the government.",publish,Weird,Gallery,Weird Laws That Will Leave You Scratching Your Head,"The world is a crazy place. So, we have laws to ensure that there is peace and stability. However, even laws can be excessive and sometimes, utterly absurd. Do you know that in the UK you could get into trouble for holding a salmon suspiciously? Or making sandcastles is a transgression in the Italian city of Eraclea? No, we are not making this up! Intrigued by these odd ordinances? Then check out these 30 weirdest laws around the world that will make you go “Whaaaatttttt?”",www.shutterstock.com,,www.shutterstock.com,,
1656,Don’t look fishy while holding a fish (UK),"You could get into trouble if you are holding a salmon suspiciously. Yes, you read that right. According to the Salmon Act of 1986, such sketchy behavior implies that the salmon could be illegally fished. The “proper handling” of the fish is aimed to mitigate any poaching activities. Wonder what’s the right way to hold a fatty fish…",publish,Weird,Gallery,Weird Laws That Will Leave You Scratching Your Head,"The world is a crazy place. So, we have laws to ensure that there is peace and stability. However, even laws can be excessive and sometimes, utterly absurd. Do you know that in the UK you could get into trouble for holding a salmon suspiciously? Or making sandcastles is a transgression in the Italian city of Eraclea? No, we are not making this up! Intrigued by these odd ordinances? Then check out these 30 weirdest laws around the world that will make you go “Whaaaatttttt?”",www.shutterstock.com,,www.shutterstock.com,,
1658,Au naturel in nature? Not the best idea! (Switzerland),"Back in 2011, a German man was fined 100 Swiss francs (almost $109) after he was spotted by a local family hiking naked in the Swiss Alps. While Switzerland doesn’t have a specific law banning nudity in the outdoors, it does have one pertaining to public indecency. Moreover, there are many Swiss cantons like Appenzell that have a more conservative culture, so it’s best not to enrage the locals.",publish,Weird,Gallery,Weird Laws That Will Leave You Scratching Your Head,"The world is a crazy place. So, we have laws to ensure that there is peace and stability. However, even laws can be excessive and sometimes, utterly absurd. Do you know that in the UK you could get into trouble for holding a salmon suspiciously? Or making sandcastles is a transgression in the Italian city of Eraclea? No, we are not making this up! Intrigued by these odd ordinances? Then check out these 30 weirdest laws around the world that will make you go “Whaaaatttttt?”",www.shutterstock.com,,www.shutterstock.com,,
1660,Winnie The Pooh is Big No-No for the Polish (Poland),"If you think hiking butt naked in the Swiss Alps was a big deal, then hold your breath for this. The Polish have banned the beloved children’s character Winnie The Pooh because he is viewed as a “hermaphrodite” bear who lacks “a complete wardrobe.” Their scathing criticism also involved an outrageous theory about author A. A. Milne. Like Winne said, “Some people care too much.”",publish,Weird,Gallery,Weird Laws That Will Leave You Scratching Your Head,"The world is a crazy place. So, we have laws to ensure that there is peace and stability. However, even laws can be excessive and sometimes, utterly absurd. Do you know that in the UK you could get into trouble for holding a salmon suspiciously? Or making sandcastles is a transgression in the Italian city of Eraclea? No, we are not making this up! Intrigued by these odd ordinances? Then check out these 30 weirdest laws around the world that will make you go “Whaaaatttttt?”",www.shutterstock.com,,www.shutterstock.com,,
