post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
1819,Geralt of Rivia,"Think Geralt of Rivia, an image of a ripped Henry Cavill with silver hair and deep golden eyes looking at you is what you can think of, then here’s something you ought to know. Sapkowski’s books, CD Projekt Red’s game, and Netflix’s version have different renditions of the badass monster hunter.

<b><br>Geralt from the books</b>
<br>Gear up for the disappointment that’s coming your way! In the books, Geralt envisioned by Sapkowski as nothing like the drool-worthy Netflix character or the formidable hero in the game. He’s described as skinny with pale white hair and skin. Geralt’s scars in the Netflix show give him a mysterious demeanor, but his heavily scarred appearance in the book is a tad bit unsettling. The only similarity shared between the two Geralts is that they don’t sport beards. The book’s Geralt carries two swords, one on his back and one on his hip, is emotionally vulnerable, fierce, has dark eyes, and an ugly smile. He wears a nondescript wolf medallion and is realistically powerful, unlike the video game hunk who’s superhuman strength is quite overwhelming.",publish,Entertainment - TV & Film,Entertainment,"Which Witcher Bewitches you? The Books, the Games, or the Show?","With every other show trying to be the next <i>Game of Thrones</i>, only a few could hold their own post the epic HBO series. And no surprises here, The Witcher seems to have filled up the gaping void felt by us after witnessing a disastrous end to GoT. Set in a fantasy world called <i> The Continent </i>, this land is rife with elves, witches, mages, witchers, and (you guessed it!) dragons. Season 1 of <i>The Witcher</i> managed to grab the intrigue of viewers into this world, and most of us are eagerly waiting to see the golden-eyed Geralt swishing his sword and killing monsters. And let’s not forget the iconic bathtub scene in which Geralt tends to his wounds, which managed to garner millions of hearts and twice the number of eyeballs! 
 It all started with the book series by Andrzej Sapkoswski, which later went on to become a massively successful gaming franchise by CD Projekt RED and a Netflix show. Netflix, being Netflix, altered the characters and the plot to make it their own, and we aren’t complaining. So, gear up for how surprisingly different the major characters are from their “real” selves as depicted in the book and the game",Orbit Books,,Orbit Books,,
1821,Geralt from the books,"Gear up for the disappointment that’s coming your way! In the books, Geralt envisioned by Sapkowski as nothing like the drool-worthy Netflix character or the formidable hero in the game. He’s described as skinny with pale white hair and skin. Geralt’s scars in the Netflix show give him a mysterious demeanor, but his heavily scarred appearance in the book is a tad bit unsettling. The only similarity shared between the two Geralts is that they don’t sport beards. The book’s Geralt carries two swords, one on his back and one on his hip, is emotionally vulnerable, fierce, has dark eyes, and an ugly smile. He wears a nondescript wolf medallion and is realistically powerful, unlike the video game hunk who’s superhuman strength is quite overwhelming.",draft,Entertainment - TV & Film,Gallery,"Which Witcher Bewitches you? The Books, the Games, or the Show?","With every other show trying to be the next <i>Game of Thrones</i>, only a few could hold their own post the epic HBO series. And no surprises here, The Witcher seems to have filled up the gaping void felt by us after witnessing a disastrous end to GoT. Set in a fantasy world called <i> The Continent </i>, this land is rife with elves, witches, mages, witchers, and (you guessed it!) dragons. Season 1 of <i>The Witcher</i> managed to grab the intrigue of viewers into this world, and most of us are eagerly waiting to see the golden-eyed Geralt swishing his sword and killing monsters. And let’s not forget the iconic bathtub scene in which Geralt tends to his wounds, which managed to garner millions of hearts and twice the number of eyeballs! 
 It all started with the book series by Andrzej Sapkoswski, which later went on to become a massively successful gaming franchise by CD Projekt RED and a Netflix show. Netflix, being Netflix, altered the characters and the plot to make it their own, and we aren’t complaining. So, gear up for how surprisingly different the major characters are from their “real” selves as depicted in the book and the game",,,,,
1823,Geralt from the games,"This Geralt might be closer to the heartthrob Netflix made Henry Cavill into (not that he wasn’t earlier!). You can say that Cavill’s character resembles the chiseled Geralt with a scar across his face that makes him formidable yet appealing. Unlike the one described in the books, this Geralt has a toned body and is handsome enough for you to wish him to be real. He has a deep, unsettling voice, a charming smile, and golden eyes. Although he’s stoic most of the time, he’s a bit of a Mr. Smartypants who carries two swords on his back.",publish,Entertainment - TV & Film,Entertainment,"Which Witcher Bewitches you? The Books, the Games, or the Show?","With every other show trying to be the next <i>Game of Thrones</i>, only a few could hold their own post the epic HBO series. And no surprises here, The Witcher seems to have filled up the gaping void felt by us after witnessing a disastrous end to GoT. Set in a fantasy world called <i> The Continent </i>, this land is rife with elves, witches, mages, witchers, and (you guessed it!) dragons. Season 1 of <i>The Witcher</i> managed to grab the intrigue of viewers into this world, and most of us are eagerly waiting to see the golden-eyed Geralt swishing his sword and killing monsters. And let’s not forget the iconic bathtub scene in which Geralt tends to his wounds, which managed to garner millions of hearts and twice the number of eyeballs! 
 It all started with the book series by Andrzej Sapkoswski, which later went on to become a massively successful gaming franchise by CD Projekt RED and a Netflix show. Netflix, being Netflix, altered the characters and the plot to make it their own, and we aren’t complaining. So, gear up for how surprisingly different the major characters are from their “real” selves as depicted in the book and the game",CD Projekt Red,,CD Projekt Red,,
1825,Geralt from the show,"Isn’t he the one you were waiting for? Well, with the superman-level buff and a chiseled face, this Geralt of Rivia is the perfect Witcher, hands down. Well, he’s handsome, his deep golden eyes harbor angst, tenderness, determination...the list is endless. His reverberating deep voice is one that you can’t stop yourself from listening to. He has one sword on his back and one on his beloved horse Roach. And although he’s not as strong as his counterpart in the game, he’s pretty fierce. Aren’t you glad that Netflix chose this version of Geralt and not the zombie-crossed-whimsical Witcher from the books?",publish,Entertainment - TV & Film,Entertainment,"Which Witcher Bewitches you? The Books, the Games, or the Show?","With every other show trying to be the next <i>Game of Thrones</i>, only a few could hold their own post the epic HBO series. And no surprises here, The Witcher seems to have filled up the gaping void felt by us after witnessing a disastrous end to GoT. Set in a fantasy world called <i> The Continent </i>, this land is rife with elves, witches, mages, witchers, and (you guessed it!) dragons. Season 1 of <i>The Witcher</i> managed to grab the intrigue of viewers into this world, and most of us are eagerly waiting to see the golden-eyed Geralt swishing his sword and killing monsters. And let’s not forget the iconic bathtub scene in which Geralt tends to his wounds, which managed to garner millions of hearts and twice the number of eyeballs! 
 It all started with the book series by Andrzej Sapkoswski, which later went on to become a massively successful gaming franchise by CD Projekt RED and a Netflix show. Netflix, being Netflix, altered the characters and the plot to make it their own, and we aren’t complaining. So, gear up for how surprisingly different the major characters are from their “real” selves as depicted in the book and the game",Netflix,,Netflix,,
1827,Yennefer of Vengerberg,"Yennefer is a powerful sorceress who you wouldn’t want to mess with at all. She’s fiery, beautiful, and vain but also quite a kind person.

<b><br>Yennefer from the books</b>
<br>Unlike Geralt in the book series, Yennefer of Vengerberg was already established as a beauty. Often described as one with raven-black hair that fell on her shoulders in curls, she also had piercing violet eyes, pale white skin, and sharp features. The foreboding beauty preferred black-and-white attire and wore a star obsidian necklace. The book often describes Yen as a witty, shrewd, proud, and short person. Although she looks beautiful, she has certain flaws that were visible to Geralt’s keen eyes, like slightly sloped shoulders, subtly irregular eyebrows, and a long nose. These imperfections allude to the character’s rough background (don’t look for spoilers here).",publish,Entertainment - TV & Film,Entertainment,"Which Witcher Bewitches you? The Books, the Games, or the Show?","With every other show trying to be the next <i>Game of Thrones</i>, only a few could hold their own post the epic HBO series. And no surprises here, The Witcher seems to have filled up the gaping void felt by us after witnessing a disastrous end to GoT. Set in a fantasy world called <i> The Continent </i>, this land is rife with elves, witches, mages, witchers, and (you guessed it!) dragons. Season 1 of <i>The Witcher</i> managed to grab the intrigue of viewers into this world, and most of us are eagerly waiting to see the golden-eyed Geralt swishing his sword and killing monsters. And let’s not forget the iconic bathtub scene in which Geralt tends to his wounds, which managed to garner millions of hearts and twice the number of eyeballs! 
 It all started with the book series by Andrzej Sapkoswski, which later went on to become a massively successful gaming franchise by CD Projekt RED and a Netflix show. Netflix, being Netflix, altered the characters and the plot to make it their own, and we aren’t complaining. So, gear up for how surprisingly different the major characters are from their “real” selves as depicted in the book and the game",Orbit Books,,Orbit Books,,
1829,Yennefer from the books,"Unlike Geralt in the book series, Yennefer of Vengerberg was already established as a beauty. Often described as one with raven-black hair that fell on her shoulders in curls, she also had piercing violet eyes, pale white skin, and sharp features. The foreboding beauty preferred black-and-white attire and wore a star obsidian necklace. The book often describes Yen as a witty, shrewd, proud, and short person. Although she looks beautiful, she has certain flaws that were visible to Geralt’s keen eyes, like slightly sloped shoulders, subtly irregular eyebrows, and a long nose. These imperfections allude to the character’s rough background (don’t look for spoilers here).",draft,Entertainment - TV & Film,Gallery,"Which Witcher Bewitches you? The Books, the Games, or the Show?","With every other show trying to be the next <i>Game of Thrones</i>, only a few could hold their own post the epic HBO series. And no surprises here, The Witcher seems to have filled up the gaping void felt by us after witnessing a disastrous end to GoT. Set in a fantasy world called <i> The Continent </i>, this land is rife with elves, witches, mages, witchers, and (you guessed it!) dragons. Season 1 of <i>The Witcher</i> managed to grab the intrigue of viewers into this world, and most of us are eagerly waiting to see the golden-eyed Geralt swishing his sword and killing monsters. And let’s not forget the iconic bathtub scene in which Geralt tends to his wounds, which managed to garner millions of hearts and twice the number of eyeballs! 
 It all started with the book series by Andrzej Sapkoswski, which later went on to become a massively successful gaming franchise by CD Projekt RED and a Netflix show. Netflix, being Netflix, altered the characters and the plot to make it their own, and we aren’t complaining. So, gear up for how surprisingly different the major characters are from their “real” selves as depicted in the book and the game",,,,,
1831,Yennefer from the games,"Yennefer appears in the game only in the third installment of the game—<i>Wild Hunt</i>. Her appearance is similar to that described in the books: beautiful and menacing. The game makers decided to keep her raven black hair and gorgeous violet eyes, but they opted for slightly stronger features. Though the book Yen was a flawed beauty, the game Yen was perfect. She’s tall, has a mild British accent, and is highly untrusting. Her contradictory nature always left people wondering what she was going to do next.",publish,Entertainment - TV & Film,Entertainment,"Which Witcher Bewitches you? The Books, the Games, or the Show?","With every other show trying to be the next <i>Game of Thrones</i>, only a few could hold their own post the epic HBO series. And no surprises here, The Witcher seems to have filled up the gaping void felt by us after witnessing a disastrous end to GoT. Set in a fantasy world called <i> The Continent </i>, this land is rife with elves, witches, mages, witchers, and (you guessed it!) dragons. Season 1 of <i>The Witcher</i> managed to grab the intrigue of viewers into this world, and most of us are eagerly waiting to see the golden-eyed Geralt swishing his sword and killing monsters. And let’s not forget the iconic bathtub scene in which Geralt tends to his wounds, which managed to garner millions of hearts and twice the number of eyeballs! 
 It all started with the book series by Andrzej Sapkoswski, which later went on to become a massively successful gaming franchise by CD Projekt RED and a Netflix show. Netflix, being Netflix, altered the characters and the plot to make it their own, and we aren’t complaining. So, gear up for how surprisingly different the major characters are from their “real” selves as depicted in the book and the game",CD Projekt Red,,CD Projekt Red,,
1833,Yennefer from the show,"Anya Chalotra as Yennefer in the Netflix series wasn’t exactly how the book or game character looked; nonetheless, she did a spectacular job as the once clueless but now insanely powerful sorceress. Although she has softer features and a warmer undertone to her skin than what Yennefer was described as in the books and game, Charlota did very well in bringing the sorceress’ complex nature to life. Although Yennefer’s origin story is covered in the show, her quest from being absolutely powerless to becoming one of the strongest witches barely scratches the surface. We’re excitedly waiting for season 2 to know more about Yen’s fate.",publish,Entertainment - TV & Film,Entertainment,"Which Witcher Bewitches you? The Books, the Games, or the Show?","With every other show trying to be the next <i>Game of Thrones</i>, only a few could hold their own post the epic HBO series. And no surprises here, The Witcher seems to have filled up the gaping void felt by us after witnessing a disastrous end to GoT. Set in a fantasy world called <i> The Continent </i>, this land is rife with elves, witches, mages, witchers, and (you guessed it!) dragons. Season 1 of <i>The Witcher</i> managed to grab the intrigue of viewers into this world, and most of us are eagerly waiting to see the golden-eyed Geralt swishing his sword and killing monsters. And let’s not forget the iconic bathtub scene in which Geralt tends to his wounds, which managed to garner millions of hearts and twice the number of eyeballs! 
 It all started with the book series by Andrzej Sapkoswski, which later went on to become a massively successful gaming franchise by CD Projekt RED and a Netflix show. Netflix, being Netflix, altered the characters and the plot to make it their own, and we aren’t complaining. So, gear up for how surprisingly different the major characters are from their “real” selves as depicted in the book and the game",Netflix,,Netflix,,
1835,Princess Ciri,"Why Princess Ciri was so important for the Nilfgaardians and what made her so special weren’t really answered in the Netflix show, but we sure got a glimpse of how powerful she is.

<b><br>Ciri from the books</b>
<br>The book isn’t very descriptive when it comes to Ciri’s appearance, but there’s always some mention of her ashen hair and emerald green eyes. Otherwise, all you get is mere details that are easily overlooked, such as slightly boyish built, pale skin, or a “common lass.” Ciri is 8 or 9 years old when she’s first introduced in the book, and over the course of the book, she grows into an agile and slender teenager owing to her witcher training. Her most distinguishing feature is a nasty scar on her cheek and her eyes that are often described as full of hatred and vengeance.",publish,Entertainment - TV & Film,Entertainment,"Which Witcher Bewitches you? The Books, the Games, or the Show?","With every other show trying to be the next <i>Game of Thrones</i>, only a few could hold their own post the epic HBO series. And no surprises here, The Witcher seems to have filled up the gaping void felt by us after witnessing a disastrous end to GoT. Set in a fantasy world called <i> The Continent </i>, this land is rife with elves, witches, mages, witchers, and (you guessed it!) dragons. Season 1 of <i>The Witcher</i> managed to grab the intrigue of viewers into this world, and most of us are eagerly waiting to see the golden-eyed Geralt swishing his sword and killing monsters. And let’s not forget the iconic bathtub scene in which Geralt tends to his wounds, which managed to garner millions of hearts and twice the number of eyeballs! 
 It all started with the book series by Andrzej Sapkoswski, which later went on to become a massively successful gaming franchise by CD Projekt RED and a Netflix show. Netflix, being Netflix, altered the characters and the plot to make it their own, and we aren’t complaining. So, gear up for how surprisingly different the major characters are from their “real” selves as depicted in the book and the game",Orbit Books,,Orbit Books,,
1837,Ciri from the books,"The book isn’t very descriptive when it comes to Ciri’s appearance, but there’s always some mention of her ashen hair and emerald green eyes. Otherwise, all you get is mere details that are easily overlooked, such as slightly boyish built, pale skin, or a “common lass.” Ciri is 8 or 9 years old when she’s first introduced in the book, and over the course of the book, she grows into an agile and slender teenager owing to her witcher training. Her most distinguishing feature is a nasty scar on her cheek and her eyes that are often described as full of hatred and vengeance.",draft,Entertainment - TV & Film,Gallery,"Which Witcher Bewitches you? The Books, the Games, or the Show?","With every other show trying to be the next <i>Game of Thrones</i>, only a few could hold their own post the epic HBO series. And no surprises here, The Witcher seems to have filled up the gaping void felt by us after witnessing a disastrous end to GoT. Set in a fantasy world called <i> The Continent </i>, this land is rife with elves, witches, mages, witchers, and (you guessed it!) dragons. Season 1 of <i>The Witcher</i> managed to grab the intrigue of viewers into this world, and most of us are eagerly waiting to see the golden-eyed Geralt swishing his sword and killing monsters. And let’s not forget the iconic bathtub scene in which Geralt tends to his wounds, which managed to garner millions of hearts and twice the number of eyeballs! 
 It all started with the book series by Andrzej Sapkoswski, which later went on to become a massively successful gaming franchise by CD Projekt RED and a Netflix show. Netflix, being Netflix, altered the characters and the plot to make it their own, and we aren’t complaining. So, gear up for how surprisingly different the major characters are from their “real” selves as depicted in the book and the game",,,,,
