post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
2348,Billie Jean King,"In the world of professional tennis, Billie Jean King created history when she defeated Bobby Riggs in straight sets in 1973. The penultimate <i>“Battle of the Sexes”</i> had 90 million viewers glued to their television sets, and the match was also dramatized in a TV movie in 2001 and a feature film released in 2017 starring Steve Carell and Emma Stone. Billie Jean King also became the first prominent female sportsperson to openly admit her homosexuality. Winning 39 Grand Slam titles in a career spanning over several decades, she became a role model for many.",publish,Sports,Gallery,Women Athletes Who Redefine The Sport,"From Billie Jean King to Ronda Rousey, Wilma Rudolph, and Lindsey Vonn, women have been leaving their mark in the history of multiple sporting disciplines across the world. Many broke racial and cultural barriers, overcame differences, and fought against inequality in a male-dominated arena. These women have become an inspiration for generations to follow, and their stories continue to ignite a flame in passionate rising stars. Here, we shall recap the accolades of thirty women athletes who created sporting history.",Stephen Lovekin/Variety/Shutterstock,,Stephen Lovekin/Variety/Shutterstock,,
2350,Wilma Rudolph,"Although double pneumonia, scarlet fever, and polio compromised the strength in her left leg, Wilma Rudolph overcame her disabilities to become one of the greatest ever track and field athletes to participate in professional events. She also became the first American woman to win three straight gold medals at a single Olympics in 1960. That’s a prime example of how grit, iron determination, and perseverance can help achieve anything you dream and desire.",publish,Sports,Gallery,Women Athletes Who Redefine The Sport,"From Billie Jean King to Ronda Rousey, Wilma Rudolph, and Lindsey Vonn, women have been leaving their mark in the history of multiple sporting disciplines across the world. Many broke racial and cultural barriers, overcame differences, and fought against inequality in a male-dominated arena. These women have become an inspiration for generations to follow, and their stories continue to ignite a flame in passionate rising stars. Here, we shall recap the accolades of thirty women athletes who created sporting history.",Everett Collection/Shutterstock,,Everett Collection/Shutterstock,,
2354,Martina Navratilova,"A name and status synonymous with tennis, Martina Navratilova shattered records and defied odds to become one of the foremost players of the sport. From her first Wimbledon title in 1978 to her final Grand Slam in 2006, Navratilova holds 18 Grand Slam singles, 31 Grand Slam doubles, and 10 Grand Slam mixed doubles titles. She was also among the first few openly gay athletes in sporting history and featured in the reality competition, “Dancing with the Stars” post retirement.",publish,Sports,Gallery,Women Athletes Who Redefine The Sport,"From Billie Jean King to Ronda Rousey, Wilma Rudolph, and Lindsey Vonn, women have been leaving their mark in the history of multiple sporting disciplines across the world. Many broke racial and cultural barriers, overcame differences, and fought against inequality in a male-dominated arena. These women have become an inspiration for generations to follow, and their stories continue to ignite a flame in passionate rising stars. Here, we shall recap the accolades of thirty women athletes who created sporting history.",JLN Photography/Shutterstock,,JLN Photography/Shutterstock,,
2356,Steffi Graf,"The German tennis legend became the only player to have held the number one position for a record 377 weeks, the most in both men and women rankings. Steffi Graf has won every Grand Slam tournament at least four times and has the Golden Slam (all Grand Slams and the Olympic win) in a single calendar year. You ask what makes her influence and inspiration evident? She was widely known for her aggressive and swift gameplay, and that has become today’s standard style on court.",publish,Sports,Gallery,Women Athletes Who Redefine The Sport,"From Billie Jean King to Ronda Rousey, Wilma Rudolph, and Lindsey Vonn, women have been leaving their mark in the history of multiple sporting disciplines across the world. Many broke racial and cultural barriers, overcame differences, and fought against inequality in a male-dominated arena. These women have become an inspiration for generations to follow, and their stories continue to ignite a flame in passionate rising stars. Here, we shall recap the accolades of thirty women athletes who created sporting history.",Rob Prange/Shutterstock,,Rob Prange/Shutterstock,,
2358,Ibtihaj Muhammad,"Ibtihaj Muhammad became the first-ever Muslim woman fencing contender to participate wearing a hijab. She represented the United States at the Rio Olympics and won the Bronze in the sabre event. Interestingly, it was her mother’s idea to put Ibtihaj in a fencing class as the outfit worn by fencers did not clash with their religious observance of dressing modestly. She started learning and playing the sport at the age of 13 and has participated in multiple major tournaments across the world. Donning the hijab quite comfortably under the mask, Ibtihaj was en garde from thereon.",publish,Sports,Gallery,Women Athletes Who Redefine The Sport,"From Billie Jean King to Ronda Rousey, Wilma Rudolph, and Lindsey Vonn, women have been leaving their mark in the history of multiple sporting disciplines across the world. Many broke racial and cultural barriers, overcame differences, and fought against inequality in a male-dominated arena. These women have become an inspiration for generations to follow, and their stories continue to ignite a flame in passionate rising stars. Here, we shall recap the accolades of thirty women athletes who created sporting history.",Kristina Bumphrey/Starpix/Shutterstock,,Kristina Bumphrey/Starpix/Shutterstock,,
2360,Gertrude Ederle,"America’s “Queen of the Waves” became the first woman to swim across the English Channel in 1926, after a failed attempt the previous year. Her swim across the Channel earned Ederle major fame and acclaim in the world of sports. Only five men had previously managed to successfully cover the 21 miles of raw ocean between England and the European mainland. At 14 hours and 31 minutes, Gertrude beat the time record set by the previous male swimmers, a record that was unbroken until 1950.",publish,Sports,Gallery,Women Athletes Who Redefine The Sport,"From Billie Jean King to Ronda Rousey, Wilma Rudolph, and Lindsey Vonn, women have been leaving their mark in the history of multiple sporting disciplines across the world. Many broke racial and cultural barriers, overcame differences, and fought against inequality in a male-dominated arena. These women have become an inspiration for generations to follow, and their stories continue to ignite a flame in passionate rising stars. Here, we shall recap the accolades of thirty women athletes who created sporting history.",Granger/Shutterstock,,Granger/Shutterstock,,
2362,Jackie Mitchell,"It takes someone special to pitch against the deadliest batter duo in the history of baseball, and Mitchell created sporting history for the record books after a double strikeout, which, in itself, is a controversial debate. Jackie Mitchell achieved many firsts of first, one of which was striking out two legendary baseball players of the New York Yankees, Babe Ruth and Lou Gehrig. After Lizzie Arlington, Mitchell became the second woman to sign a contract with a men’s minor league team, the Chattanooga Lookouts.",publish,Sports,Gallery,Women Athletes Who Redefine The Sport,"From Billie Jean King to Ronda Rousey, Wilma Rudolph, and Lindsey Vonn, women have been leaving their mark in the history of multiple sporting disciplines across the world. Many broke racial and cultural barriers, overcame differences, and fought against inequality in a male-dominated arena. These women have become an inspiration for generations to follow, and their stories continue to ignite a flame in passionate rising stars. Here, we shall recap the accolades of thirty women athletes who created sporting history.",Everett Collection/Shutterstock,,Everett Collection/Shutterstock,,
2364,Ann Meyers Drysdale,"By the turn of the century, more and more women raised their voices against gender inequality in sports. Be it for equal pay or recognition by the sporting community, Ann Meyers Drysdale fought actively by playing the game she was so fond of, basketball. Hailing from a sporting family, Meyers started practicing and playing at the tender age of 4 and did not look back. She went on to become the first-ever female athlete to receive a full sports scholarship to go to UCLA and played her way into the All-American women’s basketball team within the next couple of years. But this was just the first of many accolades for the young athlete.",publish,Sports,Gallery,Women Athletes Who Redefine The Sport,"From Billie Jean King to Ronda Rousey, Wilma Rudolph, and Lindsey Vonn, women have been leaving their mark in the history of multiple sporting disciplines across the world. Many broke racial and cultural barriers, overcame differences, and fought against inequality in a male-dominated arena. These women have become an inspiration for generations to follow, and their stories continue to ignite a flame in passionate rising stars. Here, we shall recap the accolades of thirty women athletes who created sporting history.",Keith Birmingham/Los Angeles Daily News Via,,Keith Birmingham/Los Angeles Daily News Via,,
2366,Althea Gibson,"Althea Gibson broke several racial barriers in professional tennis, paving the way for African-American athletes. She competed in the 1950 U.S. National Championships and won her first major Grand Slam in the French Open in 1956. A year later, Gibson won her second title at Wimbledon and received the trophy from Queen Elizabeth II. She set the record straight and inspired women around the world to take up a professional sport. Her accomplishments and role in sporting history were honored last year as her sculpture was unveiled at the U.S. Open.",publish,Sports,Gallery,Women Athletes Who Redefine The Sport,"From Billie Jean King to Ronda Rousey, Wilma Rudolph, and Lindsey Vonn, women have been leaving their mark in the history of multiple sporting disciplines across the world. Many broke racial and cultural barriers, overcame differences, and fought against inequality in a male-dominated arena. These women have become an inspiration for generations to follow, and their stories continue to ignite a flame in passionate rising stars. Here, we shall recap the accolades of thirty women athletes who created sporting history.",Evening News/Shutterstock,,Evening News/Shutterstock,,
2368,Nadia Comaneci,"At the age of 6, the young gymnast was discovered by her coach who introduced Comaneci to the world of professional gymnastics. The first woman to score a perfect 10 at an Olympics event when she was just 14, Nadia Comaneci got nine Perfect 10 scores in the 1976 and 1980 Olympics combined. She had an early productive and inspirational career and retired in 1984, after which Comaneci defected to the United States in 1989. Named Athlete of the Century in 1999, she continues to inspire women across the world to excel in sporting events.",publish,Sports,Gallery,Women Athletes Who Redefine The Sport,"From Billie Jean King to Ronda Rousey, Wilma Rudolph, and Lindsey Vonn, women have been leaving their mark in the history of multiple sporting disciplines across the world. Many broke racial and cultural barriers, overcame differences, and fought against inequality in a male-dominated arena. These women have become an inspiration for generations to follow, and their stories continue to ignite a flame in passionate rising stars. Here, we shall recap the accolades of thirty women athletes who created sporting history.",Variety/Shutterstock,,Variety/Shutterstock,,
